字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
文化和历史价值,历史,0.647,全国综合性历史艺术博物馆,0.992916,0.00708402,0.984258,2
文化和历史价值,历史,0.647,它用它独有的历史标志在中华几千年的历史中占据了重要的一席,0.996395,0.00360533,0.991988,2
文化和历史价值,历史,0.647,置身其中满满的历史感让参观者仿佛穿越去了民国,0.999814,0.000186091,0.999586,2
文化和历史价值,历史,0.647,全国综合性历史艺术博物馆,0.992916,0.00708403,0.984258,2
文化和历史价值,历史,0.647,它用它独有的历史标志在中华几千年的历史中占据了重要的一席,0.996395,0.00360533,0.991988,2
文化和历史价值,历史,0.647,置身其中满满的历史感让参观者仿佛穿越去了民国,0.999814,0.000186091,0.999586,2
文化和历史价值,历史,0.647,全国综合性历史艺术博物馆,0.992916,0.00708403,0.984258,2
文化和历史价值,历史,0.647,它用它独有的历史标志在中华几千年的历史中占据了重要的一席,0.996395,0.00360533,0.991988,2
文化和历史价值,历史,0.647,置身其中满满的历史感让参观者仿佛穿越去了民国,0.999814,0.000186091,0.999586,2
环境和景观,因素,0.62,所有乱世的因素在民国时代都能找到,0.996769,0.00323104,0.99282,2
性价比,成,0.618,参观的人在里面也成了民国时期的人,0.957871,0.0421287,0.906381,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,免费,0.624,免费,0.990912,0.00908826,0.979804,2
文化和历史价值,历史,0.647,一场超级历史文化盛宴,0.99939,0.000609896,0.998645,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
文化和历史价值,历史,0.647,了解历史就要去博物院,0.997824,0.00217574,0.995165,2
环境和景观,环境,0.621,南京博物馆环境整体感觉还算可以的,0.949602,0.0503977,0.888005,2
设施和服务,服务,0.622,服务很热情,0.984033,0.0159673,0.964517,2
环境和景观,布局合理,0.625,布局合理,0.992726,0.00727442,0.983835,2
设施和服务,服务,0.622,服务很好,0.992007,0.00799272,0.982238,2
文化和历史价值,历史,0.647,这次旅程收获到了很多历史知识,0.999693,0.000306707,0.999318,2
文化和历史价值,历史,0.647,学到了很多历史,0.996316,0.0036843,0.991813,2
性价比,免费,0.624,免费,0.990912,0.00908826,0.979804,2
文化和历史价值,历史,0.647,就像走进了历史,0.986719,0.013281,0.970487,2
文化和历史价值,历史,0.647,很有历史意义,0.999843,0.000157294,0.99965,2
文化和历史价值,历史,0.647,南京博物院的展品展示着南京的历史,0.997758,0.00224189,0.995018,2
文化和历史价值,历史,0.647,由历史馆,0.988975,0.0110247,0.975501,2
性价比,形式,0.664,博物馆实行的免票形式,0.943857,0.0561431,0.875238,2
文化和历史价值,历史,0.647,江苏省在我国历史文化悠久,0.965093,0.0349071,0.922429,2
性价比,有价值,0.652,南京博物院珍藏很多有价值的东西,0.994842,0.00515769,0.988538,2
环境和景观,文化底蕴,0.619,很有文化底蕴,0.999765,0.000235472,0.999477,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
文化和历史价值,历史,0.647,历史厚积,0.993151,0.00684915,0.98478,2
文化和历史价值,历史,0.647,有历史馆,0.987603,0.0123973,0.97245,2
性价比,数量,0.586,珍贵文物数量居全国第二,0.722985,0.277015,0.38441,2
性价比,感受,0.66,也许是想感受那意境吧,0.0790297,0.92097,0.824378,0
环境和景观,周边环境,0.615,周边环境很好,0.994074,0.00592618,0.986831,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
文化和历史价值,历史,0.647,更多的是江苏省的历史,0.995135,0.00486485,0.989189,2
文化和历史价值,历史,0.647,接受历史教育和文化教育的基地,0.998494,0.00150586,0.996654,2
性价比,接受,0.908,接受历史教育和文化教育的基地,0.998494,0.00150586,0.996654,2
文化和历史价值,历史,0.647,更多的是江苏省的历史,0.995135,0.00486485,0.989189,2
文化和历史价值,历史,0.647,接受历史教育和文化教育的基地,0.998494,0.00150586,0.996654,2
设施和服务,看不完,0.627,一次真的看不完,0.89063,0.10937,0.756956,2
文化和历史价值,史料,0.551,现在馆内收藏的文物和史料在全国都位列前三,0.988125,0.0118749,0.973611,2
文化和历史价值,历史,0.647,是研究中国历史的好地方,0.998481,0.00151922,0.996624,2
性价比,免费,0.624,携程免费比收费贵多了,0.826998,0.173002,0.61555,2
文化和历史价值,历史,0.647,包括了：历史馆,0.968497,0.0315026,0.929994,2
文化和历史价值,历史,0.647,可以让孩子了解到更多的历史知识和故事,0.999757,0.000243045,0.99946,2
文化和历史价值,历史,0.647,很多源于历史的典故出处,0.997545,0.00245455,0.994545,2
文化和历史价值,历史,0.647,可以让孩子了解到更多的历史知识和故事,0.999757,0.000243046,0.99946,2
文化和历史价值,历史,0.647,很多源于历史的典故出处,0.997545,0.00245455,0.994545,2
文化和历史价值,历史,0.647,有历史馆,0.987603,0.0123973,0.97245,2
文化和历史价值,历史,0.647,历史馆,0.997754,0.00224597,0.995009,2
设施和服务,看不完,0.627,一天看不完,0.826053,0.173947,0.613451,2
性价比,名气,0.604,但是展品和陈列属实有点对不起这名气啊,0.14331,0.85669,0.681534,0
文化和历史价值,历史,0.647,即历史馆,0.990883,0.00911738,0.979739,2
性价比,游玩,0.614,那天下大雨也没有影响我们游玩的心情,0.979825,0.020175,0.955167,2
性价比,免费,0.624,这里是免费开放的,0.978832,0.021168,0.95296,2
性价比,速度,0.705,但速度也蛮快的,0.998992,0.00100798,0.99776,2
文化和历史价值,历史,0.647,对于喜爱美术和历史的童鞋真的炒鸡友好,0.988667,0.0113325,0.974817,2
文化和历史价值,历史,0.647,贯穿整个人类历史,0.997515,0.00248503,0.994478,2
性价比,免费,0.624,这里是免费的,0.988653,0.0113466,0.974785,2
性价比,免费,0.624,虽然是免费的景点,0.953276,0.0467236,0.89617,2
性价比,性价比,1.0,但南京博物院的性价比却远超想象,0.890871,0.109129,0.757492,2
性价比,科技,0.863,内容可分为科技,0.989151,0.0108485,0.975892,2
环境和景观,人文,0.611,人文,0.988334,0.0116661,0.974075,2
文化和历史价值,历史,0.647,历史几大类,0.991561,0.00843924,0.981246,2
性价比,名气,0.604,其中民国馆的名气比较大,0.871846,0.128154,0.715213,2
性价比,评价,0.682,不知道如何写这个评价,0.00639609,0.993604,0.985787,0
性价比,吸引力,0.613,希望下次可以讲解更加有吸引力,0.990773,0.0092271,0.979495,2
文化和历史价值,史料,0.551,南京博物院收藏了许多珍贵的文物史料,0.995537,0.00446318,0.990082,2
性价比,免费,0.624,它对公众也是免费开放,0.987643,0.0123576,0.972539,2
文化和历史价值,历史,0.647,更多的是背后的历史人文,0.96128,0.0387196,0.913956,2
环境和景观,人文,0.611,更多的是背后的历史人文,0.96128,0.0387196,0.913956,2
文化和历史价值,史料,0.551,南京博物院收集的文物史料规模宏大,0.995957,0.00404343,0.991015,2
文化和历史价值,历史,0.647,是研究中国历史的好地方,0.998481,0.00151922,0.996624,2
设施和服务,服务,0.622,超值服务,0.99763,0.0023699,0.994733,2
文化和历史价值,历史,0.647,辐射出很多历史知识,0.982545,0.0174549,0.961211,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,"性价比很高很高
",0.999924,7.57074e-05,0.999832,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,"性价比很高很高
",0.999924,7.57075e-05,0.999832,2
性价比,趣味性,0.726,趣味性好,0.999593,0.000406526,0.999097,2
设施和服务,服务,0.622,感谢导游程路全程耐心细致的服务,0.991715,0.00828497,0.981589,2
文化和历史价值,历史,0.647,并从中学到了文学历史知识,0.99744,0.00256013,0.994311,2
文化和历史价值,历史,0.647,有历史文化素养,0.993442,0.00655813,0.985426,2
设施和服务,热心,0.623,亲切热心,0.999847,0.000152645,0.999661,2
性价比,免费,0.624,门票免费,0.984417,0.0155832,0.965371,2
性价比,游玩,0.614,节假日去游玩的话,0.995178,0.00482237,0.989284,2
性价比,感受,0.66,是一个带孩子感受中华文明的好地方,0.999686,0.000314251,0.999302,2
性价比,趣味性,0.726,富有趣味性,0.996545,0.00345481,0.992323,2
文化和历史价值,历史,0.647,李老师历史知识渊博,0.999739,0.00026101,0.99942,2
文化和历史价值,历史,0.647,了解南京历史,0.997065,0.00293535,0.993477,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,用心,0.639,讲解小姐姐很用心也很辛苦,0.997096,0.00290359,0.993548,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,玩,0.633,"民国馆比较好玩
",0.923556,0.0764437,0.830125,2
性价比,玩,0.633,可以玩一整天,0.998728,0.00127222,0.997173,2
性价比,观赏价值,0.628,院内藏品非常有观赏价值,0.997407,0.00259336,0.994237,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
文化和历史价值,史料,0.551,南京博物院的馆藏文物和史料非常多,0.99499,0.00501,0.988867,2
文化和历史价值,历史,0.647,是研究历史的不可或缺的地方,0.992288,0.00771203,0.982862,2
性价比,深度,0.666,老师很有深度,0.999966,3.38451e-05,0.999925,2
性价比,性价比,1.0,儿童导览或语音导览性价比较高,0.993343,0.00665661,0.985207,2
环境和景观,文化底蕴,0.619,其文化底蕴还是相当雄厚的,0.99802,0.00198054,0.995599,2
文化和历史价值,历史,0.647,历史馆从2F走廊可通特展馆,0.985184,0.0148162,0.967075,2
性价比,价值,0.748,有收藏价值,0.994086,0.00591376,0.986858,2
设施和服务,热情周到,0.63,热情周到,0.999711,0.000289401,0.999357,2
文化和历史价值,历史,0.647,带娃了解历史知识非常值得,0.999943,5.74201e-05,0.999872,2
环境和景观,环境,0.621,环境也很好,0.999812,0.000187685,0.999583,2
设施和服务,服务,0.622,很好的服务和解说,0.998355,0.00164468,0.996345,2
性价比,性价比,1.0,性价比非常的高,0.999914,8.63144e-05,0.999808,2
性价比,趣味性,0.726,趣味性较强,0.988535,0.0114646,0.974523,2
性价比,性价比,1.0,性价比比较高,0.99961,0.000389833,0.999134,2
性价比,免费,0.624,虽然是免费景点,0.956142,0.0438577,0.902538,2
设施和服务,服务态度,0.621,服务态度很好,0.991091,0.00890882,0.980203,2
性价比,服务态度,0.573,服务态度很好,0.991091,0.00890882,0.980203,2
性价比,免费,0.624,免费进入,0.988571,0.0114295,0.974601,2
文化和历史价值,历史,0.647,里面有历史馆,0.975642,0.0243579,0.945871,2
性价比,游玩,0.614,游玩很开心,0.999879,0.000120784,0.999732,2
性价比,成立,0.585,其前身为1933年成立的国立中央博物院,0.933236,0.0667638,0.851636,2
性价比,成立,0.585,是我国最早成立的博物院,0.992319,0.00768071,0.982932,2
性价比,成立,0.585,其前身为1933年成立的国立中央博物院,0.933236,0.0667638,0.851636,2
性价比,成立,0.585,是我国最早成立的博物院,0.992319,0.00768071,0.982932,2
性价比,数量,0.586,数量上位居全国第二,0.577724,0.422276,0.061609,2
性价比,租用,0.616,建议租用一台电子讲解器,0.715062,0.284938,0.366804,2
性价比,游玩,0.614,细细游玩,0.993851,0.00614946,0.986335,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
文化和历史价值,历史,0.647,在这里可以了解六朝古都的繁华历史,0.99975,0.000250312,0.999444,2
性价比,深度,0.666,没深度,0.00636376,0.993636,0.985858,0
文化和历史价值,商业,0.556,商业气息过于浓重,0.000722689,0.999277,0.998394,0
文化和历史价值,历史,0.647,讲解历史很不错,0.999,0.000999919,0.997778,2
文化和历史价值,历史,0.647,畗含深遂的历史底蕴,0.990237,0.00976335,0.978304,2
文化和历史价值,历史,0.647,除了常规的历史馆,0.49209,0.50791,0.841791,1
设施和服务,服务态度,0.621,服务态度好,0.984013,0.0159866,0.964474,2
性价比,服务态度,0.573,服务态度好,0.984013,0.0159866,0.964474,2
性价比,深度,0.666,很有深度,0.999927,7.2888e-05,0.999838,2
设施和服务,服务,0.622,服务很好,0.992007,0.00799272,0.982238,2
性价比,成立,0.585,也是我国成立最早的现代博物馆,0.981863,0.018137,0.959696,2
性价比,综合性,0.645,这是一个家综合性博物馆,0.900355,0.0996446,0.778567,2
文化和历史价值,历史,0.647,对江苏历史,0.995846,0.00415379,0.990769,2
文化和历史价值,历史,0.647,南京历史能够有全面的了解,0.999753,0.000247379,0.99945,2
文化和历史价值,历史,0.647,对江苏历史,0.995846,0.00415379,0.990769,2
文化和历史价值,历史,0.647,南京历史能够有全面的了解,0.999753,0.000247379,0.99945,2
文化和历史价值,历史,0.647,也是了解中国历史,0.990978,0.00902158,0.979952,2
性价比,采用,0.662,采用典型的中式风格,0.98344,0.0165599,0.9632,2
设施和服务,服务,0.622,讲解服务也挺到位的,0.996365,0.00363475,0.991923,2
文化和历史价值,历史,0.647,可以了解到历史的变迁,0.999544,0.00045603,0.998987,2
文化和历史价值,历史,0.647,历史文化底蕴以及现代气息浓郁,0.999074,0.000925623,0.997943,2
环境和景观,文化底蕴,0.619,历史文化底蕴以及现代气息浓郁,0.999074,0.000925623,0.997943,2
性价比,高度,0.71,同时又高度还原了民国时代的生活场所,0.998213,0.00178732,0.996028,2
文化和历史价值,历史,0.647,这里历史知识丰富,0.995473,0.0045273,0.989939,2
性价比,免费,0.624,免费预约,0.995392,0.0046084,0.989759,2
性价比,玩上,0.607,我们每周都来这里玩上一下,0.999608,0.00039208,0.999129,2
性价比,趣味性,0.726,趣味性强,0.998274,0.001726,0.996164,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
文化和历史价值,历史,0.647,推荐历史馆,0.995587,0.00441297,0.990193,2
性价比,免费,0.624,免费对外开放,0.99107,0.00893032,0.980155,2
文化和历史价值,历史,0.647,去历史馆的各个厅一一参观,0.946411,0.0535894,0.880913,2
文化和历史价值,历史,0.647,历史文化的好去处,0.999884,0.000115835,0.999743,2
性价比,数量,0.586,展厅数量多,0.969228,0.0307716,0.931619,2
性价比,免费,0.624,展馆都是免费参观,0.996881,0.00311897,0.993069,2
性价比,免费,0.624,设置了免费大小不一的存包柜,0.270908,0.729092,0.397982,0
性价比,价格,0.724,价格还好,0.828892,0.171108,0.619759,2
性价比,免费,0.624,比如这个免费的博物院,0.970923,0.0290767,0.935385,2
性价比,免费,0.624,和对免费的不情愿,0.323796,0.676204,0.280454,0
性价比,免费,0.624,南博却大气地免费,0.96225,0.0377498,0.916111,2
性价比,免费,0.624,免费的讲解器,0.99672,0.00328009,0.992711,2
性价比,免费,0.624,比如这个免费的博物院,0.970923,0.0290767,0.935385,2
性价比,免费,0.624,和对免费的不情愿,0.323796,0.676204,0.280454,0
性价比,免费,0.624,南博却大气地免费,0.96225,0.0377498,0.916111,2
性价比,免费,0.624,免费的讲解器,0.99672,0.00328009,0.992711,2
性价比,票价,0.677,比于陕博就在内部设有几个票价三百的高级馆,0.935044,0.0649564,0.855652,2
性价比,免费,0.624,比如这个免费的博物院,0.970923,0.0290767,0.935385,2
性价比,免费,0.624,和对免费的不情愿,0.323796,0.676204,0.280454,0
性价比,免费,0.624,南博却大气地免费,0.96225,0.0377498,0.916111,2
性价比,免费,0.624,免费的讲解器,0.99672,0.00328009,0.992711,2
性价比,免费,0.624,比如这个免费的博物院,0.970923,0.0290767,0.935385,2
性价比,免费,0.624,和对免费的不情愿,0.323796,0.676204,0.280454,0
性价比,免费,0.624,南博却大气地免费,0.96225,0.0377498,0.916112,2
性价比,免费,0.624,免费的讲解器,0.99672,0.00328009,0.992711,2
设施和服务,商品,0.89,美妙的特制商品,0.998701,0.00129872,0.997114,2
性价比,票价,0.677,票价免费周一闭馆,0.992876,0.00712353,0.98417,2
性价比,免费,0.624,票价免费周一闭馆,0.992876,0.00712353,0.98417,2
性价比,免费,0.624,还能免费盖邮戳,0.975043,0.0249573,0.944539,2
性价比,成,0.618,最近有个收费的法老王特展不过时间太紧张了所以没去成,0.884429,0.115571,0.743176,2
性价比,免费,0.624,票价免费周一闭馆,0.992876,0.00712353,0.98417,2
性价比,免费,0.624,还能免费盖邮戳,0.975043,0.0249573,0.944539,2
性价比,免费,0.624,南京博物院是免费的,0.991962,0.00803798,0.982138,2
设施和服务,自助,0.635,带上身份证就可以在自助的取票机上取票,0.996453,0.00354712,0.992117,2
文化和历史价值,历史,0.647,历史馆有志愿者讲解,0.992928,0.00707243,0.984283,2
性价比,深度,0.666,南京博物院是个非常有深度又有宽度的博物馆,0.996341,0.00365913,0.991869,2
性价比,免费,0.624,凭身份证即可免费取票,0.987867,0.0121334,0.973037,2
设施和服务,自助,0.635,实现导游自助讲解等功能,0.940694,0.0593055,0.86821,2
性价比,玩,0.633,可以慢慢玩大半天,0.997344,0.0026556,0.994099,2
设施和服务,服务,0.622,也可以去服务台借讲解机,0.948657,0.0513434,0.885904,2
设施和服务,服务,0.622,服务人员也耐心细心,0.993565,0.00643453,0.985701,2
文化和历史价值,历史,0.647,历史文化名城的博物院去南京一定要去看看,0.999917,8.32597e-05,0.999815,2
性价比,免费,0.624,门票免费的,0.990487,0.00951334,0.978859,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,趣味性,0.726,趣味性强,0.998274,0.001726,0.996164,2
性价比,性价比,1.0,性价比高,0.999885,0.000115398,0.999744,2
性价比,免费,0.624,进去是免费的了,0.985894,0.0141055,0.968654,2
性价比,游玩,0.614,既游玩了又跟着李导学习了不少知识,0.998131,0.00186911,0.995846,2
性价比,免费,0.624,南京博物院门票免费,0.987361,0.0126387,0.971914,2
文化和历史价值,历史,0.647,逛了历史馆,0.991602,0.00839841,0.981337,2
环境和景观,环境,0.621,博物馆环境一般般吧,0.53691,0.46309,0.261805,1
文化和历史价值,历史,0.647,给大家展现出江苏省这一有悠久历史文化的省份,0.98896,0.0110397,0.975467,2
设施和服务,服务,0.622,态度和服务还好,0.325033,0.674967,0.277705,0
性价比,免费,0.624,2013年11月6日免费对外开放,0.986128,0.0138717,0.969174,2
文化和历史价值,历史,0.647,"
南京博物院共设历史馆",0.987259,0.0127407,0.971687,2
性价比,数量,0.586,其中国家特级文物数量大而著名,0.988768,0.0112316,0.975041,2
性价比,性价比,1.0,免门票性价比非常高,0.999806,0.000193564,0.99957,2
性价比,综合性,0.645,综合性历史博物馆,0.982287,0.0177126,0.960639,2
文化和历史价值,历史,0.647,综合性历史博物馆,0.982287,0.0177126,0.960639,2
文化和历史价值,历史,0.647,爱好历史,0.998564,0.00143628,0.996808,2
设施和服务,服务,0.622,一进门左手就有寄存行李的服务大厅,0.940778,0.0592225,0.868395,2
性价比,游玩,0.614,周围也有可以搭配一起游玩的其他景点,0.996126,0.00387451,0.99139,2
性价比,免费,0.624,门票免费,0.984417,0.0155831,0.965371,2
性价比,免费,0.624,南京博物院是免费的,0.991962,0.00803798,0.982138,2
文化和历史价值,历史,0.647,特别是历史馆,0.992405,0.00759501,0.983122,2
性价比,相比,0.665,民俗馆相比就少很多,0.389318,0.610681,0.134848,0
性价比,感受,0.66,都过去感受民国风了,0.992041,0.00795884,0.982314,2
文化和历史价值,历史,0.647,来自历史的心灵冲击,0.989519,0.010481,0.976709,2
性价比,玩,0.633,本人是来南京出差的一直没时间出来玩,0.988655,0.0113446,0.97479,2
文化和历史价值,历史,0.647,一院六馆即历史馆,0.963136,0.0368638,0.91808,2
性价比,免费,0.624,现在免费对公众开放,0.95797,0.0420301,0.9066,2
性价比,感受,0.66,感受民国风情,0.999774,0.000226485,0.999497,2
文化和历史价值,历史,0.647,南京博物院最主要的部分是历史馆和艺术馆,0.986808,0.0131923,0.970684,2
文化和历史价值,历史,0.647,历史馆给人感觉展品好紧凑,0.974251,0.0257495,0.942779,2
文化和历史价值,历史,0.647,南京博物院最主要的部分是历史馆和艺术馆,0.986808,0.0131923,0.970684,2
文化和历史价值,历史,0.647,历史馆给人感觉展品好紧凑,0.974251,0.0257495,0.942779,2
性价比,艺术性,0.73,没见过一个博物馆这么干过艺术馆能看到各个朝代具有艺术性的石雕木雕泥塑书画等展品,0.758181,0.241819,0.462625,2
性价比,艺术性,0.73,而且南京博物馆的展馆设计本身也很具有艺术性,0.991426,0.00857384,0.980947,2
性价比,艺术性,0.73,没见过一个博物馆这么干过艺术馆能看到各个朝代具有艺术性的石雕木雕泥塑书画等展品,0.758181,0.241819,0.462625,2
性价比,艺术性,0.73,而且南京博物馆的展馆设计本身也很具有艺术性,0.991426,0.00857384,0.980947,2
性价比,感受到,0.6,虽然馆内人很多但仍能感受到馆内藏品的艺术内涵,0.998417,0.00158319,0.996482,2
性价比,玩,0.633,可以玩大半天,0.996431,0.00356906,0.992069,2
文化和历史价值,历史,0.647,历史馆非常大,0.99879,0.00120986,0.997311,2
文化和历史价值,历史,0.647,会延伸很多历史,0.988597,0.0114035,0.974659,2
文化和历史价值,历史,0.647,即历史馆,0.990883,0.00911738,0.979739,2
性价比,免费,0.624,"周一闭馆
门票：免费
参观方式：
微信公众号关注“南京博物院”",0.987931,0.0120692,0.97318,2
性价比,成立,0.585,"分时段实名预约

南京博物院成立于1933年",0.979706,0.0202936,0.954903,2
文化和历史价值,历史,0.647,包括了历史馆,0.974722,0.0252778,0.943827,2
文化和历史价值,历史,0.647,历史馆,0.997754,0.00224597,0.995009,2
文化和历史价值,历史,0.647,历史观展示了江苏古代文明发展史镇馆之宝有青铜卧鹿,0.981372,0.018628,0.958605,2
文化和历史价值,历史,0.647,包括了历史馆,0.974722,0.0252778,0.943827,2
文化和历史价值,历史,0.647,历史馆,0.997754,0.00224597,0.995009,2
文化和历史价值,历史,0.647,历史观展示了江苏古代文明发展史镇馆之宝有青铜卧鹿,0.981372,0.018628,0.958605,2
文化和历史价值,发展史,0.647,历史观展示了江苏古代文明发展史镇馆之宝有青铜卧鹿,0.981372,0.018628,0.958605,2
文化和历史价值,历史,0.647,历史馆,0.997754,0.00224597,0.995009,2
性价比,科技馆,0.853,科技馆民国馆啥的,0.781984,0.218016,0.51552,2
设施和服务,服务中心,0.632,进馆如果有大件行李是可以在服务中心免费寄存的很方便,0.986554,0.0134464,0.970119,2
性价比,免费,0.624,进馆如果有大件行李是可以在服务中心免费寄存的很方便,0.986554,0.0134464,0.970119,2
性价比,成人,0.622,然后个人认为成人的话借智慧讲解20元不值,0.0362845,0.963716,0.919368,0
性价比,成人,0.622,成人的讲解还不如借儿童讲解器因为儿童的讲解多,0.0104165,0.989583,0.976852,0
性价比,成人,0.622,成人的话真的没必要花20块还有点不灵,0.00115888,0.998841,0.997425,0
性价比,成人,0.622,然后个人认为成人的话借智慧讲解20元不值,0.0362845,0.963716,0.919368,0
