字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
性价比,认知,0.658,去之前真的没想到会颠覆自己对佛教宫殿的认知,0.998064,0.00193586,0.995698,2
性价比,索性,0.596,周六去的牛首山人还挺多的早上十点下午一点都是进园的高峰期因为和爸妈一起所以上山下山都是乘车的一人10元扫码购票还挺方便的缺点就是排队的人太多了上山拍了半小时下山排了四十分钟东门进出的人比较多还是建议走西门进比较快索性车次还挺多的上山有电梯对腿脚不好的还是很友好的大榴莲是牛首山景区的核心一定一定要到地下五层的千佛殿参观一下极尽奢华不愧是花40亿打造的景点每一处都很精致值得一看的～,0.999875,0.000124599,0.999723,2
设施和服务,消费,0.62,理智消费,0.629722,0.370278,0.177161,2
环境和景观,新景观,0.617,再现当代建筑艺术新景观”,0.957201,0.0427987,0.904892,2
环境和景观,新景观,0.617,再现当代建筑艺术新景观”,0.957201,0.0427987,0.904892,2
性价比,免费,0.624,地铁及免费往返短驳车都很方便,0.998917,0.00108277,0.997594,2
文化和历史价值,公园,0.555,牛首山遗址公园以唐代风格的九层佛顶塔以及穹顶建筑的藏有释迦牟尼头骨舍利的佛顶宫最为闻名,0.968063,0.0319373,0.929028,2
性价比,感受,0.66,心灵深深感受佛教的禅修,0.999988,1.1681e-05,0.999974,2
性价比,玩,0.633,我们大概玩了2个小时就差不多了,0.788969,0.211031,0.531042,2
环境和景观,人文景观,0.612,人文景观和佛教文化于一体的综合性旅游景区,0.993907,0.00609292,0.98646,2
环境和景观,人文景观,0.612,在人文景观方面,0.851286,0.148714,0.669525,2
环境和景观,人文景观,0.612,它将自然风光和人文景观完美地融合在一起,0.983979,0.0160212,0.964397,2
性价比,综合性,0.645,人文景观和佛教文化于一体的综合性旅游景区,0.993907,0.00609293,0.98646,2
性价比,感受到,0.6,都让人感受到大自然的生机和活力,0.99856,0.00143963,0.996801,2
环境和景观,人文景观,0.612,人文景观和佛教文化于一体的综合性旅游景区,0.993907,0.00609292,0.98646,2
环境和景观,人文景观,0.612,在人文景观方面,0.851286,0.148714,0.669525,2
环境和景观,人文景观,0.612,它将自然风光和人文景观完美地融合在一起,0.983979,0.0160212,0.964397,2
性价比,堪称,0.659,堪称艺术瑰宝,0.996684,0.00331633,0.99263,2
环境和景观,人文景观,0.612,人文景观和佛教文化于一体的综合性旅游景区,0.993907,0.00609292,0.98646,2
环境和景观,人文景观,0.612,在人文景观方面,0.851286,0.148714,0.669525,2
环境和景观,人文景观,0.612,它将自然风光和人文景观完美地融合在一起,0.983979,0.0160212,0.964397,2
环境和景观,自然景观,0.612,自然景观温婉养眼,0.99444,0.00556024,0.987644,2
性价比,无比,0.621,令人震撼无比,0.999895,0.00010464,0.999768,2
环境和景观,温度,0.635,月中旬去的那天最高温度20几度,0.98507,0.0149303,0.966822,2
性价比,温度,0.69,月中旬去的那天最高温度20几度,0.98507,0.0149303,0.966822,2
设施和服务,汉服,0.638,汉服～裙子～马褂～短t,0.979882,0.0201176,0.955294,2
环境和景观,新景观,0.617,再现当代建筑艺术新景观”,0.957201,0.0427987,0.904892,2
性价比,玩,0.633,一共玩了三个多小时,0.838827,0.161173,0.641837,2
性价比,游玩,0.614,整体游玩大概花费4小时左右,0.919089,0.0809111,0.820198,2
设施和服务,服务设施,0.621,服务设施也都还不错,0.991837,0.00816323,0.981859,2
文化和历史价值,文创,0.557,逛完出来有个很大的文创店,0.986798,0.0132021,0.970662,2
设施和服务,服务态度,0.621,大姐服务态度超级超级差,0.000275013,0.999725,0.999389,0
性价比,服务态度,0.573,大姐服务态度超级超级差,0.000275013,0.999725,0.999389,0
性价比,玩,0.633,跟朋友一起带孩子来南京玩第一站就选择牛首山下南京南火车直接打车到景点门口有存包柜两个29寸箱子可以放在一起20块钱非常友好选择坐的大巴车没来得及看到表演这点很遗憾全程都不太累但孩子都不喜欢都是走马观花的看了看,0.999016,0.000984048,0.997813,2
设施和服务,公共设施,0.62,公共设施做的不太好,0.00900005,0.991,0.98,0
性价比,票价,0.677,票价160元,0.88827,0.11173,0.751712,2
环境和景观,环境,0.621,环境很好,0.998906,0.00109376,0.997569,2
环境和景观,夜景,0.619,可以看到夜景,0.999237,0.000762931,0.998305,2
性价比,价位,0.761,差不多价位,0.503953,0.496048,0.92095,1
性价比,角度,0.673,还好姐妹会拍完美屏蔽各种角度遮挡,0.742105,0.257895,0.4269,2
性价比,感受,0.66,感受牛首山佛顶宫独一无二的美,0.999756,0.000243657,0.999459,2
性价比,便宜,0.689,东西便宜,0.940756,0.0592441,0.868346,2
性价比,质量,0.623,质量好,0.999792,0.000208209,0.999537,2
性价比,物美价廉,0.589,物美价廉,0.99969,0.000309536,0.999312,2
性价比,实惠,0.954,实惠,0.998466,0.00153393,0.996591,2
性价比,玩,0.633,淘宝可以逐不出户的懒人就能购买到的日常生活吃喝玩任何东西,0.969442,0.0305583,0.932093,2
性价比,成人,0.622,门票价格：成人160,0.966173,0.033827,0.924829,2
性价比,费用,0.671,景交车费用：10元,0.844,0.156,0.653332,2
设施和服务,设施,0.621,但是东门停车场及设备设施和餐饮等较为齐全,0.904039,0.0959615,0.786752,2
性价比,游玩,0.614,想要全面的游玩,0.996036,0.00396448,0.99119,2
性价比,票价,0.677,门票价格：成人160,0.966173,0.033827,0.924829,2
性价比,票价,0.677,毕竟票价这么贵,0.216405,0.783595,0.519099,0
性价比,涨价,0.657,门票它涨价了啊,0.90195,0.0980504,0.78211,2
性价比,涨价,0.657,涨价了也得来看看,0.690053,0.309947,0.311228,2
性价比,涨价,0.657,门票它涨价了啊,0.90195,0.0980505,0.78211,2
性价比,涨价,0.657,涨价了也得来看看,0.690053,0.309947,0.311228,2
性价比,感受,0.66,"
供奉着全世界现存唯一的佛顶骨舍

来牛首山感受恢弘壮观的佛教文化",0.998004,0.00199602,0.995564,2
性价比,票价,0.677,其次是票价由原来的90左右涨到了145,0.870842,0.129158,0.712983,2
性价比,票价,0.677,就是票价贵,0.988206,0.0117942,0.973791,2
性价比,这用,0.631,这用40亿打造的到底多震撼,0.998757,0.00124318,0.997237,2
性价比,免费,0.624,还有免费的公交车把你送到地铁站,0.965703,0.0342965,0.923785,2
性价比,票价,0.677,其次是票价由原来的90左右涨到了145,0.870842,0.129158,0.712983,2
性价比,票价,0.677,就是票价贵,0.988206,0.0117942,0.973791,2
性价比,感受,0.66,非常建议大家来实地感受下,0.955325,0.044675,0.900722,2
性价比,游玩,0.614,而且徒步是游玩探索最好的方式,0.999363,0.000637097,0.998584,2
性价比,游玩,0.614,游玩的人很少,0.901779,0.0982209,0.781731,2
性价比,游玩,0.614,而且徒步是游玩探索最好的方式,0.999363,0.000637097,0.998584,2
性价比,游玩,0.614,游玩的人很少,0.901779,0.0982209,0.781731,2
性价比,感受,0.66,这种气势磅礴的美真的只能亲身感受,0.953329,0.0466709,0.896287,2
性价比,平价,0.67,还有一家平价的素食餐厅,0.991791,0.00820859,0.981759,2
性价比,感受,0.66,不知道如何形容自己的感受,0.0143542,0.985646,0.968102,0
性价比,热度,0.756,南京热度第一的打卡景点,0.991776,0.00822356,0.981725,2
性价比,接待,0.619,但是东门是接待旅游团的,0.855369,0.144631,0.678598,2
设施和服务,汉服,0.638,但是这个景点个人不建议穿汉服,0.925006,0.0749939,0.833347,2
性价比,游玩,0.614,牛首山游玩时间至少半天以上,0.638402,0.361598,0.196448,2
设施和服务,云,0.631,门柱的名字叫做云门如意柱,0.856753,0.143247,0.681674,2
文化和历史价值,文创,0.557,带了一些文创回家留作纪念,0.996207,0.00379293,0.991571,2
环境和景观,名胜,0.615,牛首山是金陵四大名胜之一,0.984251,0.0157488,0.965003,2
性价比,程度,0.73,精美和庄严程度难以言表,0.998335,0.00166486,0.9963,2
性价比,艺术性,0.73,佛顶宫的艺术性极高,0.997198,0.0028022,0.993773,2
文化和历史价值,商业,0.556,不过景区主要的商业餐饮还是集中在东门那边,0.895542,0.104458,0.767872,2
性价比,涨价,0.657,虽然门票比起之前有所涨价,0.91947,0.0805296,0.821045,2
性价比,票价,0.677,值票价,0.993177,0.00682261,0.984839,2
设施和服务,服务,0.622,服务很好设备也都具备,0.998866,0.00113365,0.997481,2
性价比,游玩,0.614,再由下至上游玩,0.961648,0.0383525,0.914772,2
环境和景观,景观,0.615,首先景区内可供参观的景观设置在离入口十分钟左右车程的路,0.965122,0.0348782,0.922493,2
环境和景观,景观,0.615,没有直线的道路可以直接从入口步行走到景观,0.913972,0.0860279,0.808827,2
环境和景观,景观,0.615,其次进入后的景观里的直梯电梯关闭必须爬楼梯,0.814339,0.185661,0.587419,2
环境和景观,景观,0.615,首先景区内可供参观的景观设置在离入口十分钟左右车程的路,0.965122,0.0348782,0.922493,2
环境和景观,景观,0.615,没有直线的道路可以直接从入口步行走到景观,0.913972,0.0860279,0.808827,2
环境和景观,景观,0.615,其次进入后的景观里的直梯电梯关闭必须爬楼梯,0.814339,0.185661,0.587419,2
环境和景观,景观,0.615,首先景区内可供参观的景观设置在离入口十分钟左右车程的路,0.965122,0.0348782,0.922493,2
环境和景观,景观,0.615,没有直线的道路可以直接从入口步行走到景观,0.913972,0.0860279,0.808827,2
环境和景观,景观,0.615,其次进入后的景观里的直梯电梯关闭必须爬楼梯,0.814339,0.185661,0.587419,2
文化和历史价值,公园,0.555,里面有小公园带孩子来玩玩还是不错的,0.992621,0.00737869,0.983603,2
性价比,玩玩,0.634,里面有小公园带孩子来玩玩还是不错的,0.992621,0.00737869,0.983603,2
性价比,玩,0.633,里面有小公园带孩子来玩玩还是不错的,0.992621,0.00737869,0.983603,2
性价比,玩,0.633,带孩子来玩,0.998478,0.00152241,0.996617,2
性价比,票价,0.677,人单程票价,0.970569,0.0294311,0.934598,2
性价比,玩,0.633,十一假期来南京玩,0.993496,0.00650375,0.985547,2
性价比,造成了,0.621,来了发现整个打造成了一个佛教胜地,0.988856,0.0111436,0.975236,2
设施和服务,平台,0.625,可以通过很多平台订票并预约进场时段,0.992448,0.00755186,0.983218,2
性价比,免费,0.624,可以免费租借讲解器,0.996432,0.00356829,0.99207,2
文化和历史价值,文创,0.557,可以去出口处的文创逛逛,0.974826,0.0251741,0.944058,2
环境和景观,名胜,0.615,牛首山是金陵四大名胜之一,0.984251,0.0157488,0.965003,2
环境和景观,文化底蕴,0.619,文化底蕴深厚乃岳飞抗金之地,0.996679,0.00332126,0.992619,2
性价比,游玩,0.614,游玩路线设计比较人性,0.972412,0.0275882,0.938693,2
性价比,用人,0.637,之前我去过鹏城第一峰那山上的水是用人挑上去的也没卖那么贵,0.864901,0.135099,0.69978,2
环境和景观,生态景观,0.614,生态景观为一体的生态胜景,0.986239,0.0137607,0.969421,2
文化和历史价值,休闲,0.558,休闲胜地,0.999791,0.000208933,0.999536,2
性价比,游玩,0.614,游玩儿,0.996439,0.00356097,0.992087,2
性价比,感受,0.66,如果你是虔诚的想去感受佛家的庄重,0.917306,0.0826938,0.816236,2
性价比,形式,0.664,更关键的是这里每一尊佛的介绍和呈现形式都很多样和特别,0.999568,0.0004321,0.99904,2
性价比,观赏性,0.739,观赏性,0.995012,0.0049876,0.988916,2
性价比,感受,0.66,带娃能够细致感受的机会不多,0.998511,0.00148923,0.996691,2
性价比,接驳,0.622,建议入景区后做接驳车可以直达景区最核心的区域,0.96144,0.0385598,0.914312,2
性价比,感受,0.66,可以感受下沿途风光,0.995895,0.0041049,0.990878,2
性价比,接驳,0.622,接驳车排队很要命,0.421022,0.578978,0.0643961,0
性价比,便宜,0.689,便宜15元,0.583107,0.416893,0.0735705,2
设施和服务,服务,0.622,导游服务很棒,0.99455,0.00544997,0.987889,2
性价比,性价比,1.0,性价比很高,0.99989,0.000110221,0.999755,2
环境和景观,环境优美,0.622,整体环境优美,0.999028,0.000971875,0.99784,2
设施和服务,服务,0.622,服务管理到位,0.974555,0.0254446,0.943457,2
性价比,玩,0.633,总之还是很值得来玩的～,0.999893,0.000106583,0.999763,2
性价比,接送,0.599,上山下山都有大巴车接送10块钱一程,0.903558,0.096442,0.785684,2
性价比,造价,0.695,听说整个景区造价400多亿,0.882217,0.117783,0.738259,2
性价比,玩,0.633,喜欢拍照打卡的朋友一定要来玩,0.999853,0.000147363,0.999672,2
环境和景观,环境,0.621,环境很好包场了,0.999588,0.000412227,0.999084,2
性价比,玩过,0.613,我多少年都没有到这边玩过了,0.198775,0.801225,0.558277,0
性价比,造成了,0.621,造成了门口堵车,0.124616,0.875384,0.723076,0
性价比,游玩,0.614,建议南京本地人游玩一定错开节假日,0.970789,0.0292106,0.935088,2
设施和服务,设施,0.621,而且设施也非常完善,0.999768,0.00023185,0.999485,2
文化和历史价值,娱乐,0.567,各种娱乐项目应有尽有,0.999377,0.000623094,0.998615,2
性价比,成,0.618,年初没去成,0.6107,0.3893,0.134889,2
性价比,便宜,0.689,提前**团票比当日买便宜一点点,0.928953,0.0710474,0.842117,2
环境和景观,景观,0.615,人造景观,0.563217,0.436783,0.0293713,2
性价比,价值,0.748,但是个人感觉价值意义不大,0.0796322,0.920368,0.823039,0
性价比,玩,0.633,完全可以玩一整天,0.990866,0.00913391,0.979702,2
性价比,玩,0.633,好玩,0.999893,0.000107305,0.999761,2
性价比,玩,0.633,特种兵大学生可以来玩,0.912534,0.087466,0.805631,2
性价比,玩,0.633,挺好玩的,0.999704,0.000295869,0.999343,2
性价比,玩,0.633,下次还来玩,0.999839,0.000161019,0.999642,2
性价比,票价,0.677,票价88时候疫情一直没去,0.495195,0.504805,0.903892,1
性价比,点位,0.863,二三楼有专门拍照点位,0.933333,0.0666668,0.851852,2
性价比,涨价,0.657,后面就涨价啦,0.440108,0.559892,0.0219831,0
性价比,接驳,0.622,上山做接驳车,0.934458,0.0655415,0.854352,2
性价比,玩,0.633,其他玩的小伙伴要提早去,0.999623,0.000376961,0.999162,2
性价比,玩,0.633,还是蛮好玩的,0.999384,0.000615768,0.998632,2
性价比,玩,0.633,非常推荐去玩一次,0.99992,7.97908e-05,0.999823,2
性价比,价格,0.724,价格也是适合,0.994152,0.00584803,0.987004,2
性价比,感受到,0.6,感受到城市的繁华和美丽,0.999929,7.13896e-05,0.999841,2
性价比,感受到,0.6,让人感受到南京的深厚底蕴,0.999584,0.000416427,0.999075,2
性价比,感受到,0.6,感受到南京的独特魅力,0.999299,0.000700936,0.998442,2
文化和历史价值,历史,0.647,牛首山的历史文化也是其独特的魅力所在,0.99719,0.00281009,0.993755,2
文化和历史价值,历史,0.647,这里有着悠久的历史和文化底蕴,0.992858,0.0071417,0.98413,2
文化和历史价值,历史,0.647,有着许多历史文化遗迹,0.978542,0.0214583,0.952315,2
文化和历史价值,历史,0.647,这些遗迹见证了南京的历史和文化,0.989918,0.0100824,0.977595,2
文化和历史价值,历史,0.647,我可以了解到南京的历史和文化,0.998562,0.0014377,0.996805,2
文化和历史价值,历史,0.647,牛首山的历史文化也是其独特的魅力所在,0.99719,0.00281009,0.993755,2
文化和历史价值,历史,0.647,这里有着悠久的历史和文化底蕴,0.992858,0.0071417,0.98413,2
文化和历史价值,历史,0.647,有着许多历史文化遗迹,0.978542,0.0214583,0.952315,2
文化和历史价值,历史,0.647,这些遗迹见证了南京的历史和文化,0.989918,0.0100824,0.977595,2
文化和历史价值,历史,0.647,我可以了解到南京的历史和文化,0.998562,0.0014377,0.996805,2
环境和景观,文化底蕴,0.619,这里有着悠久的历史和文化底蕴,0.992858,0.0071417,0.98413,2
文化和历史价值,历史,0.647,牛首山的历史文化也是其独特的魅力所在,0.99719,0.00281009,0.993755,2
文化和历史价值,历史,0.647,这里有着悠久的历史和文化底蕴,0.992858,0.0071417,0.98413,2
文化和历史价值,历史,0.647,有着许多历史文化遗迹,0.978542,0.0214583,0.952315,2
文化和历史价值,历史,0.647,这些遗迹见证了南京的历史和文化,0.989918,0.0100824,0.977595,2
文化和历史价值,历史,0.647,我可以了解到南京的历史和文化,0.998562,0.0014377,0.996805,2
文化和历史价值,历史,0.647,牛首山的历史文化也是其独特的魅力所在,0.99719,0.00281009,0.993755,2
文化和历史价值,历史,0.647,这里有着悠久的历史和文化底蕴,0.992858,0.0071417,0.98413,2
文化和历史价值,历史,0.647,有着许多历史文化遗迹,0.978542,0.0214583,0.952315,2
文化和历史价值,历史,0.647,这些遗迹见证了南京的历史和文化,0.989918,0.0100824,0.977595,2
文化和历史价值,历史,0.647,我可以了解到南京的历史和文化,0.998562,0.0014377,0.996805,2
性价比,感受到,0.6,感受到城市的繁华和美丽,0.999929,7.13896e-05,0.999841,2
性价比,感受到,0.6,让人感受到南京的深厚底蕴,0.999584,0.000416427,0.999075,2
性价比,感受到,0.6,感受到南京的独特魅力,0.999299,0.000700936,0.998442,2
文化和历史价值,历史,0.647,牛首山的历史文化也是其独特的魅力所在,0.99719,0.00281009,0.993755,2
文化和历史价值,历史,0.647,这里有着悠久的历史和文化底蕴,0.992858,0.0071417,0.98413,2
文化和历史价值,历史,0.647,有着许多历史文化遗迹,0.978542,0.0214583,0.952315,2
文化和历史价值,历史,0.647,这些遗迹见证了南京的历史和文化,0.989918,0.0100824,0.977595,2
文化和历史价值,历史,0.647,我可以了解到南京的历史和文化,0.998562,0.0014377,0.996805,2
性价比,感受到,0.6,感受到城市的繁华和美丽,0.999929,7.13896e-05,0.999841,2
性价比,感受到,0.6,让人感受到南京的深厚底蕴,0.999584,0.000416427,0.999075,2
性价比,感受到,0.6,感受到南京的独特魅力,0.999299,0.000700935,0.998442,2
环境和景观,文化底蕴,0.619,文化底蕴深厚,0.99907,0.00093004,0.997933,2
环境和景观,自然景观,0.612,饮马池等自然景观,0.979611,0.0203889,0.954691,2
环境和景观,人文景观,0.612,郑和墓和抗金故垒等人文景观,0.985601,0.0143991,0.968002,2
设施和服务,平台,0.625,上山后还要坐好几个自动扶梯到达山顶平台,0.9396,0.0603997,0.865778,2
性价比,接驳,0.622,进去可以排队坐接驳车上,0.968192,0.0318075,0.929317,2
性价比,票价,0.677,实话实说这个票价我个人认为,0.126355,0.873645,0.719211,0
性价比,接驳,0.622,接驳车小,0.392142,0.607858,0.128573,0
环境和景观,人文景观,0.612,拥有丰富的自然和人文景观,0.999187,0.000813272,0.998193,2
环境和景观,文化底蕴,0.619,深厚的文化底蕴：牛首山有着深厚的历史文化底蕴,0.993328,0.0066723,0.985173,2
文化和历史价值,历史,0.647,深厚的文化底蕴：牛首山有着深厚的历史文化底蕴,0.993328,0.0066723,0.985173,2
文化和历史价值,历史,0.647,你可以参观各种历史文化遗迹,0.975887,0.0241126,0.946416,2
环境和景观,文化底蕴,0.619,深厚的文化底蕴：牛首山有着深厚的历史文化底蕴,0.993328,0.0066723,0.985173,2
文化和历史价值,历史,0.647,深厚的文化底蕴：牛首山有着深厚的历史文化底蕴,0.993328,0.0066723,0.985173,2
文化和历史价值,历史,0.647,你可以参观各种历史文化遗迹,0.975887,0.0241126,0.946416,2
性价比,游玩,0.614,让你在游玩的同时,0.870639,0.129361,0.712531,2
性价比,感受,0.66,总体感受还行,0.9839,0.0160995,0.964223,2
文化和历史价值,历史,0.647,以其独特的自然风光和历史文化而吸引着众多游客,0.985021,0.0149791,0.966713,2
性价比,游玩,0.614,你可以根据个人兴趣和时间安排选择不同的游玩路线,0.984504,0.015496,0.965564,2
性价比,成,0.618,最近也成了网红打卡地,0.794716,0.205284,0.543814,2
性价比,接驳,0.622,另外还要提醒一下：进门一定要坐接驳车,0.542945,0.457055,0.141106,1
性价比,堪称,0.659,堪称视觉盛宴,0.999416,0.000583644,0.998703,2
性价比,游玩,0.614,游玩便利度,0.987423,0.0125772,0.972051,2
性价比,接驳,0.622,东门进来有接驳车,0.969944,0.0300562,0.933208,2
性价比,价格,0.724,价格为10块钱,0.170966,0.829034,0.620075,0
性价比,而成,0.617,据说该佛顶宫为花费了40个亿修建而成,0.296633,0.703367,0.340816,0
性价比,接驳,0.622,在门口可以坐接驳车直接到佛顶宫,0.967641,0.0323593,0.92809,2
文化和历史价值,文创,0.557,牛首山的文创和产品也有很多选择,0.941825,0.0581753,0.870721,2
性价比,观赏性,0.739,感觉第六层和地上一层最有观赏性,0.969576,0.0304244,0.93239,2
性价比,玩玩,0.634,南京的牛首山还是很值得去玩玩,0.99534,0.00466028,0.989644,2
性价比,票价,0.677,一样的票价下山才坐了两分钟,0.452019,0.54798,0.0403887,1
性价比,游玩,0.614,游玩不累,0.996954,0.00304585,0.993232,2
性价比,玩,0.633,走马观花的玩也需要半天时间,0.907067,0.0929334,0.793481,2
性价比,而成,0.617,听说花了40多个亿建造而成,0.746118,0.253882,0.435818,2
设施和服务,自助,0.635,有素食自助,0.975038,0.0249617,0.94453,2
性价比,价格,0.724,算上价格来说,0.884652,0.115348,0.743672,2
性价比,价格,0.724,并不是很值得这个价格,0.00270174,0.997298,0.993996,0
性价比,价格,0.724,算上价格来说,0.884652,0.115348,0.743672,2
性价比,价格,0.724,并不是很值得这个价格,0.00270174,0.997298,0.993996,0
性价比,便宜,0.689,会便宜点,0.55522,0.44478,0.0116004,2
性价比,玩,0.633,能玩的不多,0.823109,0.176891,0.60691,2
环境和景观,环境,0.621,环境还是不错的,0.962303,0.0376966,0.91623,2
性价比,半价,0.638,学生票半价,0.967749,0.0322507,0.928332,2
性价比,玩,0.633,非特种兵慢可以玩一天,0.197951,0.802049,0.560108,0
性价比,玩,0.633,游玩顺序按照,0.973005,0.0269953,0.94001,2
性价比,游玩,0.614,游玩顺序按照,0.973005,0.0269953,0.94001,2
性价比,堪称,0.659,里面堪称富丽堂皇,0.994154,0.00584579,0.987009,2
文化和历史价值,商业,0.556,还算可以不过商业气息有点重了到处都是周边,0.771587,0.228413,0.492416,2
性价比,玩,0.633,走走逛逛可以玩一整天,0.998285,0.00171488,0.996189,2
文化和历史价值,文创,0.557,周边文创产品也很好看,0.999454,0.000545706,0.998787,2
性价比,库存,0.56,清库存篇,0.852692,0.147308,0.672649,2
文化和历史价值,历史,0.647,建基于历史遗留矿坑之上,0.841241,0.158759,0.647203,2
性价比,接受,0.908,接受信众瞻礼参拜的主要场所,0.965073,0.0349265,0.922385,2
环境和景观,新景观,0.617,当代建筑艺术新景观,0.981947,0.018053,0.959882,2
设施和服务,提供,0.621,平时只提供3D电子模式,0.973889,0.026111,0.941976,2
环境和景观,景观,0.615,景观自然是叹为观止,0.994347,0.00565276,0.987438,2
设施和服务,服务,0.622,但景区服务配套一般,0.792135,0.207865,0.538077,2
性价比,机位,0.858,完之后打卡的几个地方挺难找机位的,0.867628,0.132372,0.705839,2
环境和景观,地标,0.618,内部地标建筑还是不少的,0.887402,0.112598,0.749783,2
性价比,成人,0.622,成人票128,0.943765,0.0562353,0.875032,2
性价比,免费,0.624,免费讲解器可以租用,0.981684,0.0183159,0.959298,2
性价比,租用,0.616,免费讲解器可以租用,0.981684,0.0183159,0.959298,2
性价比,高标准,0.552,这边的佛顶塔果然是高标准的,0.986089,0.0139107,0.969087,2
性价比,像是,0.611,感觉上面真的像是云霄宝殿,0.927665,0.0723351,0.839255,2
环境和景观,人文,0.611,人文一般,0.342269,0.657731,0.239401,0
性价比,用心,0.639,虽然景区很用心,0.894655,0.105345,0.765901,2
性价比,有可能,0.618,也有可能是我们做功课不足,0.0180579,0.981942,0.959871,0
性价比,造价,0.695,造价巨大,0.326282,0.673718,0.274929,0
性价比,角度,0.673,取景角度很重要,0.982458,0.0175423,0.961017,2
环境和景观,环境,0.621,环境：我是上午去的比较早大门口有卖帽子的我没有买上去以后太阳特别刺眼睛,0.74964,0.25036,0.443643,2
性价比,认路,0.61,不认路的还被司机坑了,0.00261019,0.99739,0.9942,0
性价比,评价,0.682,看了章小一妈妈的评价,0.645621,0.354379,0.212491,2
性价比,感受,0.66,每个人对于值不值的感受都不一样,0.781752,0.218248,0.515004,2
性价比,玩,0.633,不过由于时间关系没在里面玩太久,0.970762,0.0292379,0.935027,2
性价比,免费,0.624,门口也有免费的电子耳麦讲解,0.989183,0.0108169,0.975962,2
性价比,免费,0.624,做了攻略打车到门口有免费的公交接驳车接到山下然后可以走上去或者花钱坐车上去吧我选择的走上去都是上坡还有点累的国庆去的人很多去了佛顶宫大榴莲拍照的人很多还有地下有个宫金碧辉煌的还去了个塔里楼梯道超级小又挤属于来了后悔那种一次就够了喜欢佛教文化的可以来看看,0.981612,0.0183883,0.959137,2
性价比,接驳,0.622,做了攻略打车到门口有免费的公交接驳车接到山下然后可以走上去或者花钱坐车上去吧我选择的走上去都是上坡还有点累的国庆去的人很多去了佛顶宫大榴莲拍照的人很多还有地下有个宫金碧辉煌的还去了个塔里楼梯道超级小又挤属于来了后悔那种一次就够了喜欢佛教文化的可以来看看,0.981612,0.0183883,0.959137,2
