字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
性价比,费用,0.671,感觉轮船的费用还有点贵,0.220914,0.779086,0.50908,0
性价比,感受到,0.6,到了秦淮河才能感受到那种气氛,0.974596,0.0254044,0.943546,2
性价比,玩,0.633,玩的也不好玩,0.0244196,0.97558,0.945734,0
环境和景观,夜景,0.619,南京夫子庙第二次来了上次是白天这次晚上来夜景很美古建筑很独特,0.999796,0.000203782,0.999547,2
文化和历史价值,历史,0.647,有很多历史遗留的东西,0.981396,0.0186038,0.958658,2
环境和景观,夜景,0.619,南京秦淮夜景超美的,0.999913,8.71889e-05,0.999806,2
性价比,摊位,0.858,夜市上还有好多小摊位,0.708237,0.291763,0.351639,2
性价比,玩,0.633,真的很适合晚上去玩,0.999859,0.000140913,0.999687,2
环境和景观,名胜,0.615,以秦淮河为轴线夫子庙被誉为秦淮名胜而成为古都南京的特色景观区,0.991193,0.00880689,0.980429,2
环境和景观,景观,0.615,以秦淮河为轴线夫子庙被誉为秦淮名胜而成为古都南京的特色景观区,0.991193,0.00880688,0.980429,2
环境和景观,夜景,0.619,昨晚带外地朋友看璀璨的夜景,0.997801,0.0021987,0.995114,2
性价比,玩,0.633,晚上去玩真的是别有一番风味,0.999584,0.000415904,0.999076,2
环境和景观,夜景,0.619,夜景很好看,0.999974,2.63732e-05,0.999941,2
文化和历史价值,商业,0.556,商业气息扑面而来,0.913973,0.0860274,0.808828,2
文化和历史价值,历史,0.647,历史人文景观还是要搭配历史课才能体会,0.98086,0.01914,0.957467,2
环境和景观,人文景观,0.612,历史人文景观还是要搭配历史课才能体会,0.98086,0.01914,0.957467,2
环境和景观,夜景,0.619,很遗憾没有欣赏到夜景,0.95471,0.0452901,0.899355,2
环境和景观,夜景,0.619,看着夜景听着几百年前的故事感觉应该更不一样吧,0.966183,0.0338173,0.924851,2
环境和景观,夜景,0.619,很遗憾没有欣赏到夜景,0.95471,0.0452901,0.899355,2
环境和景观,夜景,0.619,看着夜景听着几百年前的故事感觉应该更不一样吧,0.966183,0.0338173,0.924851,2
文化和历史价值,商业,0.556,商业味太浓了,0.00523355,0.994766,0.98837,0
环境和景观,夜景,0.619,这边是一定要晚上去才可以看到这样的夜景就跟里面的小吃比较多,0.959697,0.0403028,0.910438,2
环境和景观,夜景,0.619,夜景的话确实还不错,0.96066,0.03934,0.912578,2
环境和景观,夜景,0.619,这边是一定要晚上去才可以看到这样的夜景就跟里面的小吃比较多,0.959697,0.0403027,0.910438,2
环境和景观,夜景,0.619,夜景的话确实还不错,0.96066,0.03934,0.912578,2
性价比,热度,0.756,这个旅游城市也很热度,0.919755,0.0802452,0.821677,2
性价比,高价,0.872,叫高价拒载,0.010236,0.989764,0.977253,0
设施和服务,平台,0.625,跟网约车司机询问为什么平台派车慢,0.0214008,0.978599,0.952443,0
环境和景观,夜景,0.619,"夜泊秦淮
晚上夜景真的超级好看
赶上不热不冷的时候去逛逛很不错",0.999835,0.00016462,0.999634,2
设施和服务,汉服,0.638,如果穿着汉服来玩一定很美丽,0.99773,0.00227008,0.994955,2
性价比,玩,0.633,如果穿着汉服来玩一定很美丽,0.99773,0.00227008,0.994955,2
性价比,没玩,0.626,没玩上有些可惜,0.92844,0.0715605,0.840977,2
性价比,便宜,0.689,景区里估计就肯德基最便宜了,0.722119,0.277881,0.382488,2
环境和景观,文化底蕴,0.619,而且个人觉得夫子庙一带无论占地面积还是文化底蕴都远超豫园,0.937255,0.062745,0.860567,2
环境和景观,古迹,0.61,还有林林总总的古迹,0.994526,0.00547408,0.987835,2
环境和景观,夜景,0.619,特别是夜景,0.998317,0.0016832,0.99626,2
环境和景观,夜景,0.619,夜景很美,0.999893,0.000106615,0.999763,2
性价比,价位,0.761,价位合理,0.999318,0.000682444,0.998484,2
性价比,游玩,0.614,非常不错的一次打卡游玩,0.99989,0.000110101,0.999755,2
性价比,游玩,0.614,晚上来游玩,0.996704,0.00329581,0.992676,2
性价比,游玩,0.614,古城就适合这种慢慢深度游玩,0.998884,0.00111562,0.997521,2
性价比,深度,0.666,古城就适合这种慢慢深度游玩,0.998884,0.00111562,0.997521,2
性价比,游玩,0.614,晚上来游玩,0.996704,0.00329581,0.992676,2
性价比,游玩,0.614,古城就适合这种慢慢深度游玩,0.998884,0.00111562,0.997521,2
性价比,全价,0.664,我们临时起意所以现场买了全价票,0.979136,0.0208644,0.953635,2
性价比,优惠,0.682,点评门票预订明日还能优惠3块,0.962655,0.0373448,0.917011,2
环境和景观,景观,0.615,不过里面的景观不错,0.860947,0.139053,0.690993,2
性价比,游玩,0.614,这次游玩夫子庙一带有点遗憾,0.996858,0.0031424,0.993017,2
文化和历史价值,历史,0.647,秦淮河畔的美景和厚重的历史文化引人遐想,0.99902,0.0009804,0.997821,2
性价比,游玩,0.614,游玩领略河中各处美景,0.997391,0.00260887,0.994202,2
文化和历史价值,历史,0.647,享受风景时还能品鉴历史,0.999163,0.000836767,0.998141,2
环境和景观,古迹,0.61,六朝古都随便一个地方都有一堆文人墨客的诗词古迹,0.998373,0.00162667,0.996385,2
性价比,相比,0.665,和之前相比,0.805762,0.194238,0.568359,2
性价比,相比,0.665,这次去跟之前相比,0.922529,0.0774715,0.827841,2
性价比,相比,0.665,和之前相比,0.805762,0.194238,0.568359,2
性价比,相比,0.665,这次去跟之前相比,0.922529,0.0774715,0.827841,2
文化和历史价值,历史,0.647,或者杜撰一个历史古迹的名字吸引你进去,0.495332,0.504668,0.906631,1
文化和历史价值,历史,0.647,反正我觉得如果真正想要了解夫子庙的历史,0.223653,0.776347,0.502994,0
环境和景观,古迹,0.61,或者杜撰一个历史古迹的名字吸引你进去,0.495332,0.504668,0.906636,1
性价比,玩,0.633,每个人出来玩的都不一样,0.887736,0.112264,0.750524,2
文化和历史价值,历史,0.647,或者杜撰一个历史古迹的名字吸引你进去,0.495332,0.504668,0.906636,1
文化和历史价值,历史,0.647,反正我觉得如果真正想要了解夫子庙的历史,0.223653,0.776347,0.502994,0
设施和服务,平台,0.625,但是晚上没办法平台叫不到车,0.697119,0.302881,0.326931,2
设施和服务,平台,0.625,可以用平台然后选出租车,0.988785,0.0112147,0.975078,2
设施和服务,平台,0.625,比平台快多了,0.99339,0.00660977,0.985312,2
设施和服务,平台,0.625,但是晚上没办法平台叫不到车,0.697119,0.302881,0.326931,2
设施和服务,平台,0.625,可以用平台然后选出租车,0.988785,0.0112147,0.975078,2
设施和服务,平台,0.625,比平台快多了,0.99339,0.00660977,0.985312,2
性价比,接单,0.646,他们附近接单的会秒拒,0.361354,0.638646,0.196992,0
性价比,接单,0.646,有一些比较远的出租车会接单,0.946742,0.0532585,0.881648,2
性价比,接单,0.646,他们附近接单的会秒拒,0.361354,0.638646,0.196992,0
性价比,接单,0.646,有一些比较远的出租车会接单,0.946742,0.0532585,0.881648,2
设施和服务,平台,0.625,但是晚上没办法平台叫不到车,0.697119,0.302881,0.326931,2
设施和服务,平台,0.625,可以用平台然后选出租车,0.988785,0.0112147,0.975078,2
设施和服务,平台,0.625,比平台快多了,0.99339,0.00660977,0.985312,2
文化和历史价值,商业,0.556,特色的小店不太多基本都是随大流的商业,0.937572,0.062428,0.861271,2
设施和服务,商品,0.89,商品没什么特别,0.0231044,0.976896,0.948657,0
性价比,游玩,0.614,南京游玩必打卡景点吧,0.984831,0.0151691,0.966291,2
性价比,感受到,0.6,在这里可以感受到深厚的历史文化底蕴,0.999123,0.000876835,0.998051,2
文化和历史价值,历史,0.647,在这里可以感受到深厚的历史文化底蕴,0.999123,0.000876835,0.998051,2
文化和历史价值,历史,0.647,仿佛穿越回了历史的长河之中,0.999722,0.000277514,0.999383,2
文化和历史价值,历史,0.647,体验文化和感受历史的魅力,0.999604,0.000395536,0.999121,2
环境和景观,文化底蕴,0.619,在这里可以感受到深厚的历史文化底蕴,0.999123,0.000876835,0.998051,2
文化和历史价值,历史,0.647,在这里可以感受到深厚的历史文化底蕴,0.999123,0.000876835,0.998051,2
文化和历史价值,历史,0.647,仿佛穿越回了历史的长河之中,0.999722,0.000277514,0.999383,2
文化和历史价值,历史,0.647,体验文化和感受历史的魅力,0.999604,0.000395536,0.999121,2
性价比,感受,0.66,在这里可以感受到深厚的历史文化底蕴,0.999123,0.000876835,0.998051,2
性价比,感受,0.66,体验文化和感受历史的魅力,0.999604,0.000395536,0.999121,2
文化和历史价值,历史,0.647,在这里可以感受到深厚的历史文化底蕴,0.999123,0.000876835,0.998051,2
文化和历史价值,历史,0.647,仿佛穿越回了历史的长河之中,0.999722,0.000277514,0.999383,2
文化和历史价值,历史,0.647,体验文化和感受历史的魅力,0.999604,0.000395536,0.999121,2
性价比,价格,0.724,但价格有那么点偏贵,0.364789,0.635211,0.189357,0
性价比,好比,0.608,不去夫子庙就好比外地游客来上海不去城隍庙,0.220167,0.779833,0.51074,0
环境和景观,夜景,0.619,夫子庙的夜景是真的美,0.999492,0.00050842,0.99887,2
环境和景观,夜景,0.619,五一假期到南京专门去看秦淮夜景,0.994946,0.00505374,0.98877,2
环境和景观,夜景,0.619,来秦淮看夜景的人真多,0.987183,0.0128167,0.971519,2
环境和景观,夜景,0.619,五一假期到南京专门去看秦淮夜景,0.994946,0.00505374,0.98877,2
环境和景观,夜景,0.619,来秦淮看夜景的人真多,0.987183,0.0128167,0.971519,2
环境和景观,夜景,0.619,为了一睹秦淮夜景,0.971938,0.0280621,0.93764,2
性价比,价格,0.724,旅游景点的价格果然不便宜,0.598797,0.401203,0.108438,2
性价比,便宜,0.689,旅游景点的价格果然不便宜,0.598797,0.401203,0.108438,2
性价比,这位,0.853,感谢这位老先生,0.999728,0.000272096,0.999395,2
设施和服务,提供,0.621,很多灯都是各种商家做广告提供的,0.473531,0.526469,0.470613,1
性价比,技术,0.874,不看技术,0.0608224,0.939178,0.864839,0
性价比,难度,0.728,但是构图有难度,0.756874,0.243126,0.45972,2
性价比,成,0.618,南京成了网红城市,0.967573,0.032427,0.92794,2
环境和景观,夜景,0.619,"1
夜景",0.991549,0.00845067,0.981221,2
设施和服务,汉服,0.638,强烈推荐大家晚上穿着汉服去逛一逛夫子庙景区,0.999787,0.000213125,0.999526,2
性价比,玩,0.633,还有很多好玩好看的东西可以逛一逛,0.999736,0.000263496,0.999414,2
性价比,玩,0.633,来南京可以来这边玩,0.991348,0.00865203,0.980773,2
设施和服务,自助,0.635,30从北门牌楼进入早上人还是很少的北门口的自助寄存行李机器无法使用上面贴了纸条让联系票务中心票务中心很近就在直走右手的酒店旁边寄存行李12元,0.687247,0.312753,0.304994,2
设施和服务,票务,0.64,30从北门牌楼进入早上人还是很少的北门口的自助寄存行李机器无法使用上面贴了纸条让联系票务中心票务中心很近就在直走右手的酒店旁边寄存行李12元,0.687247,0.312753,0.304994,2
设施和服务,票务,0.64,30从北门牌楼进入早上人还是很少的北门口的自助寄存行李机器无法使用上面贴了纸条让联系票务中心票务中心很近就在直走右手的酒店旁边寄存行李12元,0.687247,0.312753,0.304994,2
文化和历史价值,历史,0.647,进入景区后先看到了金陵历史文化展览馆是免费参观就先进去了解一下历史文化单展区是单行需要从另一出口出去出去之后发现小龙门集市简单逛逛来到了登科长廊贡院门口很多人拍照加上有茶颜悦色排队人多所以这个地方尤为热闹继续深入走下去就是乌衣巷巷口人不算多逛了一些雨花石小店各种小吃摊和伴手礼店铺,0.984818,0.0151823,0.966262,2
文化和历史价值,历史,0.647,进入景区后先看到了金陵历史文化展览馆是免费参观就先进去了解一下历史文化单展区是单行需要从另一出口出去出去之后发现小龙门集市简单逛逛来到了登科长廊贡院门口很多人拍照加上有茶颜悦色排队人多所以这个地方尤为热闹继续深入走下去就是乌衣巷巷口人不算多逛了一些雨花石小店各种小吃摊和伴手礼店铺,0.984818,0.0151823,0.966262,2
环境和景观,景观,0.615,推荐的餐馆是秦淮人家窗边景观位很不错单人套餐小吃很适合头一次来南京的顾客其次朋友说红公馆也不错但价格不便宜,0.986879,0.0131206,0.970843,2
性价比,价格,0.724,推荐的餐馆是秦淮人家窗边景观位很不错单人套餐小吃很适合头一次来南京的顾客其次朋友说红公馆也不错但价格不便宜,0.986879,0.0131206,0.970843,2
性价比,便宜,0.689,推荐的餐馆是秦淮人家窗边景观位很不错单人套餐小吃很适合头一次来南京的顾客其次朋友说红公馆也不错但价格不便宜,0.986879,0.0131206,0.970843,2
文化和历史价值,商业,0.556,商业气息较重,0.0270915,0.972908,0.939797,0
设施和服务,汉服,0.638,路上很多汉服小姐姐在拍照,0.973535,0.0264646,0.94119,2
环境和景观,温度,0.635,温度也很合适的话题了,0.99986,0.000139749,0.999689,2
性价比,温度,0.69,温度也很合适的话题了,0.99986,0.000139749,0.999689,2
性价比,游玩,0.614,来南京游玩,0.98953,0.0104704,0.976733,2
性价比,游玩,0.614,推荐晚上来游玩,0.998505,0.00149521,0.996677,2
设施和服务,服务,0.622,服务铃,0.731281,0.268719,0.402846,2
性价比,游玩,0.614,来南京游玩,0.98953,0.0104704,0.976733,2
性价比,游玩,0.614,推荐晚上来游玩,0.998505,0.00149521,0.996677,2
性价比,感受,0.66,感受古秦淮河独有的美丽风景,0.999852,0.000148027,0.999671,2
设施和服务,汉服,0.638,可以穿着汉服拍照,0.999589,0.00041066,0.999087,2
性价比,等位,0.853,南京大牌档的门口已经有了很多等位的人,0.947859,0.0521411,0.884131,2
性价比,玩,0.633,来南京找我玩,0.991676,0.00832424,0.981502,2
文化和历史价值,历史,0.647,这里有历史可巡,0.936045,0.0639545,0.857879,2
环境和景观,古迹,0.61,民居及附近的古迹,0.943418,0.0565824,0.874261,2
文化和历史价值,历史,0.647,不仅能看到古都南京的历史建筑,0.996831,0.00316879,0.992958,2
性价比,费用,0.671,参考费用：白天60元,0.780575,0.219425,0.512388,2
性价比,成,0.618,南京成了网红城市,0.967573,0.032427,0.92794,2
环境和景观,夜景,0.619,夫子庙秦淮河附近的夜景还是不错的,0.987814,0.0121862,0.97292,2
设施和服务,汉服,0.638,正好遇到汉服游行,0.980814,0.0191858,0.957365,2
性价比,性价比,1.0,性价比杠杠的,0.999942,5.82278e-05,0.999871,2
性价比,形式,0.664,也是重要展现形式,0.984603,0.0153966,0.965785,2
环境和景观,文化底蕴,0.619,南京夫子庙以特色的文化底蕴和厚重的历史地位,0.991534,0.00846582,0.981187,2
文化和历史价值,历史,0.647,其历史悠久,0.989239,0.0107608,0.976087,2
文化和历史价值,历史,0.647,南京夫子庙以特色的文化底蕴和厚重的历史地位,0.991534,0.00846582,0.981187,2
文化和历史价值,商业,0.556,不过其他的商业小吃没什么吸引力,0.631583,0.368417,0.181296,2
性价比,吸引力,0.613,不过其他的商业小吃没什么吸引力,0.631583,0.368417,0.181296,2
性价比,玩过,0.613,今年过完年之后一直都没来夫子庙玩过,0.984543,0.0154567,0.965652,2
性价比,玩玩,0.634,儿子说下午想去夫子庙玩玩,0.993972,0.00602841,0.986603,2
文化和历史价值,历史,0.647,历史上极富盛名,0.991874,0.00812646,0.981941,2
文化和历史价值,历史,0.647,被称为“中国第一历史文化名河”,0.910994,0.0890058,0.802209,2
文化和历史价值,历史,0.647,历史上极富盛名,0.991874,0.00812647,0.981941,2
文化和历史价值,历史,0.647,被称为“中国第一历史文化名河”,0.910994,0.0890059,0.802209,2
性价比,评比,0.635,我国的5A评比很严格,0.990002,0.0099976,0.977783,2
文化和历史价值,历史,0.647,有人喜欢历史人文,0.985139,0.0148605,0.966977,2
文化和历史价值,历史,0.647,夫子庙主要是历史人文景观比较多,0.966226,0.0337743,0.924946,2
文化和历史价值,历史,0.647,自己要能带入历史场景就更好些,0.952829,0.0471712,0.895175,2
文化和历史价值,历史,0.647,历史人文景观要带着一些知识点或者求知欲来游览,0.993735,0.00626506,0.986078,2
环境和景观,人文,0.611,有人喜欢历史人文,0.985139,0.0148605,0.966977,2
环境和景观,人文,0.611,夫子庙主要是历史人文景观比较多,0.966226,0.0337743,0.924946,2
环境和景观,人文,0.611,历史人文景观要带着一些知识点或者求知欲来游览,0.993735,0.00626506,0.986078,2
文化和历史价值,历史,0.647,有人喜欢历史人文,0.985139,0.0148605,0.966977,2
文化和历史价值,历史,0.647,夫子庙主要是历史人文景观比较多,0.966226,0.0337743,0.924946,2
文化和历史价值,历史,0.647,自己要能带入历史场景就更好些,0.952829,0.0471712,0.895175,2
文化和历史价值,历史,0.647,历史人文景观要带着一些知识点或者求知欲来游览,0.993735,0.00626506,0.986078,2
环境和景观,人文景观,0.612,夫子庙主要是历史人文景观比较多,0.966226,0.0337743,0.924946,2
环境和景观,人文景观,0.612,历史人文景观要带着一些知识点或者求知欲来游览,0.993735,0.00626505,0.986078,2
性价比,平价,0.67,平价小吃首选还是大牌档,0.963091,0.0369091,0.91798,2
环境和景观,环境,0.621,主要看一下古人居住生活环境,0.982622,0.0173776,0.961383,2
文化和历史价值,历史,0.647,有人喜欢历史人文,0.985139,0.0148605,0.966977,2
文化和历史价值,历史,0.647,夫子庙主要是历史人文景观比较多,0.966226,0.0337743,0.924946,2
文化和历史价值,历史,0.647,自己要能带入历史场景就更好些,0.952829,0.0471712,0.895175,2
文化和历史价值,历史,0.647,历史人文景观要带着一些知识点或者求知欲来游览,0.993735,0.00626505,0.986078,2
文化和历史价值,公园,0.555,白鹭洲公园,0.928625,0.0713747,0.84139,2
文化和历史价值,历史,0.647,有人喜欢历史人文,0.985139,0.0148605,0.966977,2
文化和历史价值,历史,0.647,夫子庙主要是历史人文景观比较多,0.966226,0.0337743,0.924946,2
文化和历史价值,历史,0.647,自己要能带入历史场景就更好些,0.952829,0.0471712,0.895175,2
文化和历史价值,历史,0.647,历史人文景观要带着一些知识点或者求知欲来游览,0.993735,0.00626505,0.986078,2
环境和景观,人文景观,0.612,夫子庙主要是历史人文景观比较多,0.966226,0.0337743,0.924946,2
环境和景观,人文景观,0.612,历史人文景观要带着一些知识点或者求知欲来游览,0.993735,0.00626505,0.986078,2
性价比,性会,0.66,黄发垂髫参与融入性会更强一些,0.960346,0.0396539,0.91188,2
性价比,成,0.618,终于恢复成了疫情之前的景象,0.997396,0.002604,0.994213,2
环境和景观,文物古迹,0.611,串联起众多全国重点文物保护单位和文物古迹,0.99155,0.00844961,0.981223,2
性价比,费用,0.671,游船的费用是￥100,0.873868,0.126132,0.719707,2
性价比,便宜,0.689,如果能便宜一点就好了,0.09831,0.90169,0.781533,0
性价比,角度,0.673,也找不到合适的角度,0.280664,0.719336,0.376302,0
环境和景观,夜景,0.619,晚上夜景很好看,0.999934,6.55215e-05,0.999854,2
性价比,玩,0.633,巷子里都是卖吃的玩的,0.971016,0.0289839,0.935591,2
环境和景观,夜景,0.619,真的很难不爱南京城夫子庙秦淮河夜景太太太美啦,0.999851,0.000148964,0.999669,2
性价比,票价,0.677,夜泊秦淮近酒家“江南忆最是忆秦淮”南京真的是一座很有古韵的城市秦淮河和老门东夜晚亮灯的时候真的很美我去的那会人超级多100元船票坐40分钟算是值回票价了吧哈哈～,0.999952,4.82864e-05,0.999893,2
性价比,半价,0.638,学生票可以半价哦,0.995206,0.00479434,0.989346,2
性价比,免费,0.624,照的二寸照片可以免费领取,0.994443,0.00555715,0.987651,2
性价比,感受,0.66,没有电视上那种古时候那种灯会的感受,0.108182,0.891818,0.759595,0
文化和历史价值,历史,0.647,很适合小朋友去了解历史,0.999874,0.000126484,0.999719,2
性价比,半价,0.638,未成年人半价,0.223698,0.776302,0.502893,0
性价比,玩,0.633,来南京就必须来夫子庙玩一下吧,0.991907,0.00809341,0.982015,2
性价比,感受,0.66,带娃充分感受下年味～花灯都很漂亮,0.999949,5.0827e-05,0.999887,2
性价比,机位,0.858,推荐桥上这个机位,0.976523,0.0234773,0.947828,2
性价比,标志性,0.65,华灯初上能拍到大报恩寺的标志性宝塔,0.999686,0.000313732,0.999303,2
性价比,免费,0.624,里面没啥逛的但是是免费的要是有时间可以进去逛逛总体来说就是一个小别墅里面带着花园和一些抗zhan时期的历史介绍,0.972324,0.0276757,0.938498,2
文化和历史价值,历史,0.647,里面没啥逛的但是是免费的要是有时间可以进去逛逛总体来说就是一个小别墅里面带着花园和一些抗zhan时期的历史介绍,0.972324,0.0276757,0.938498,2
性价比,感受到,0.6,南京大屠杀纪念馆：走进去后是不可以用手机拍照的但是真的走进去后好像真真切切的感受到了那个时候平民背侵略者屠Sha的无助绝望与恐惧参观完后真的久久不能平静感谢党和国家能给我们一个现如今太平盛世,0.933217,0.0667833,0.851593,2
环境和景观,文化底蕴,0.619,很有文化底蕴,0.999765,0.000235472,0.999477,2
环境和景观,夜景,0.619,夜景很好看,0.999974,2.63732e-05,0.999941,2
性价比,免费,0.624,是免费的,0.985244,0.0147559,0.967209,2
环境和景观,夜景,0.619,尤其夜景,0.996405,0.00359503,0.992011,2
性价比,感受,0.66,这个感受实在是极其差,0.000197425,0.999803,0.999561,0
性价比,理性,0.651,感觉理性一点的人一般都不会来这里,0.0120765,0.987923,0.973163,0
性价比,游玩,0.614,还是非常值得游玩的,0.999688,0.00031207,0.999306,2
性价比,便宜,0.689,当然也不便宜,0.485189,0.514811,0.703788,1
性价比,排成,0.592,街上武装特警排成人墙,0.430542,0.569458,0.0432408,0
性价比,感受到,0.6,感受到了3年来夫子庙的热情,0.999384,0.000616486,0.99863,2
