字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
性价比,代表性,0.577,南京最具有代表性的地方,0.997769,0.00223111,0.995042,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,玩,0.633,去过很多次还会再去玩,0.99995,4.99768e-05,0.999889,2
性价比,玩遍,0.58,玩遍玩深玩细当需要十天,0.965783,0.0342169,0.923962,2
性价比,玩深,0.564,玩遍玩深玩细当需要十天,0.965783,0.0342169,0.923962,2
性价比,趣味性,0.726,"趣味性很强
",0.999166,0.000833855,0.998147,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比高,0.999885,0.000115398,0.999744,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比高,0.999885,0.000115398,0.999744,2
性价比,玩,0.633,夫子庙是南京的一个玩,0.979032,0.020968,0.953405,2
文化和历史价值,商业,0.556,商业味太浓,0.00281212,0.997188,0.993751,0
环境和景观,环境,0.621,环境很好,0.998906,0.00109376,0.997569,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,免费,0.624,大部分免费还有南京小吃,0.987,0.0130002,0.971111,2
性价比,游玩,0.614,值得游玩儿,0.999105,0.000894771,0.998012,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,相比,0.665,"
相比风景更喜欢南京的小吃",0.993146,0.00685351,0.98477,2
性价比,感受,0.66,要想感受老南京文化底蕴,0.975103,0.0248975,0.944672,2
环境和景观,文化底蕴,0.619,要想感受老南京文化底蕴,0.975103,0.0248975,0.944672,2
环境和景观,人文,0.611,也有人文特色,0.993119,0.00688087,0.984709,2
环境和景观,环境,0.621,环境宜居,0.986279,0.013721,0.969509,2
环境和景观,宜居,0.619,环境宜居,0.986279,0.013721,0.969509,2
环境和景观,夜景,0.619,看看夜景,0.990176,0.00982417,0.978169,2
性价比,感受,0.66,感受夜泊秦淮的闲情逸致,0.998746,0.00125446,0.997212,2
环境和景观,人文景观,0.612,人文景观交相辉映,0.99499,0.00500985,0.988867,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,游玩,0.614,去南京旅游一定会去夫子庙景区游玩,0.998724,0.00127605,0.997164,2
环境和景观,夜景,0.619,夜景煞是好看,0.999596,0.000403582,0.999103,2
文化和历史价值,历史,0.647,蛮有历史的味道,0.997233,0.00276669,0.993852,2
性价比,免费,0.624,免费景点,0.994221,0.00577943,0.987157,2
性价比,感受,0.66,感受还可以,0.991639,0.00836096,0.98142,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,玩,0.633,什么时候吃的玩的都有,0.986508,0.0134923,0.970017,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,趣味性,0.726,趣味性强,0.998274,0.001726,0.996164,2
性价比,免费,0.624,免费景点,0.994221,0.00577943,0.987157,2
性价比,免费,0.624,免费的5A级景点,0.999175,0.000825046,0.998167,2
环境和景观,人文,0.611,人文历史悠久,0.997379,0.0026212,0.994175,2
环境和景观,夜景,0.619,夫子庙秦淮风光带夜景真的很好看,0.999792,0.000208388,0.999537,2
性价比,标志性,0.65,南京的标志性建筑和景点,0.998845,0.00115498,0.997433,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
环境和景观,名胜,0.615,南京名胜风景区,0.992759,0.00724126,0.983908,2
性价比,游玩,0.614,晚上游玩,0.994338,0.00566232,0.987417,2
性价比,玩,0.633,"适合带孩子去玩的
",0.999442,0.000558377,0.998759,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
环境和景观,夜景,0.619,这里的夜景真的很漂亮很美的,0.999825,0.000174484,0.999612,2
环境和景观,夜景,0.619,特别是夜景很漂亮,0.999915,8.51358e-05,0.999811,2
文化和历史价值,休闲,0.558,是个休闲散心的好去处,0.999357,0.00064323,0.998571,2
文化和历史价值,历史,0.647,历史重地,0.980767,0.0192333,0.957259,2
性价比,性价比,1.0,这里景色很美性价比超高,0.999849,0.000151005,0.999664,2
环境和景观,夜景,0.619,夫子庙秦淮河风光带夜景挺不错的,0.998877,0.00112307,0.997504,2
文化和历史价值,历史,0.647,百年历史,0.999094,0.000906196,0.997986,2
环境和景观,夜景,0.619,夫子庙夜景真的很美,0.999805,0.000194935,0.999567,2
文化和历史价值,历史,0.647,历史文化名城,0.995317,0.00468273,0.989594,2
环境和景观,夜景,0.619,尤其是夜景不错,0.99782,0.00218016,0.995155,2
文化和历史价值,商业,0.556,虽然商业氛围浓厚,0.870954,0.129046,0.713232,2
文化和历史价值,历史,0.647,历史建筑多,0.993236,0.00676359,0.98497,2
环境和景观,夜景,0.619,夜景不错,0.996551,0.00344917,0.992335,2
环境和景观,夜景,0.619,傍晚在哪里逛一逛看看夜景,0.986301,0.0136988,0.969558,2
环境和景观,夜景,0.619,夜景很美,0.999893,0.000106615,0.999763,2
环境和景观,人文,0.611,人文历史丰富,0.998857,0.00114338,0.997459,2
文化和历史价值,历史,0.647,人文历史丰富,0.998857,0.00114338,0.997459,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,价格,0.724,抛开价格不说,0.0499641,0.950036,0.888969,0
性价比,感受到,0.6,感受到了秦淮河美轮美奂的夜景,0.99991,9.01339e-05,0.9998,2
环境和景观,夜景,0.619,感受到了秦淮河美轮美奂的夜景,0.99991,9.01339e-05,0.9998,2
性价比,套票,0.634,套票还可以参观江南贡院南院,0.959364,0.0406357,0.909698,2
性价比,免费,0.624,记得到楼上还有个免费的VR可以看,0.986319,0.0136809,0.969598,2
性价比,玩,0.633,景色名不虚传各种活动也不少可以去玩一下,0.998453,0.00154677,0.996563,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,玩,0.633,在这里玩的很愉快,0.999856,0.000143993,0.99968,2
文化和历史价值,历史,0.647,南京市区中心的历史和文化景点,0.99219,0.00781048,0.982643,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
环境和景观,夜景,0.619,夜景很美,0.999893,0.000106615,0.999763,2
环境和景观,人文,0.611,人文历史自然景观皆有,0.992637,0.00736325,0.983637,2
文化和历史价值,历史,0.647,人文历史自然景观皆有,0.992637,0.00736325,0.983637,2
环境和景观,自然景观,0.612,人文历史自然景观皆有,0.992637,0.00736325,0.983637,2
性价比,免费,0.624,关键是免费景点多,0.993601,0.00639885,0.98578,2
环境和景观,夜景,0.619,夫子庙秦淮河两岸夜景很美,0.999592,0.000407737,0.999094,2
环境和景观,名胜,0.615,南京的名胜之地,0.998214,0.00178572,0.996032,2
环境和景观,夜景,0.619,夜景非常漂亮,0.999941,5.91381e-05,0.999869,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,来玩必,0.636,外地人来玩必打卡的地方,0.965454,0.0345459,0.923231,2
性价比,玩,0.633,晚上去玩还是很不错的,0.99907,0.00092985,0.997934,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
环境和景观,环境,0.621,环境挺好的,0.991093,0.00890686,0.980207,2
环境和景观,环境,0.621,环境不错不错不错不错不错不错不错不错,0.991248,0.00875163,0.980552,2
性价比,性价比,1.0,性价比很高,0.99989,0.000110221,0.999755,2
设施和服务,商品,0.89,商品丰富,0.989493,0.0105065,0.976652,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
环境和景观,夜景,0.619,夜景很美,0.999893,0.000106615,0.999763,2
性价比,游玩,0.614,夜间游玩更有一翻风趣,0.994748,0.0052523,0.988328,2
环境和景观,夜景,0.619,夜景特别美～,0.999963,3.66359e-05,0.999919,2
性价比,标志性,0.65,南京的标志性景区,0.990714,0.00928551,0.979366,2
文化和历史价值,商业,0.556,商业繁华,0.984933,0.015067,0.966518,2
环境和景观,环境,0.621,环境很好,0.998906,0.00109376,0.997569,2
文化和历史价值,休闲,0.558,休闲好去处,0.9999,9.95687e-05,0.999779,2
性价比,玩,0.633,晚上到夫子庙玩,0.984365,0.0156349,0.965256,2
环境和景观,环境优美,0.622,环境优美,0.999537,0.00046279,0.998972,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,趣味性,0.726,趣味性很强,0.999166,0.000833855,0.998147,2
性价比,性价比,1.0,性价比高,0.999885,0.000115398,0.999744,2
文化和历史价值,历史,0.647,历史文化底蕴深厚,0.999308,0.000691936,0.998462,2
环境和景观,文化底蕴,0.619,历史文化底蕴深厚,0.999308,0.000691936,0.998462,2
性价比,游玩,0.614,有很多可以游玩的景区,0.995478,0.00452198,0.989951,2
环境和景观,夜景,0.619,夜景很美,0.999893,0.000106615,0.999763,2
环境和景观,夜景,0.619,秦淮河畔夜景实在太美了,0.999793,0.000207228,0.999539,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,玩,0.633,南京夫子庙秦淮风光带晩上去玩较好,0.940944,0.0590562,0.868764,2
环境和景观,环境,0.621,环境优雅,0.998861,0.00113866,0.99747,2
文化和历史价值,历史,0.647,很有历史,0.999695,0.000305454,0.999321,2
文化和历史价值,休闲,0.558,旅游休闲,0.991645,0.0083551,0.981433,2
性价比,性价比,1.0,性价比很高,0.99989,0.000110221,0.999755,2
环境和景观,地标,0.618,南京的地标景点之一,0.998294,0.00170594,0.996209,2
性价比,性价比,1.0,性价比超高,0.999914,8.5547e-05,0.99981,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
环境和景观,环境,0.621,风景很不错的地方之一环境很不错的,0.99946,0.000539866,0.9988,2
环境和景观,地标,0.618,南京地标,0.98275,0.0172501,0.961667,2
环境和景观,夜景,0.619,这里夜景超美,0.999801,0.000198698,0.999558,2
文化和历史价值,历史沿革,0.56,历史沿革至今,0.953621,0.046379,0.896935,2
性价比,游玩,0.614,下次还会再来游玩的,0.999905,9.49042e-05,0.999789,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,"性价比高
",0.999885,0.000115398,0.999744,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,"性价比高
",0.999885,0.000115398,0.999744,2
环境和景观,夜景,0.619,夜景特别美丽,0.999949,5.07971e-05,0.999887,2
环境和景观,环境,0.621,环境很棒,0.999339,0.0006609,0.998531,2
性价比,游玩,0.614,值得游玩,0.999276,0.000723712,0.998392,2
环境和景观,夜景,0.619,夜景非常美丽的,0.999892,0.000108124,0.99976,2
环境和景观,环境,0.621,环境美,0.999636,0.000364431,0.99919,2
性价比,玩,0.633,每次来南京玩,0.999312,0.000688344,0.99847,2
性价比,下比,0.606,晚上在灯光的点缀下比白天更好,0.89204,0.10796,0.760089,2
环境和景观,夜景,0.619,都让这秦淮夜景别具一番风味,0.998219,0.00178134,0.996041,2
环境和景观,环境,0.621,环境不错,0.989503,0.0104973,0.976673,2
性价比,玩累,0.607,玩累了,0.962681,0.0373191,0.917069,2
环境和景观,人文,0.611,南京夫子庙充满江南人文气息,0.9989,0.0010998,0.997556,2
设施和服务,汉服,0.638,逛逛夫子庙有很多汉服店,0.99586,0.00414021,0.9908,2
环境和景观,夜景,0.619,夫子庙秦淮河风光带夜景不错人很多,0.998797,0.00120301,0.997327,2
环境和景观,夜景,0.619,游船看夜景非常好,0.999552,0.0004481,0.999004,2
性价比,玩儿,0.627,南京必玩儿项目,0.998348,0.00165205,0.996329,2
环境和景观,夜景,0.619,夜景迷人,0.999001,0.000998952,0.99778,2
性价比,趣味性,0.726,趣味性还不错,0.994423,0.00557714,0.987606,2
性价比,性价比,1.0,性价比还不错,0.999706,0.000293722,0.999347,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
环境和景观,夜景,0.619,夜景特别漂亮,0.999962,3.79558e-05,0.999915,2
环境和景观,文化底蕴,0.619,有文化底蕴的值得去的地方,0.999526,0.000474427,0.998946,2
文化和历史价值,历史,0.647,"中国第一历史文化名河”
长江下游右岸支流",0.982258,0.0177419,0.960573,2
文化和历史价值,商业,0.556,"
我感觉商业气息重了些",0.144545,0.855455,0.678789,0
性价比,机位,0.858,有的最佳拍摄机位没去,0.859782,0.140219,0.688403,2
环境和景观,地标,0.618,南京的地标,0.990359,0.00964101,0.978576,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比很高,0.99989,0.000110221,0.999755,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比很高,0.99989,0.000110221,0.999755,2
性价比,套票,0.634,不买套票就是能排长队现场买票,0.984803,0.0151967,0.96623,2
性价比,票价,0.677,科举博物馆跟VR不值50元票价,0.118419,0.881581,0.736846,0
文化和历史价值,休闲,0.558,夜晚逛逛休闲一下还是可以的,0.990597,0.00940267,0.979105,2
性价比,玩耍,0.603,每次来南京都要来这里玩耍一下,0.999725,0.000275063,0.999389,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,感受,0.66,感受江南古城美食,0.998037,0.00196318,0.995637,2
文化和历史价值,历史,0.647,六朝古都的深厚历史底蕴,0.999817,0.000183403,0.999593,2
性价比,玩,0.633,好玩好玩太好玩了大家都去玩一下吧不错不错,0.999933,6.69616e-05,0.999851,2
文化和历史价值,历史,0.647,历史上沿河两岸人烟稠密,0.988579,0.0114214,0.974619,2
文化和历史价值,历史,0.647,由于历史的变迁,0.996552,0.0034476,0.992339,2
文化和历史价值,历史,0.647,历史上沿河两岸人烟稠密,0.988579,0.0114214,0.974619,2
文化和历史价值,历史,0.647,由于历史的变迁,0.996552,0.0034476,0.992339,2
性价比,堪称,0.659,当时的盛况堪称全国之冠,0.97486,0.0251398,0.944134,2
设施和服务,汉服,0.638,见到有穿着汉服的唱戏,0.993113,0.00688713,0.984695,2
文化和历史价值,历史,0.647,多少风花雪月的故事都变成了历史,0.840898,0.159102,0.64644,2
文化和历史价值,公园,0.555,附近还有明代开国功臣徐达的私家花园白鹭洲公园等景点,0.978129,0.0218713,0.951397,2
性价比,价,0.707,饮料也是这个价,0.641912,0.358088,0.204249,2
性价比,感受,0.66,感受民国风情,0.999774,0.000226485,0.999497,2
环境和景观,治理,0.638,随着内秦淮河东段的治理,0.962842,0.0371582,0.917426,2
性价比,成桥,0.576,随着逸仙桥经复成桥,0.857563,0.142437,0.683474,2
性价比,我用,0.642,我用四个字形容此地,0.760962,0.239038,0.468804,2
环境和景观,卫生,0.62,最点赞是此地干净卫生,0.999197,0.000803473,0.998215,2
设施和服务,服务,0.622,游船服务暫停,0.7992,0.2008,0.553777,2
环境和景观,地标,0.618,也是南京市地标之一,0.996637,0.00336305,0.992527,2
文化和历史价值,历史,0.647,历史人文丰厚,0.992194,0.00780618,0.982653,2
文化和历史价值,历史,0.647,被称为“中国第一历史文化名河”,0.910994,0.0890059,0.802209,2
环境和景观,人文,0.611,历史人文丰厚,0.992194,0.00780618,0.982653,2
文化和历史价值,历史,0.647,历史人文丰厚,0.992194,0.00780618,0.982653,2
文化和历史价值,历史,0.647,被称为“中国第一历史文化名河”,0.910994,0.0890059,0.802209,2
环境和景观,夜景,0.619,夜景真的很迷人,0.99969,0.000309716,0.999312,2
性价比,价格,0.724,价格不是很贵,0.988381,0.0116186,0.974181,2
环境和景观,人文景观,0.612,秦淮河风光体现了最美的江南秀丽精致的人文景观,0.999966,3.37417e-05,0.999925,2
性价比,感受,0.66,感受江南慢生活的惬意浪漫,0.99991,9.00589e-05,0.9998,2
性价比,性价比,1.0,这里性价比很高,0.999829,0.000171377,0.999619,2
性价比,价格,0.724,价格还可以,0.934559,0.0654414,0.854575,2
性价比,价格,0.724,买的特产价格也可以,0.990627,0.009373,0.979171,2
性价比,价格,0.724,另外附近的小吃店价格都比较便宜,0.572605,0.427395,0.0502335,2
性价比,量,0.588,量不是特别多,0.245038,0.754962,0.455471,0
性价比,价格,0.724,价格还可以,0.934559,0.0654414,0.854575,2
性价比,价格,0.724,买的特产价格也可以,0.990627,0.00937301,0.979171,2
性价比,价格,0.724,另外附近的小吃店价格都比较便宜,0.572605,0.427395,0.0502335,2
性价比,便宜,0.689,里面的东东超级便宜,0.965456,0.0345438,0.923236,2
性价比,便宜,0.689,另外附近的小吃店价格都比较便宜,0.572605,0.427395,0.0502335,2
性价比,价格,0.724,价格还可以,0.934559,0.0654415,0.854574,2
性价比,价格,0.724,买的特产价格也可以,0.990627,0.00937301,0.979171,2
性价比,价格,0.724,另外附近的小吃店价格都比较便宜,0.572605,0.427395,0.0502333,2
性价比,便宜,0.689,里面的东东超级便宜,0.965456,0.0345438,0.923236,2
性价比,便宜,0.689,另外附近的小吃店价格都比较便宜,0.572605,0.427395,0.0502333,2
环境和景观,夜景,0.619,尤其是夜景,0.991055,0.00894471,0.980123,2
性价比,免费,0.624,免费的5a级旅游景区,0.99719,0.00281038,0.993755,2
环境和景观,人文景观,0.612,美丽的自然风光和合作人文景观在一起,0.999413,0.000587328,0.998695,2
文化和历史价值,历史,0.647,南京历史人文景点之一,0.998262,0.00173796,0.996138,2
环境和景观,人文,0.611,南京历史人文景点之一,0.998262,0.00173796,0.996138,2
环境和景观,环境卫生,0.62,环境卫生做的不错,0.947042,0.0529581,0.882315,2
设施和服务,设施,0.621,设施齐全,0.999283,0.00071722,0.998406,2
环境和景观,环境,0.621,环境不错呀,0.990215,0.00978495,0.978256,2
文化和历史价值,商业,0.556,商业氛围满满,0.993826,0.0061742,0.98628,2
环境和景观,夜景,0.619,晚上夜景也还不错哈,0.999296,0.000704373,0.998435,2
环境和景观,环境,0.621,环境宜人,0.981781,0.0182185,0.959514,2
性价比,性价比,1.0,整体性价比一般,0.0117037,0.988296,0.973992,0
性价比,价,0.707,节日加了价,0.487074,0.512926,0.741487,1
文化和历史价值,商业,0.556,商业气氛太浓hou,0.0269863,0.973014,0.94003,0
设施和服务,服务,0.622,就是服务保障做的还需提升,0.898986,0.101014,0.775524,2
设施和服务,服务,0.622,希望有关方面能做好这最后的服务“一公里”工作,0.0686387,0.931361,0.847469,0
设施和服务,服务,0.622,就是服务保障做的还需提升,0.898986,0.101014,0.775524,2
设施和服务,服务,0.622,希望有关方面能做好这最后的服务“一公里”工作,0.0686387,0.931361,0.847469,0
性价比,成,0.618,两河在南京市江宁区方山埭西北村汇合成秦淮河干流,0.936395,0.0636048,0.858656,2
文化和历史价值,历史,0.647,历史上,0.995049,0.00495137,0.988997,2
文化和历史价值,历史,0.647,历史上极富盛名,0.991874,0.00812646,0.981941,2
文化和历史价值,历史,0.647,被称为“中国第一历史文化名河”,0.910994,0.0890058,0.802209,2
文化和历史价值,历史,0.647,历史上,0.995049,0.00495137,0.988997,2
文化和历史价值,历史,0.647,历史上极富盛名,0.991874,0.00812646,0.981941,2
文化和历史价值,历史,0.647,被称为“中国第一历史文化名河”,0.910994,0.0890059,0.802209,2
文化和历史价值,历史,0.647,历史上,0.995049,0.00495137,0.988997,2
文化和历史价值,历史,0.647,历史上极富盛名,0.991874,0.00812646,0.981941,2
文化和历史价值,历史,0.647,被称为“中国第一历史文化名河”,0.910994,0.0890059,0.802209,2
文化和历史价值,历史,0.647,中华门等等历史景观,0.988491,0.011509,0.974424,2
文化和历史价值,历史,0.647,这是历史上极富盛名的地方,0.993451,0.00654943,0.985446,2
环境和景观,景观,0.615,中华门等等历史景观,0.988491,0.011509,0.974424,2
环境和景观,古迹,0.61,可谓集古迹,0.991237,0.00876315,0.980526,2
文化和历史价值,历史,0.647,中华门等等历史景观,0.988491,0.011509,0.974424,2
文化和历史价值,历史,0.647,这是历史上极富盛名的地方,0.993451,0.00654943,0.985446,2
文化和历史价值,历史,0.647,"
这里有历史遗留的古迹",0.97706,0.0229396,0.949023,2
文化和历史价值,历史,0.647,就为竭力营造秦淮河曾经的历史风貌,0.990634,0.0093657,0.979187,2
文化和历史价值,历史,0.647,秦淮八艳只在历史的时空里轻笑浅吟,0.863236,0.136764,0.696079,2
环境和景观,古迹,0.61,"
这里有历史遗留的古迹",0.97706,0.0229396,0.949023,2
环境和景观,历史风貌,0.612,就为竭力营造秦淮河曾经的历史风貌,0.990634,0.0093657,0.979187,2
文化和历史价值,历史,0.647,"
这里有历史遗留的古迹",0.97706,0.0229396,0.949023,2
文化和历史价值,历史,0.647,就为竭力营造秦淮河曾经的历史风貌,0.990634,0.0093657,0.979187,2
文化和历史价值,历史,0.647,秦淮八艳只在历史的时空里轻笑浅吟,0.863236,0.136764,0.696079,2
文化和历史价值,商业,0.556,商业氛围浓,0.94399,0.0560099,0.875534,2
环境和景观,夜景,0.619,夜景很美,0.999893,0.000106615,0.999763,2
性价比,免费,0.624,景区有免费的WIFI,0.984503,0.0154971,0.965562,2
性价比,最受,0.622,这里是最受游客欢迎的地方,0.989938,0.0100616,0.977641,2
