用户名,时间,内容,星级,点赞,,,
Coldzera_6063,2023-10-0321:27,很棒的体验能够从中国的历史建筑中学到很多,5,0, , , 
匿名用户,2023-10-0321:21,环境还不错，就是走路太多了，有点累,4,0, , , 
蜜蜂姐姐,2023-10-0320:14," ??体验感一般，人太多，所以工作人员?????的态度真的很不耐烦，只有志愿者??会友好一点。正是因为人太多，人挤人，所以到哪里都是蒙圈的。 ??可能景区内的景点或者观光车??都外包了，各种引导买车票，买套票，以为便宜很多，结果花了更多的钱，说是套票，5??个景点结果去了2??个景点实在走不动了，因为到处是人，看不到头??观光车也一样，买了套票还要买内循环票，不买就把你乱指到另外一个地方?? ??节假日???♀?不是很推荐前往，更不推荐买套票，玩到哪算哪，车票也是一样，小程序很方便，排队的间隙随时购买就好。 ??本来想带小朋友学习一下历史知识，能在六朝古都南京留下一点深刻的记忆，也不知道他自己的感觉是什么。   		   ",3,0, , , 
盧雅艺术空间,2023-10-0318:20,是明代开祖皇帝朱元璋和马王后的陵墓。为明清第一皇陵，边上有东陵，东陵的享殿已没有了，只留下地基。孝陵的神道，屹立着马，狮子，麒麟，獬豸，骆驼。尊严肃静。我们从1号上山，很方便，停车场在对面。,4.5,0, , , 
一切都是最好的安排012,2023-10-0317:23,这段梧桐树真的美，人也是真的多,5,0, , , 
面包五,2023-10-0317:13," 明孝陵真的好美，是朱元璋及马皇后的陵墓，神道旁有狮子、大象、骆驼、獬豸等，虽然去的时候是雨天，但游人也很多，待梧桐树叶变黄的时候，应该更美吧，有东吴大帝孙权纪念馆，还有诸多明朝历史典故介绍介绍，朱标的故事等。   		   ",5,0, , , 
xgvhjnbb,2023-10-0316:10,景区风景很好位于紫金山下面交通很便捷,5,0, , , 
明月光,2023-10-0315:41," 作为南京人，国庆期间下午以后才出门，到很久没去明孝陵的走走，想看看石像。春秋是南京最好的季节。除了人比较多，其他都很好，还是推荐大家从五号大进门进去，这样才是一个比较完整的旅游路线。然后事先做好攻略，对这段历史有些了解也是比较好的。你这样你才能真正的对所看的东西有深刻的理解。 我觉得银杏叶黄的时候应该再去看一看。真的让人心情愉悦，安静。   		   ",5,0, , , 
徐尼尼,2023-10-0315:20,景区张导的讲解非常棒！带我们来到600年前的明朝,5,0, , , 
泡菜程哥,2023-10-0312:29,打卡明孝陵，了解它的历史今生，超级有收获！导游小姐姐讲的还不错，但是吐槽一下，明显没有隔壁那个团的小姐姐讲的详细，一个价钱两种服务差评,4,0, , , 
BrickDream,2023-10-0307:47,"景区很大，有导游好好转能玩一天
最感慨的是朱元璋墓和主要配套建筑七百年了还都在，边上的朱标墓缺只剩下地基遗址了
各种石像生挺萌的
里面还有孙权墓遗址，和曾经不负少年头一号汉奸墓旧址",4,0, , , 
长颈鹿,2023-10-0223:42," 假期旅游路书，从中山陵出发至明孝陵，这里是明太祖朱元璋与其皇后的合葬陵寝。因皇后马氏谥号“孝慈高皇后”，又因奉行孝治天下，故名“孝陵”； 注意：景区7号门口入口处，有电子讲解器可以租赁，佩戴耳朵上非常方便，慢慢欣赏这里的红砖黄瓦，每一片都在见证着南京城历史的变迁。   		   ",5,1, , , 
karen_lee25,2023-10-0222:04,还可以，除了景区内的各种摆渡车各种消费，景区外的出租车10元一人送到2公里外的地铁站，总之除了各种变着法的额外消费外，景点本身除了大也的确还可以。,4,0, , , 
沐九九九九九九九九九,2023-10-0221:59," 差评的地方挺多的。真的是太大了，走不动啊走不动。。因为交通管制，只能步行，还不让骑共享单车，服务区内的出租车和小电瓶也没警察管，乱收费，高喊价，真是给南京丢脸。志愿者很棒。景区车调度中心不负责售票，也没有指引哪边可以购票，景点内只能步行，对刚爬完山的人来说真走不动。   		   ",3.5,0, , , 
多吃美食没烦恼,2023-10-0221:53,"风景很好，绿化都是百年老树～
整个体验感，梦回当年时～",5,0, , , 
元元徐元元,2023-10-0221:29," 明孝陵景区，我只去了明孝陵博物馆和明孝陵。博物馆里一位漂亮的志愿者妹妹讲解的非常棒，听了她的介绍之后与语音导览对比感觉还是她说的更棒，真没必要再花二十买了。景区非常美，环境无敌好，到处都是干干净净又充满了威严！如果体力好的可以走进去，先不坐景区观光车，走在这样的环境中感觉灵魂得到了净化。 下面说点闲的：1.爱猫人士可以带猫粮和罐罐去，明孝陵的猫咪太可爱了，一个个油光水滑，好多人都在看的。2.准备往碑殿走之前有卖小吃的，烤肠五块一根无敌好吃，关东煮的味道也很棒！我买烤肠喂小猫咪来着！好好吃啊！   		   ",4.5,0, , , 
夏日柠檬茶,2023-10-0219:44," 明孝陵是明朝开过皇帝朱元璋与马皇后的陵墓，暑假的时候带娃增加一点历史知识明孝陵很大，绿化做的不错，蚊虫也很多园区很大需要体力，太累坐的观光车排队一小时坐车十分钟，有站着排队的时间也早走下去了建议提前做点攻略   		   ",3.5,0, , , 
zaerui璇,2023-10-0219:23,端庄雅宏，雄伟壮观，鹿鸣其间，气势非凡，此乃明清皇家第一陵是也。,4.5,0, , , 
飞鸟与鱼,2023-10-0217:17,明孝陵景区很大很大，除了宫殿区还有神道等等。很棒。,5,0, , , 
蜜汁蒸豌豆,2023-10-0214:04,人太多了，园区管理要加强，有点混乱，管理人员一问三不知。可能因为节假日，平时会好一些吧,2.5,0, , , 
jia,2023-10-0213:52,主要带娃玩，里面的小鹿超级可爱，也很乖不咬人，其他的小孩不太感兴趣走不动了,3.5,0, , , 
Tracy,2023-10-0213:47," 国庆来明孝陵，必须是人多多多，顺着人流慢慢走，小攻略是一定要从五号门进，从一号线地铁站出来后，在找五号门的时候能走过最美梧桐路，五号门进能够完整逛完明孝陵，可以走神道，然后从七号门出，就可以继续去中山陵了   		   ",4,1, , , 
烟花灿烂6789,2023-10-0213:19,总体不错！面积很大，很好的疏散了人群！景区内志愿者特别耐心，很细致的介绍！,4.5,0, , , 
是个热心市民,2023-10-0119:20," 明孝陵里自由奔跑的野猪  开国皇帝朱元璋和皇后马氏的陵墓 开国皇帝的陵墓，整个朱明王朝千秋万代，都要重中之重维护的工程。即便朱棣迁都北京，明朝政治中心北移，南京也依然保留有一套“备份”的官僚体系。对明孝陵的日常维护，更是没有丝毫的懈怠  明孝陵是中国历史上最重要、最壮观、最神秘的帝王陵寝之一，它不仅见证了明朝的兴衰荣辱，也展现了中国传统文化的精髓和魅力。  石像路特别震撼，每个上面还有解说，感觉整个地方的风水都不一样   		   ",4.5,0, , , 
蒙古大汉,2023-10-0119:08," 明朝开国皇帝朱元璋之墓。 前两年去过唐太宗李世民的昭陵还有汉高祖刘邦长陵，比起前两位开国皇帝来讲，圣高祖朱元璋的孝陵来讲少许霸气。明太祖朱元璋之墓很适合第一次来南京的时候去参拜，太祖旁还有开国功勋常遇春等开国功勋之墓。 有说参拜明孝陵就不去中山的讲法，一个是新中国，一个是明朝的辉煌。   		   ",5,1, , , 
呃呃,2023-10-0117:38,主要是搞不懂为什么献殿用的是鞋拔子清朝异像，看着恶心。其他都还好。,4.5,1, , , 
Shrimpking850,2023-10-0117:29," 假期去的时候人有点多，提前在网上买好了票，所以直接入园，平常挑人少的时候去慢慢逛应该体验感更好，沿着旁边的小道慢慢走，水里还有几个鸭子??，照出来超级好看，里面的绿化也都规划得很好看，在里面逛上一天都没问题，   		   ",4.5,0, , , 
匿名用户,2023-10-0116:25,国庆长假来南京，10月1日参观了明孝陵，人山人海，还行吧！！,4,0, , , 
icnow,2023-10-0116:25," 明孝陵是比较典型的苏式园林的样子，不过仅仅600年，已经残破不堪，屋殿都是修复的，寝宫也看不见，只有园林留了下来。 想想秦皇陵，2500年了，兵马俑群雄伟壮观，铜车马精致威严，主要这些都是真迹，真的能看到几千年的痕迹，看历史还是要去西安，真正有恍如隔世之感。   		   ",3.5,0, , , 
ddjx123,2023-10-0116:18,游玩1小时，等车下山2小时，这个什么中山风景区垄断经营，自己没运力，也不让车辆接人,0.5,0, , , 
觅食游记,2023-10-0115:20," 明孝陵是南京必玩榜景点，5A级景区，坐落于紫金山南麓，世界文化遗产，是我国重点文物保护单位。明孝陵是南京最大的帝王陵墓，是朱元璋和皇后的合葬陵墓，代表了明初建筑和石刻艺术的最高成就，值得一看。景区庞大，沿途有神道石象生、翁仲路神道，明东陵，梅花山，梅花谷等著名景点。   		   ",5,4, , , 
Wilson_Z,2023-10-0113:34,游客跟欠钱了一样，买个车票要被查无数次，就怕漏一个没付钱。态度极差！！！！,0.5,0, , , 
我勒个豆,2023-10-0100:32,人尊嘟特别多，五一放假的时候，明孝陵很大一天根本逛不完，当时还买了观光车坐着看有的建筑挺好看但就是没逛完，地方好大,4,0, , , 
doudou822,2023-09-3022:40," 进入明孝陵第一找的就是长生鹿苑，鹿都“营业”累了，中午在树下休憩。很方便旅客拍的和友好“交流”。图四也是鹿，名叫白鹿。它不是羊，很温顺也很能吃。地方太大，又逢周一。所以就一直沿着神道和官道，直达陵墓。明太祖朱元璋与其马皇后的合葬陵寝，是中国规模最大的帝王陵寝之一。风景很美，的确必打卡之一。   		   ",4.5,0, , , 
力拔山兮气盖世,2023-09-3020:52,早晨6：40到明孝陵5号门，几乎没有游客，体验感很不错。想人少就要早起呀,5,2, , , 
慧勇忠诚的小卜,2023-09-3016:36,"微信电子讲解一个景区20，打卡盖章都要先消费，商品没特色，打着文创实则淘宝。
这两项其他景区好像都是免费的吧。",3,0, , , 
宫野,2023-09-3015:16,难得的假日和朋友来这儿打卡啦，玩得很开心哦，除了人太多了，其他都很好啦。,5,0, , , 
鼹鼠君小七,2023-09-3012:49," 非常值得一去，景区比较大，所以不显拥挤，可以买通票100元包括四个景点，美龄宫，明孝陵，灵谷寺，中山陵，中山陵下来可以去音乐台喂鸽子。四个景点之间推荐游览车，30元随时上下。因为每个景点内走路已经不少，想一天玩完的话基本上必须使用游览车了，不然会非常累。   		   ",5,0, , , 
DoubleC,2023-09-3012:17," 明孝陵是明太祖朱元璋与马皇后的合葬陵墓因皇后马氏谥号“孝慈高皇后”又因奉行孝治天下故名“孝陵”明孝陵始建于明洪武十四年（1381年）至明永乐三年（1405年）建成先后调用军工10万历时达25年明孝陵位于南京市玄武区钟山风景名胜区内其占地面积达170余万平方米是中国规模最大的帝王陵寝之一陵园规模宏大格局严谨孝陵建筑自下马坊至宝城纵深2.62公里陵寝主体建筑当年建有红墙围绕周长2.25公里   		   ",5,0, , , 
匿名用户,2023-09-3010:23," 南京，一座有历史韵味的城市 走在南京，仿佛走在历史的烟雨里 明孝陵，保留着历史韵味，没有过多商业化 去走一走，不一定非要有明确目的地 随处可见历史，随处可见惊喜 是心灵的荡涤 挑一个人少的日子去，比如小雨天 会有不一样的感觉   		   ",5,0, , , 
卓越椰子,2023-09-3000:23," 住在城东的时候经常去，后来搬家了就去的少了，明孝陵真是一个一年四季都很美的地方，春天去看看樱花，夏夜捉捉萤火虫，秋天落叶纷飞冬，冬季一整个雪景花园，多点时间慢慢逛，无论去多少次，每次依然能有新发现，多点时间散散心吧，在这个浮躁的世界里   		   ",5,0, , , 
妙妙,2023-09-3000:14,总要来一次南京吧来看一看十一月南京的秋拍照很出片人也超级多美女也是一道靓丽的风景线,5,0, , , 
专业最高,2023-09-2923:36," 抽空特意在工作日去了南京游玩，游客数量明显比较少，体验还是不错的。 开车导航过去的，进去钟山风景区的时候就感叹景色了，在山路上开车特别有感觉。 明孝陵很大，大到一次肯定逛不完，里面有很多小景点，只能找最重要的景点。 感叹当年明朝的建造水平，如果没有迁都，在南京不知道要留下多少名胜古迹。 非常值得过来游览一次   		   ",5,4, , , 
京城贝勒爷,2023-09-2920:20," 慕名而来，一个记录朝代历史，也是记录南京历史的景点，范围很大！从东边的4号门进入，穿过神路，看到一尊尊石像??，记录过往的历史！在树林深处是红墙金瓦的陵殿，感觉既雄伟，又感到孤独和凄凉，幽静的明孝陵静静的在那里，见证着这座城市的变迁和历史   		   ",4.5,0, , , 
kikikiki,2023-09-2916:01,"南京的美让人感觉停留在鼓楼区和玄武区
鸟语花香天然氧吧就是那么简单真的很舒服
呼吸新鲜空气住在附近的真的好幸福",5,0, , , 
包子涨价了,2023-09-2819:31," 明孝陵不愧是南京打卡地，环境不要太好，梧桐大道太美了，坐着小火车进入景区，从三号门进去可以最快到达长生鹿苑，小朋友最喜欢的小鹿在这里。 不过想要去喂小鹿需要买30的草。从三号门往五号门走可以去神像石道，沿着走就能到朱元璋墓，风景也十分好，就是要有一定体力才能走完。   		   ",4.5,0, , , 
小芝麻,2023-09-2812:51," ??我们的交通&路线：地铁苜蓿园1号口下车，几百米到孝陵3号门，沿路牌直奔神道和陵区，最后在陵区门口坐观光车前往下一站：中山陵。 这个路线对的是神道的中间，要想看全还得走到神道头重走。不知还有没有更优的路线。 神道上的动物各两组，都是先跪后站，造型圆润，古朴而气派。文臣武将建议绕到后面也看一下，观察细节。陵区进门的地方，还有里面的明楼都有些展板，可以对孝陵、太子陵和朱元璋的奋斗史有进一步的了解。   		   ",3.5,0, , , 
皆为尘埃,2023-09-2809:18," 周一很多景点都不开门，就选择到明孝陵参观，明孝陵位于南京市钟山风景名胜区内，是明太祖朱元璋与其皇后的合葬陵寝。其占地面积达170余万平方米，是中国规模最大的帝王陵寝之一。 明孝陵始建于明洪武十四年（1381年），至明永乐三年（1405年）建成，历时达25年。整个园区将人文与自然和谐统一，达到天人合一的完美高度，成为中国传统建筑艺术文化与环境美学相结合的优秀典范，有明清皇家第一陵”的美誉，无处不体现君主威严和气派！   		   ",4.5,5, , , 
毅慧俊秀的小罕,2023-09-2800:11," 累死累活走了半天，就一堆破楼和土墙，啥也看不到，只有最后的那个城楼看起来还可以，原谅我没有欣赏能力，天气热的时候千万别来，来不及的也可以不来这个景点，还不如去中山陵，不然你一定做好防晒，撑伞或者戴帽子，不然会崩溃，别问我咋知道的，而且上面都没有能坐的地方。春秋天应该还不错，因为里面蛮多各种各样的植物的，曼陀罗花特别多，还有不同颜色的，还蛮好看的。   		   ",4,0, , , 
葡萄柚呦呦,2023-09-2721:09,朱元璋明孝陵是钟山风景区里的另一景点，进入景区内，还要走很远很远的路，赶时间可以做个电瓶车。明孝陵至今还未开挖，进入中心区域也只能去明孝陵前的城门参观一下。如果时间很紧张，可以选择不去这个景点。,5,0, , , 
bzzz,2023-09-2718:46,就逛了明孝陵感觉树很多很适合散步但真实的墙反而没那么好玩本来还看攻略想要特种兵把中山陵和美龄馆玩了但是我还是对自己的体能有数的光一个明孝陵一万五千步就是我的极限了,3.5,0, , , 
匿名用户,2023-09-2716:55,"哭…
四点半开始室内展馆关闭了
小鹿也陆续回去了
来打卡的朋友们注意时间哦
并不是六点半闭园
四点半后几乎没啥好逛的了",3,0, , , 
brilliant_yu,2023-09-2716:53," 第一次去明孝陵，不得不说明朝开国皇帝的陵寝就是气势恢宏。在北京看过十三陵，来了明孝陵之后才知道十三陵有点儿微不足道…从神道、棂星门、明楼等等建筑的规制都非常气派和宏大。园子里还栽种了很多桂花树，飘香万里那种，太舒服了。最主要的是还能看到盛放的曼珠沙华（彼岸花），就很神奇。喜欢这种植被的郁郁葱葱，对于北方来的筒子们真是太友好了。   		   ",5,1, , , 
九公主Cheryl,2023-09-2716:28," 阳春三月不去梅花山赏梅，是人生一大损失！我们是公司组织团建，毫不犹豫的选择了梅花山，2月底，梅花基本都开了，云蒸霞蔚，特别美！整体除了路况比较复杂(因为景点人太多:)，其他都还不错，指示牌清晰！基本不会迷路！   		   ",4.5,0, , , 
Trump518518,2023-09-2714:03," 康熙皇帝六次下江南五次来了明孝陵，并且行三跪九叩大礼。 康熙三十八年康熙拜谒明孝陵，并题“治隆唐宋”碑于碑亭。表达对朱元璋治下的明初有“治隆唐宋，远迈盛唐”的赞美。 重要的事说三遍，游览车！游览车！游览车！一定要坐   		   ",5,1, , , 
xxe,2023-09-2710:11,不要再被骗了，明孝陵没有地宫参观，爬到城楼上是VR体验馆，完全没有走到最后的必要，尽管景色好看，但是如果教程不行的话，还是不要轻易去，毕竟145元的门票也不便宜，游玩的话可以不用优先考虑这个景点,1.5,0, , , 
匿名用户,2023-09-2622:53," 步行太长了，大门走进去，就是神道，过了神道就是两对文官和武官的雕像，一直走，从进门走大概30分钟，才能走到陵跟前，结果上城楼啥也没看到，挺失望的，又得再走半小时返回大门口。也有人是做观光车，但这个观光车排队时间特别长，得等1小时左右，不是很推荐看   		   ",3.5,0, , , 
WW我的小宝贝儿,2023-09-2622:29," 美丽的南京，处处都是风景，今天打卡明孝陵，，值得一去，我们不行步行走了一段时间，这样更好的游玩一下，还挺不错的，大概一天时间，都游玩了，步行就是有点累，天气好，一家三口一起去玩吧！，到处都是人山人海呀！嗯   		   ",5,0, , , 
匿名用户,2023-09-2615:47," 明孝陵算南京的必打卡景点，景区很大，去的时候人也不少，细细逛可以逛上一整天。孝陵内的一砖一瓦、一柱一石，都有着百年历史，这些石柱上岁月的痕迹，见证了华夏时代的变迁，虽然他们静谧不语，但却诉说着历史最直白的沉淀。   		   ",4.5,0, , , 
