用户名,时间,内容,星级,点赞,,,
薄荷绿,2023-10-2010:43," 位置：与秦淮河内河、老门东都挨着很近（可以一起逛） 线路：步行到夫子庙，建议先去夜游秦淮河。夜游结束之后逛逛夫子庙走到老门东，然后在老门东吃点美食！ 停车：建议绿色出行（人很多，节假日还需要预约） 美食：我在里面没有找到很好吃的（个人口味），可以根据自己的口味挑选美食！   		   ",4,0, , , 
给我来一瓶大果粒,2023-10-1318:48,秦淮河的夜间景色非常漂亮，个人觉得值得一逛，如果来的话可以选择晚上，夜间灯光非常有氛围感，还可以尝试一下坐船夜游秦淮河，但是吃东西的话最好还是去老门东，旁边的夫子庙可去可不去，看个人吧，而且是收费的。,4,0, , , 
Divergent_2855,2023-08-2917:23," 夫子庙景区的夜晚灯火通明，观者摩肩擦踵。游玩就是既要找寻静谧的小众景点，也要流连 于商业味巨浓的老街 。话说“秦淮灯彩”起源于三国表佛，相传三国延续 汉明帝以来“表佛”的做法，“燃灯表佛”是对佛最大的崇敬。正月⑦⑤之夜，皇宫张灯结彩，后来佛教深入民间，民间也开始观灯赏灯的活动。南朝时期出现 元宵灯会，每年元宵节灯火满市井，明朝，元宵 灯会进入鼎盛时期。1986年，秦淮灯会恢复，2006年列入中国首批非物质文化遗产名录。   		   ",5,0, , , 
喵,2023-09-1313:52," 夫子庙，地铁有直达的站，步行几分钟就到。只是秦淮河畔的商业气息太浓了，各种卖纪念品、特产的商家，各种小吃店。游人固然也会很多，排队游秦淮河的人已经多到画龙了。这里有着浓厚的历史文化，科举博物馆，夫子庙，乌衣巷，集历史和现代文明为一体。如果来到了南京，不妨来打个卡。   		   ",4,0, , , 
匿名用户,2023-09-3013:56," 夫子庙难道每天都是人挤人吗？如果这样的话，唯一幽静一点的地方也就地宫了（简称） 人不多可能是因为需要门票吧一共地下四层，每一层都是满满的历史啊，如果没有足够的时间话，想要看完还真不容易。简略。我特别喜欢这四个字鱼龙变化   		   ",5,0, , , 
匿名用户,2023-09-2814:40,南京夫子庙真的值得去看一看，领略一下秦淮河畔人家的风味人情。可以去体验一下孔子曾经的历史文化。当然这里晚上去会更好看。值得去的地方，晚上还可以坐着小船游荡在秦淮河上，感受一条河流两岸的别致风景。,4.5,0, , , 
天堂风2考拉,2023-10-0714:52,充满人文的景点，可以坐画舫游河，白天80每人，晚上东段100每人40分钟看人文，西段140每人50分钟有灯光秀。,5,0, , , 
发型不能乱,2023-09-1619:08,南京一个值得到此一游的地方！夫子庙没有了以前的古香古色！充满了商业气息！小吃略贵！不建议购买！沿途一路边走边玩！看看秦淮河夜景！,5,0, , , 
奇葩游心公主,2023-09-0719:29," 南京特色的一条街，人气旺盛环境很美，夜晚景色太好看了，还有游船码头。小店都在出售板鸭生意兴隆啊。疫情后的繁华。保安也很好的管理着。太棒了。老人孩子都好喜欢，拍照留念必须去夫子庙打卡看一看。南京去吃的也很多。   		   ",4.5,0, , , 
甜心很开心,2023-09-2215:22," 不管是来南京旅游的，还是在南京工作的，南京夫子庙是比打卡的地方，我已经来了好几次了，总是不厌烦，因为每次来拍的照片都不一样，感受也是不一样的，环境不错，还有好多拍写真的店，想拍什么样的风格都有，来旅游的一定要夜晚来玩哦，夜景比较好。   		   ",5,0, , , 
Veronica,"2023-08-24
??更新于2023-09-1019:58"," 夫子庙值得一逛，票价不贵，只要三十块钱。离地铁站不远，交通非常方便。白天看秦淮河已经很美丽了，建筑风格很好。据说夜晚去更好看，灯就会都亮了。就是人特别多，据说一年四季人都这么多。乌衣巷也在旁边，可以顺便去逛逛。   		   ",4,0, , , 
哆啦A梦,2023-10-2618:32,"**上看到南京小红人在夫子庙
开展了非常南京小吃一条街
今日周末来逛吃逛吃
胃口小、这些就打饱了",5,0, , , 
施瓦伯格8,2023-08-2822:23," 南京秦淮区贡院街80-1号周边，就是有名的夫子庙秦淮风光带啦。 有经典的夫子庙和秦淮风光，商业街兼而有之，融合在此。有各种小吃与南京特产，盐水鸭及鸭的衍生产品。贡院附近人来人往，游人如织。秦淮河的游船码头与众多的特色游船承载的游兴意浓的游客，如此拥挤的客船，看来隆财源广进。   		   ",4.5,1, , , 
丘山居士,2023-08-0118:02," ??????秦淮河，分为内外两条河???????内秦淮在夫子庙，同时分为东西线。?东线游船从夫子庙前天下文枢牌坊下的泮池登船，沿途大概会经过桃叶渡，白鹭洲公园，水街，东水关，中华门，最后回到泮池码头。?西线夜游18:00开始。游船从泮池登船，沿途经过中华门，古戏台，仙鹤桥，西水关回到泮池登船。?外秦淮全程45分钟。在中华门外的大报恩寺遗址公园附近登船，游船路线：报恩寺码头-雨花桥-凤台桥-报恩寺游船码头。   		   ",5,0, , , 
匿名用户,2023-11-0811:02," 这个风光带晚上确实非常非常的美，而且的话，它的美并不只是她本身的美，还有包含了很多历史，很多传说，很多藿香艳或悲壮的故事。最好可以在这里或者漫步，或者游船都可以，晚上真的是美轮美奂。去游船码头坐游船就好了，价格小贵，但是值   		   ",4,0, , , 
匿名用户,2023-11-0800:11,人挤人，挤死人，看看就行，没啥好吃的,4.5,0, , , 
做个俗人食人间烟火,2023-11-0521:06," 推荐理由： 里面有非常多景点，也有专门住宿一条街非常多吃的。 进园是免费的，然后只有几个是免费的呦其他基本都是需要单独收费的，已经是第二次来了所以没有吃什么，有些景点也没有再进去，随便逛了一下就去了南京下一个景点。   		   ",4,0, , , 
妙体塑形普拉提I吱吱,2023-11-0520:53," 去南京夫子庙参观 南京夫子庙，一个历史悠久且充满文化气息的地方。 交通:首先，你可以选择地铁3号线，到达夫子庙站下车，步行约5分钟即可到达。 景点:到了夫子庙，你可以参观贡院、大成殿等，感受古老的文化氛围。 美食:南京夫子庙美食丰富，你可以尝试南京大牌档、小杨生煎等传统美食。 购物:在夫子庙周边，你可以购买到各种特色小商品，如雨花石、云锦等。 总之，南京夫子庙是一个值得一游的地方，无论是感受文化氛围还是品尝美食，都是不错的选择。   		   ",5,0, , , 
心若秋蓬,2023-11-0416:26,"夜景游船还是挺不错的～
拍照很好看，就是人真的太多了",4.5,0, , , 
漫游南京,2023-11-0410:27," ""烟笼寒水月笼沙，夜泊秦淮近酒家""，古人口中繁华的金陵城在夫子庙得到了完美的展现，仿佛穿越回到了古时，古都金陵的烟火气在这一刻得到了淋漓尽致的体现。  夫子庙游玩tips： 1.夜景极美，建议傍晚时分来游玩，可以顺着秦淮河边边走边逛 2.一定要在游船经过时拍照，这才是南京夫子庙必打卡照片 3.一定要拍“夜泊秦淮”的灯笼??，是南京地标特色 4.游船推荐游览内秦淮东线，这条线路景色最美，但是人也最多，假日周末可能要排队一个小时以上 4.建议以白色系裙子??为主或汉服，拍出的照片会很好看   		   ",5,0, , , 
少年归来,2023-10-3020:29,秦淮风光是真的美，晚上骑车路过，都忍不住的停下来。拍个照留个念！,5,2, , , 
易燃,2023-10-2319:46,"千万别去，超级难吃，会被坑，还死贵
桥边的铁板鱿鱼千万别买，送到顾客手里除了上面一层调料，鱿鱼都还是凉的，提出疑问
营业员居然说：你是外地的吧，南京烤鱿鱼都是这样，吃的就是调料
我一个杭州人震惊了",0.5,0, , , 
阿布鲁老师,2023-10-2220:07,秦淮八艳，秦淮画舫，从东水关到夫子庙，到长干桥，中华门城堡，老门东，感受金陵之美,5,0, , , 
岳_9189,2023-10-1513:14,万物皆热爱，生活不苟且，且行且珍惜,4,0, , , 
朱键_2458,2023-10-1421:30," 一直以来就想到这边来看看秦淮的风光，这次出差特别晚上跑到他们这边来看的。他们这边晚上可以顺带着玩一下夫子庙，夫子庙里面其实没有什么太特殊的感觉，就是一个普通的庙，然后晚上就在那边坐轮船。感觉轮船的费用还有点贵，然后轮船是在秦淮河这边游一圈。我也看了一下时间，大概要花45分钟左右。   		   ",4,0, , , 
匿名用户,2023-10-1416:09,来南京必去夫子庙打卡，就景区来说确实不错。,4.5,0, , , 
匿名用户,2023-10-1222:28," 《泊秦淮》相信大家都学过，到了秦淮河才能感受到那种气氛，秦淮河的中心地带就在夫子庙的对面，那也是一条商业街，江南贡院、中国科举博物馆也在这里，都可以逛一逛，因为到了秦淮河都是晚上了，就在商业街里逛了逛，有点小遗憾我没有坐游船   		   ",4,0, , , 
小何,2023-10-1219:10,人太多了，玩的也不好玩，没有意思，就排队吧,0.5,0, , , 
肉肉,2023-10-1219:07,人气一直很旺，到哪都是排队人挤人,4.5,0, , , 
清晨,2023-10-1122:54,南京夫子庙第二次来了上次是白天这次晚上来夜景很美古建筑很独特,5,0, , , 
小萌萌你好呀,2023-10-1013:29," 基本每年都要来一次，就是纯逛，看看河，看看景，看看人，看看古建筑，吹吹风，感觉挺好！ 夜晚的景配上灯光感觉更有意境，再坐个船，真的体验感翻倍。白天的没啥看的，太商业化，基本每个城市都有一样的老街和小商品，盐水鸭的乡味飘好远，基本都是来南京旅游买的多，还有各种伴手礼店，门口堆的都是外卖！   		   ",4.5,0, , , 
香芋卤枇杷,2023-10-0700:28,抓住了十一的假期来的，没有让人失望,5,0, , , 
马帅,2023-10-0519:52,夫子庙的小吃还可以，经常去南京出差,5,0, , , 
路咖咖,2023-09-2613:45," 逛个夫子庙吃了三碗鸭血粉丝，满大街都是鸭血粉丝，品尝了三家，感觉味道也都差不多嘛 我来的这天人不多，秦淮河是最佳打卡地方，这里桥上可以拍到金陵风格水楼，当游船游过仿佛在画中，如果要游船一定坐在靠窗位置最好没有玻璃，拍出来的照片很有意境   		   ",5,0, , , 
凯雷德,2023-09-2221:40,游客必打卡的地方之一，可以来看看。,4.5,0, , , 
阿拉蕾,2023-09-2220:54,来南京必来打卡的景点之一，有很多历史遗留的东西。,4.5,0, , , 
一条呱呱,2023-09-1522:10," 景色是好看的，文化韵味也很足 就是暑假人特别特别特别特别特别特别多 哪哪都是人，满地都是人，店里都是人，人人人人人 坐船排满人，看表演排满人，秦淮河边上站满人，拍个照都是人 总之不要暑假去，去了就是看95％人+5％的景色   		   ",3.5,1, , , 
Aken,2023-09-1209:24,来南京必打卡的景点，让人流连忘返！,5,0, , , 
江湖代号78斤,2023-09-0721:20,下午到达的，换个地方换种心情，说走就走的行程，还是很有体验感的,5,0, , , 
夏天来了,2023-09-0118:53," 超级热闹的夫子庙，来了必须打卡秦淮风光带 感觉跟九寨沟的景区观光车车载语音自动讲解一样，游览40分钟，一定要坐靠窗的位置！夏天晚风很舒服，有江南水乡的感觉。商女不知亡国恨，隔江犹唱后庭花，就是描写的这里的！体验还是很不错的，值得打卡打卡！   		   ",4.5,0, , , 
匿名用户,2023-08-2814:48," 南京秦淮夜景超美的！晚上去，那里灯光亮晶晶的，好像仙境一样。秦淮河边的小船上有彩灯，漂亮极了！我还吃了好多好吃的小吃，糖葫芦和炸串串最棒。夜市上还有好多小摊位，有卖手工艺品的，我还买了好看的手链。走在灯光下，照片拍得好美，就像明信片一样。人会挺多的，超浪漫又好吃的地方，真的很适合晚上去玩   		   ",5,0, , , 
他们都叫我万万岁,2023-08-2516:49," 一如既往的老风景区了，很棒夫子庙-秦淮风光带是集自然风光、山水园林、庙宇学堂、街市民居、乡土人情为一体的国家5A级旅游区，以夫子庙为中心，以秦淮河为轴线夫子庙被誉为秦淮名胜而成为古都南京的特色景观区，是中国最大的传统古街市，与上海城隍庙、苏州玄妙观和北京天桥为中国四大闹市。   		   ",3.5,0, , , 
chrischunyan,2023-08-2422:04,不错，就是人太多，不好停车，外地朋友来还是值得去转转的,5,0, , , 
天上的那朵云,2023-08-2021:46,你确定不来夫子庙挤一挤，暑天的热浪挡不住外地游客对夫子庙的偏爱,4.5,4, , , 
刚正的非洲村民,2023-08-1614:46,不太推荐晚上的游船，挺没意思的,3,2, , , 
拨云见天,2023-08-1521:22,这圈可大了，想走明白一天可不行，陆太远人太多，好吃的吃不完。你最少要走两三次能走遍。,5,0, , , 
匿名用户,2023-08-0917:07,白天晚上景色拍出不一样，晚上的景色相当好看，平日去的，人不算太多！,4,0, , , 
匿名用户,2023-08-0514:40," 很久没去夫子庙了，昨晚带外地朋友看璀璨的夜景，那个人流多次把我和朋友挤散了，这个时节的夫子庙跟过年过节似的，想带客人坐游船真是不容易边也挨不着，只能跟着人流走马观花的看了看，品尝了去了外壳有汁有椰肉的椰子，总算不虚此行了吧。   		   ",4,0, , , 
mine,2023-08-0423:19,晚上去玩真的是别有一番风味，夜景很好看,5,0, , , 
匿名用户,2023-08-0419:21,过年的时候去的，人山人海，停车堵了1个月小时，说实话没有好好体验。,5,0, , , 
初老小仙女,2023-08-0319:08," 原来都是从旁边的大石坝街进出，就算是疫情也没有阻拦，甚至小电驴都畅行无阻  今天突然发现正经的古秦怀牌坊的贡院街，也没有任何的阻拦了  不知道是啥时候开始的，但一定要走一走呀，碰到好多年龄比较大的游客，  非常羡慕他们，我不行，夏天，我只要能喘气就行了。。。   		   ",5,0, , , 
匿名用户,2023-07-3014:04,人太多了，商业气息扑面而来，但也正常，哪个城市不都有这样的地方么。,4,0, , , 
精致的小汪,2023-07-2915:31," 某个周末，前来打卡，作为来南京必打卡景点必须要来看一看！ 白天来看人超级多，商业化严重。有直播，也有旅行团，蹭了一段导游讲解，才觉得不虚此行，历史人文景观还是要搭配历史课才能体会。 很遗憾没有欣赏到夜景，看着夜景听着几百年前的故事感觉应该更不一样吧！   		   ",3.5,0, , , 
在西塘品茶的花生,2023-07-2208:20,商业味太浓了，已经慢慢失去了那种怀旧的感觉,5,0, , , 
BRISINGR,2023-07-2202:03," ??????畅游长江全记录?????? ??第九站：南京?? ——夫子庙秦淮风光带—— ?正午觅食时间，从有段距离的地方被迫下了车，却误打误撞从著名的“乌衣巷”进入了风光带景区。这时候雨倒是几乎停了，但仍然湿闷，也许是这里夏天的常态了。。。   		   ",5,1, , , 
吃吃牛,2023-07-2123:26," 南京秦淮河，国内著名旅游景点，五A级景区，地铁直达景区，园区占地面积大，著名南京小吃都集聚在这里，这也是吃货的天堂！景点夫子庙，秦淮河畔等，都是非常著名的旅游景点，每天来自全国各地的旅游客人，络绎不绝！强烈推荐！   		   ",5,0, , , 
小怡吃兔兔,2023-07-2019:34," 这边是一定要晚上去才可以看到这样的夜景就跟里面的小吃比较多，都可以尝试一下，可能有的就偏甜 夜景的话确实还不错，不过现在七月份千万别去真的是人挤人的 这个地方不好，打车一点都不好，打车注意了，尽量地铁   		   ",3.5,0, , , 
匿名用户,2023-07-1521:17,全都是人，已经没有好感了。人挤人大赛,1.5,0, , , 
elve77777,2023-07-1405:22," 留住这个城市的形象，为了来的游客们，这个差评会被删么？ 景挺好，这个旅游城市也很热度，但就说南京出租车行业丢死南京的脸，监管部门不作为，不管理。景区门口一堆出租车，一个都不走，叫高价拒载，4公里要游客50元，还觉得少了？我说打表10几块的路程，告诉我不可能！我说我是本地人，直接开车走了，不拉我（车子都是空客牌子）我不是本地人，但在这个城市也住了2年，从家到景区也经常打车，今天陪外地同学来逛逛，被出租车恶心到……然而政府监督部门一个管理的都没有，警察来了看一眼就走了 提示tips：大家可以提前通过软件叫车，耐心等待，可能会有点久，但可以叫到车，个人经历，跟网约车司机询问为什么平台派车慢，原因，堵车，为什么堵车呢，一堆出租车停着不走，把几排路都堵死……问题交给南京交警部门及监管局   		   ",0.5,0, , , 
今天陪我喝可乐吧,2023-07-1015:46,"夜泊秦淮
晚上夜景真的超级好看
赶上不热不冷的时候去逛逛很不错",5,0, , , 
小小小小兑,2023-07-0722:11,"特种兵式旅游
好像还活着
???高速路不堵车，如期到达第一站",4.5,0, , , 
KiKiKiKi,2023-07-0711:26," 超级漂亮！！挂满了彩灯的夜市简直太美了！在秦淮河边还有演员常系统，真的太有古代风味了！如果穿着汉服来玩一定很美丽！南京不愧是南京啊！ 白天就是正常的夜市，更适合晚上来，人也特别多！赶上了最后几天灯光秀真的很棒！   		   ",5,0, , , 
bob,2023-07-0315:00," 上一次去夫子庙还是冬天，每年的秦淮灯会都超级热闹。夏天的夫子庙别有一番滋味，挑一个工作日的下午来，人不算多，逛下来特别好玩。冬天的夫子庙也很漂亮，不仅漂亮还热闹，人头涌动的氛围感。外地的亲戚朋友来南京，我们还是推荐来夫子庙看看的。   		   ",5,0, , , 
新余资深吃货空空,2023-07-0313:15," 来南京当天晚上就来了秦淮河风光带，不得不说到了晚上这边风景是真的漂亮，人也是真的多，秦淮河最值得去的应该是就是秦淮游船了，一百块钱一个人，我到的时候秦淮游船已经排队挤满了人，没玩上有些可惜，在周边逛了逛吃了个鸭血粉丝汤，二十块钱，景区里估计就肯德基最便宜了   		   ",4.5,1, , , 
淘子happy,2023-07-0218:37,哪哪都要门票，节假日人超多，体验感很差,3,0, , , 
Miss丶王小姐,2023-07-0210:22," 拜托大家别到夫子庙了，没什么逛的，每个城市都有一个地方专门坑外地人的，南京那个地方就是夫子庙，这夫子庙有啥逛的，全是卖东西的，卖的还和所有景区一样，里面卖鸭子卖鸭血粉丝汤的，都是外地人，说不定就有你们的老乡，这怎么能叫吃了南京的特产呢？大街上随便一家卖老鸭，卖鸭血粉丝汤的都比夫子庙里面的好千倍   		   ",0.5,0, , , 
takkizuzu,2023-07-0112:07," 到了南京不去夫子庙就如同来大魔都不去豫园一样！而且个人觉得夫子庙一带无论占地面积还是文化底蕴都远超豫园！毕竟这里有最大的贡院，还有林林总总的古迹，值得打卡 推荐大家晚上去游览，特别是夜景~对于现在夏季来南京人来讲夜游夫子庙更赞！因此游船真的值得坐坐~~   		   ",4.5,0, , , 
林林,"2023-06-29
??更新于2023-07-0212:01",真的很不错就是人多夜游不上景色好就是河水比较腥不太干净感觉很出片推荐,5,1, , , 
餐瘾二俠,2023-06-2818:09," 应该来南京必须打卡之地，感觉夜游非常舒服，特警把守也不用担心安全问题，夜景很美，仿佛人间仙境，文化气息非常浓郁，适合领孩子打卡放松，特色小吃及饮品也是非常yyds，值得尝试，价位合理，口味绝佳，非常不错的一次打卡游玩。   		   ",4,0, , , 
moshuihu,2023-06-2308:27,晚上来游玩，赶上下雨，细雨蒙蒙，更有意境，古城就适合这种慢慢深度游玩。,4.5,0, , , 
banmu,2023-06-2020:13," 还不错哈，几乎每次来南京都会过来溜达 不过2023的春节，??放开后的第一个长假，人多到惊呆了！！！进入景区都在排蛇形队 五月这次，人也还是蛮多，不过比之前好多了 买了棉花糕，小朋友也挑选了糕点 小朋友对秦淮河的游船比较感兴趣哈哈，溜达一圈四十分钟，感觉也还不错   		   ",4.5,0, , , 
xiaofan0115,2023-06-1718:35," #2023年第三次放风#想夜游秦淮河，但是天还没黑，就想逛逛夫子庙正好打发时间。我们临时起意所以现场买了全价票，如果你是提前预定的话，点评门票预订明日还能优惠3块。 夫子庙馆不大，走马观花看看半小时，出来七点半正好排队游船。   		   ",4,0, , , 
匿名用户,2023-06-1522:43," 夫子庙嘛，南京人都回去的地方，今年去还是元宵节前几天去的，为了防止安全事故发生，每隔几米就有一名武警，消防员，特警组成的人员站岗，让人特别放心！ 夫子庙真的是让人又爱又恨的地方，好吃的东西不错，但景色很美！尤其是夜游秦淮河！有的时候根本上不去，排队坐船的人太多了！ 不过外地人来南京还是很建议去夫子庙逛逛的，毕竟是王谢故居！   		   ",5,0, , , 
A,2023-06-1115:15,里面的东西很贵一个普通的珠子就能卖你近100，中午基本没有什么人，厕所还要排队，晚上人多到你无法想象，还有观览车人本来就多还往里面进，就真的很无语。不过里面的景观不错。喜欢热闹的可以去看看,4,0, , , 
匿名用户,2023-06-0911:28," 夫子庙也是属于南京特色景点之一了。 虽然目前做的比较商业化，但是依旧有自己的特色。里面有各种各样的小店，可以买一些带有南京特色的礼品。美食也是应有尽有，吃点铁板鸭肠，烤大鱿鱼，岂不乐哉。 晚上的时候可以坐游船，绕一大圈看秦淮河美景。   		   ",4,0, , , 
小铃铛37,2023-06-0815:33," 这次游玩夫子庙一带有点遗憾，没有看见晚上灯光璀璨的秦淮河两岸美景。被导游带着匆匆的逛了一圈，只能走马观花的看看。  虽然是下午来的，可到了这里，脑海里立马浮现出了朱自清的散文：桨声灯影里的秦淮河。仿佛看见了朱先生满载愁梦坐在游船上，生发出无限的惆怅与感慨。  南京的秦淮河有“十里秦淮”、“六朝金粉”之誉。两岸大部分都是古色古香的建筑群，飞檐漏窗，雕梁画栋，夜晚的秦淮河画舫凌波，桨声灯影，更加的令人着迷。  这里人文荟萃、市井繁华，构成了集中体现金陵古都风貌的游览胜地——秦淮风光带。   		   ",4.5,61, , , 
earwick,2023-06-0411:48," 夫子庙是来南京旅游的必选之地，秦淮河畔的美景和厚重的历史文化引人遐想，河畔的夫子庙灯会名闻天下，十里秦淮河，浮生梦一场，夜晚泛舟秦淮，灯火阑珊，波光剪映，思古寻幽，不由得浮想联翩，享受当下的美景，不负此行吧！   		   ",5,0, , , 
寻味,2023-06-0123:27," 到南京一定要到夫子庙，到夫子庙一定要逛秦淮河，秦淮河的灯光无限好，特别是要到晚上，别具一番风味，景色实在是太美了。 花个100元坐上客船???游玩领略河中各处美景，到岸，看着灯火通明的古建筑及石桥庭院，久久不能忘怀，美景尽收眼底。   		   ",5,2, , , 
天黑了肚子饿了,2023-05-2810:05," 很久没体验人山人海的感觉了，去南京必打卡的地方。夜游秦淮河真的很浪漫，享受风景时还能品鉴历史。夫子庙斜对面还有茶颜悦色，这排队的人属实可怕。周围商圈都是卖鸭子的，果然没一个鸭子能飞出南京。各种拍照打卡，人间烟火莫过于此了。   		   ",5,0, , , 
凉宫NANA,2023-05-2611:45,排队15-20分钟左右能上船，一路有语音介绍，大概30%的风景有点意境，大部分时候就是普通河景，只是祖宗赏饭吃，六朝古都随便一个地方都有一堆文人墨客的诗词古迹，坐一趟还是挺怀古的。,4,0, , , 
yunyun云慧,2023-05-2508:26," 之前上大学的时候去过一次 今年过年大年初一又去了 和之前相比 人真的是非常非常非常多 可能是因为疫情结束了大家都想出去散散心吧 这次去跟之前相比 感觉也没什么变化 除了人多 不过梅花糕还是挺好吃的 不知道什么时候火起来的   		   ",4,0, , , 
性感在线倪斯理,2023-05-2423:27," 简单逛一圈 夫子庙已经来过好多次了，这次觉得体会最深的是夫子庙里面的商户真会做生意！！整一个浮夸的门头，或者杜撰一个历史古迹的名字吸引你进去，进入才发现这啥也没有，还是卖东西的！ 每个人出来玩的都不一样，反正我觉得如果真正想要了解夫子庙的历史，文化，还是需要找一个专业的向导的！ 晚上从夫子庙出来，在瞻园路上，停了好多出租车，他们基本上都不打表的，就是一口价。这个按照规定好像是不合理的，但是晚上没办法平台叫不到车，凑活下呗（可以用平台然后选出租车，他们附近接单的会秒拒，有一些比较远的出租车会接单，比平台快多了） 夫子庙，下次再来！   		   ",4,1, , , 
Pinkie小熊,2023-05-2323:00," 人潮人海中，有你有我！人不要太多…但是景点就是这样…没办法~来了总要去看一看~被人潮推着走~特色的小店不太多基本都是随大流的商业…商品没什么特别…选带名字的石头珠子什么的…想买点纪念品回去都费劲…挑不出来~特色的这个竹筒冰淇淋也是样子货拍照美感十足但是味道真是一言难尽不敢恭维…大概也是来了一次就不会再来第二次了吧~   		   ",4,0, , , 
