用户名,时间,内容,星级,点赞,,,
黄飞飞的漫游记,2023-10-2010:08," 景点太多了，有泊车，走累了可以花钱坐泊车。小庭院也有很多，有很多历史悠久的景点，推荐大家打卡哟～ 特别温馨的事件，看到两个耄耋之年的夫妻在小亭子唱《我和我的祖国》，真的很感动 山上有很多银杏树和梅树，想看梅花的小伙伴，记得注意花开季节哟   		   ",4.5,1, , , 
桂圆煎鸡爪,2023-10-1821:43," 钟山风景区 ?原名紫金山，整个南京风水最好的地方 ?美龄宫蒋校长和宋美龄曾居住于此，宋美龄受西方教育影响，家中为西式风格，楼下有宋美龄晚年美国时期的画作 ?中山陵孙中山先生葬于此处，陵堂写有“民族民权民生”，孙中山要求葬于就任临时大总统的南京，也是想表示“革命尚未成功，同志仍需努力” ?音乐台大中午鸽子都吃饱了，十块钱买的鸽粮也不吃，还一股鸽子屎味 ?明孝陵朱元璋和马夫人的陵墓，有意思的是因紫金山风水好，好几位王侯将相葬于此，都被朱元璋掘了，只留下了孙权的墓，说是“孙权也算是个好汉，给我看大门吧”   		   ",5,2, , , 
两只辣橘蝙蝠侠,2023-10-1723:07," 整个钟山风景区超级推荐，游玩起来很大。除了明孝陵需要门票，其他都是免费的，亲近大自然的好地方，交通也很方便，沿途风景也很美，景区里面很干净，买吃喝也很方便，明孝陵不愧为世界文化遗产，很壮观，里面的文化科普也做的很不错，钟山风景区一下可以去多个景点，都很方便，无论是出来简单走走还是游客打卡都很推荐哦秋日里的天气也很舒服适合，个别树叶??已经泛黄，很有秋天的感觉 tips： 景区内也有游览车和导游，可以自行选择，很方便哦   		   ",5,0, , , 
我甘拜下风,2023-10-0813:47," 钟山的玩法太多了，音乐台，美龄宫，明孝陵，中山书院等等，任何一个拿出来都可以独当一面，但是最属盛名的应该还是要数整个园区的梧桐树了。  一年四季任何一个时候漫步在景区里都可以感受到不同的景观，我们去的很早，还没有太多的游客，整个园区很安静，那种氛围感简直太棒了。 去的早还有一个好处就是停车很方便，停车场不排队。  景色没的说，景区管理还算可以，唯一让我感觉不好的就是有很多马拉松还是长跑爱好者，成群结队的在路上跑步，人见了得躲，车见了得让。真是服了，哪人多往哪凑，水平不咋样，就是个显眼。   		   ",4.5,2, , , 
woosh_,2023-10-0616:35," 交通： 我们是差不多中午的时候到的，坐地铁孝陵卫站再坐202公交车到灵谷景区，然后坐观光车到中山陵，中山陵-孙中山纪念馆-音乐台，音乐台看完鸽子直接坐观光车到美龄宫，美龄宫出来直接就是明孝陵，明孝陵出来就是梧桐大道。  特色体验： 去的时候比较幸运人比较少，爬中山陵还是有点累的，但是爬上去之后再回过头来看蓝天白云层峦耸翠，别有一番滋味。 孙中山纪念馆一定要去看一下，了解伟人的生平，回头再看中山陵会更有体会。 到音乐台的时候正巧碰上鸽子们飞起来，很壮观，亲眼所见更能感受到大自然的魅力～ 美龄宫非常大，有好几层，真心感叹好奢侈 走的时候有点晚了来不及看明孝陵博物馆了～也算是留下一点遗憾给下次的旅程吧  tips： 不要穿短裤短裙，穿一双舒适的球鞋，带好小电风扇和花露水～   		   ",4.5,0, , , 
毅慧俊秀的小罕,2023-09-2723:39," 其实就中山陵值得一看，千万不要天气热的时候来，一身都是汗不说，还累的要死，一大堆楼梯，景交车不错，可惜小电驴很多地方限行，不然梧桐大道里面还是很舒服的。 景区外面很多地方风景不错的，天气凉快的时候散散步慢慢逛太爽了。天气热的时候骑车才舒服，南京景点真多啊，相对上海来说真的惬意安静。这四五个地方建议分成两天玩，一天是玩不玩的，很多景点都是到点就关门了，我记得好多是五六点这样还蛮早的，千万注意时间，不然白跑一趟。 南理工靠近灵谷寺的那个校区，那边的一条街全都是好吃的，一大堆，还有从南理工的那个校区一直到苜蓿园地铁站的那一条路上基本全都是吃的，一大堆，选择非常多。 苜蓿园地铁站门口一堆租小电驴的，50元一天，骑车真的太爽了，去附近都很方便，九号电动车，yyds，速度快，性能好，电量充足，我们还骑到了新街口，去新街口的一路上都有各种景点，南京景点真的是太多了，直呼好家伙。 写个详细版本的，下次emo了就再来南京散心，比钢筋水泥的苏州和杭州舒服多了   		   ",5,0, , , 
Kaxy,2023-10-1710:42," 钟山风景区给人的印象非常不错，之前去了美龄宫，再来到最美梧桐大道，中山陵，音乐台。景区真的很大，进去中山陵的路很长，但全程都有品质不错的各种小店，还有密集的座椅供人休息，体验感也非常好。 走在梧桐大道底下心情非常棒，这里的梧桐真的和别处不一样，赏心悦目，一句梧桐美，种满南京城，其实这只个浪漫的故事，但梧桐树真的让人沉醉。 中山陵的台阶讲究很多，可以一边爬台阶，一边听故事。   		   ",4.5,0, , , 
shenmomo,2023-10-1620:21," 十一假期去的，必须是人从众！ 到处都是人在排队，观光车也不例外，所以果断放弃！ 先去了明孝陵，是朱元璋和马皇后的陵寝，整个明孝陵的布局呈现出“北斗星”的形状。神道石栩栩如生，享殿周围的排水系统令人惊艳，明楼拾级而上仿佛进入了时光隧道。 中山陵392级阶梯，向上步步高升，向下一马平川！ 美中不足，人太多腿太累，真希望以后还有机会能慢慢欣赏美景品味历史。   		   ",4.5,0, , , 
明明是初一,2023-11-0909:44," #0元玩转这座城 0元玩转南京城，第一站当然是Citywalk中山陵梧桐树大道啦 博爱西路一个丁字路口，可以进入公园。 有很多很多碧根果树，板栗树，榛子树。 秋天在里面走走逛逛实在是太舒服啦。 一不小心还会偶遇小松鼠的家哦。 碧根果把皮剥掉就漏出金灿灿的果肉啦，果肉空气炸锅10分钟就可以享用了哦。#松果#山核桃#野山榛子#一起享受大自然的美高原的风景   		   ",5,1, , , 
M,2023-11-0817:52,体验感不太好小火车要看运气我们坐的观光车结果半路还没电了??运气也是没谁了,3.5,0, , , 
美食家,2023-11-0814:01," 交通：地铁2号线苜蓿园大街站1号口，步行祥几 分钟便到达明孝陵3号门了，跟着路标走，很清晰。 一、最喜欢的美景： 3号门口水杉林，见图片。水杉林（燕雀湖）一进3号门，可以看到燕雀湖水杉林鑫往右手边就是 超出片的打卡点，阳光散落在树叶上，油画般色彩，美的不可方物。11月中下旬的时候，水杉就会陆续的红了，到时候就会进入最佳观赏期了。 神道和石像路。往里走就是最美600米石像路。随着深秋的树叶慢慢变黄，它也即将迎来一年中的“高光”时刻。 三、门票，100元套票，可用两天。 四、语音，35元打包买，公众号上有。   		   ",5,0, , , 
执念,2023-11-0719:52," 树是梧桐树，城是南京城；一句梧桐美，种满南京城。""南京作为六朝古都史文化名城，这里旅游景点丰富，名胜古迹众多  地铁2号线，在""钟灵街""站下车。 景区非常大，建议穿着舒适的鞋子，可以租一个电动车来游玩，做好暴走准备3从灵谷景区出来后，中途一个景点到另外一个 景点可以选择乘坐观光车，一次10r 路线 整个风景区非常大，如果只有半天时间，建议规划好游玩路线，最多选择两个景点进行游览。1灵谷景区 六朝名胜古迹集中之地。景区内有明代建筑无梁殿、清代建筑灵谷寺和民国建筑灵谷塔等。 素面30   		   ",5,0, , , 
TeFuir,"2023-11-07
??更新于2023-11-0811:46","交通：
交通比较方便下地铁旁边就是梧桐大道巨多人在路边拍照
特色体验：
看看秋天的金陵不过社会车辆也比较多如果关闭社会车通行感觉会好一点",4.5,0, , , 
王璟Jing,2023-11-0709:35,"环境非常棒禅意十足
距离景区步行也很近
小菜精致味道好
很适合家宴或者商务宴请",5,0, , , 
Reece_,2023-11-0706:39," ???中的金陵、、一天逛了自驾、早上感受老墙门的古朴和历史、下午感受詹园的园林人工造诣、、傍晚驱车逛了一圈钟山、、  钟山很大、、植物园、中山陵、明孝陵、非节假日没有封路、可以直接开车进去、空气非常不错、、、快傍晚进去的没时间逛很久、、听说上中山陵最高峰可以俯瞰整个金陵城、、期待下次有时间再去逛逛   		   ",5,0, , , 
luweiyyy,2023-11-0618:47,走过路过，可惜今天没有时间了。,4,2, , , 
是快乐小徐,2023-11-0523:48," 真的太太太出片了家人们，梧桐大道好好看，拍照超级出片专门来打卡这个地方，很长一段路走了好长时间，叶子??也很绿，人超级多来拍照的，在小火车经过的地方拍个照片绝美，交通便利出了地铁口就到了，旁边很多游玩的景点哦   		   ",5,0, , , 
吭哧吃,"2023-11-05
??更新于2023-11-0622:13"," 交通： 因为停车不方便，地铁转两站公交车到达钟山风景区。  特色体验： 明孝陵，中山陵，由于未到深秋，道路两旁的梧桐树还没有黄。 音乐台有点坑，舞台还在搭建，还要收门票，只能喂鸽子，好多好多鸽子，这么多鸽子都是游客喂大的 来南京的话钟山风景区是必去的   		   ",4,0, , , 
爱吃雪糕的冰淇淋,2023-11-0515:14,梧桐大道打卡的小姐姐太多了，就是逛走就对了，太大,4.5,0, , , 
开朗有趣囔囔鸟,2023-11-0512:33,观光车工作人员很凶，说法很爆，服务态度很差,0.5,0, , , 
一起7饭吧,2023-11-0412:34," 可能因为是周末，车子不让开进景区，从入口到中山陵有四五公里的距离，我们带着小孩，艰难的步行，周末人也很多，路边的观光车都坐满了人，也找不到公交，拦了在景区里面的出租车到了美龄宫，然后再走去中山陵，那天还比较热。   		   ",4,0, , , 
一颗大白兔,2023-11-0322:09,"秋天的每一天都有变化
非常美
值得一来",5,1, , , 
忘川彼岸,2023-11-0318:54," 中山陵景区免费，需要提前预约，音乐台需要10元一个人，工作日人不是很多，周末人很多，音乐台的鸽子没看到，完全看运气，陵园路的风景很棒，值得拍照留念。交通便利，苜蓿园地铁口出来坐景区观光车一次10元。   		   ",5,0, , , 
Amy_Z123,2023-11-0318:27," 首先地铁可以直接到的，看了下地图整个钟山风景区很大至少需要大半天的时间吧，推荐10元一位的小火车，然后我们只去了网红打卡地～梧桐大道～真的超级美然而人也超级多路边会有专业代拍～感觉肉眼比拍出来的要美啊，当然一定要秋天去   		   ",5,0, , , 
潘哒,2023-11-0318:15," 整个钟山风景区是有多个景点的，我们选择了中山陵音乐台，美龄宫，明孝陵这一条路线，每个景点之间可以做电瓶车十元一位，这里是没有办法打到车的，必须坐景区的小交通，这一点是有点坑的，在明孝陵门口打车进不来，门口却有黑出租，呵呵，深深的感受到了旅游局的不作为   		   ",3.5,2, , , 
匿名用户,2023-11-0317:26," 生活在南京真的很幸福 感受不同积极的梧桐大道 光是散步就已经很惬意 除了游客有点多其他都很好haha 推荐明孝陵5号口附近出片的地方很多 进5号口时经过的天桥拍摄角度不错 明孝陵早上6:30和晚上6:30之后不用门票哦   		   ",4.5,0, , , 
夏夜night,2023-11-0314:57," 打卡成功！今天来到了这里，如果是预约了的话，就能免费进园，但是真的很难抢啊！停车费还可以，不贵。但是你千万不要上厕所，因为里面很臭，在门口就能闻到了，最关键的是要排队（半个小时），这半个小时你要一直闻着这股臭气。 特色体验: 中山陵景区听官方说一共是392阶台阶，（我数出来是391阶）。一个来回膝盖都软了，不建议老人上去。   		   ",4,0, , , 
花花花花,2023-11-0218:48," 原以为中山陵就是钟山风景区，过来才发现钟山风景区可太大了，把大大小小的景点都包圆了。除了前面说的中山陵、音乐台、灵谷寺，还有明孝陵、美龄宫，这个景区最大的特点就是梧桐树，孙中山灵柩经过的道路两旁都遍植梧桐树，而且选型都很统一，两根枝桠，像张开双手迎接的感觉。   		   ",4,0, , , 
饮风而醉,2023-11-0216:54," 钟山风景区包含了很多景点，很多景点之前都去过了，这次去钟山风景区只为打卡陵园路的梧桐大道，赶上一个晴朗的早晨去扑捉梧桐大道晨曦的丁达尔之光。虽然10月末的时间还不是最美的时节，但已显现出来迷人的秋韵！一样不虚此行！   		   ",5,2, , , 
木木哒,2023-11-0212:06," 景区很大，风景很不错～ 来早了，再过段时间叶子都黄了，会更美～ 种满梧桐树的街道，走在下面，真的很舒服很惬意～ 头顶碎碎的阳光交替，那种慵懒的舒适，呼吸都顺畅了～ 除了中山陵，几个点都去了，隔得有些距离，要坐车车，体力好可以走路逛逛～   		   ",5,0, , , 
匿名用户,2023-11-0210:31," 出了地铁口正对面就是陵园路了，沿途高大的梧桐树真是很赏心悦目啊，整个风景区都是绿树环绕的，空气非常清新，像是森林氧吧的感觉。在里面走了一上午，有点累但是很舒服的体验，拍照在路中间的照片建议去木桥上面，角度和视野好，也安全且不妨碍交通。下次再来打算坐上游览车，会更加惬意。   		   ",5,0, , , 
daisy_2046,2023-11-0121:47,风景秀美，地方很大，买联票其实可以逛一天～,4,0, , , 
一杯冰美式,2023-11-0117:43," 之前和女朋友一起去的中山风景区很大，因为当时去的很晚，所以没玩多长时间，一直往里走有一个塔还不错，上去有点挤人特别多楼梯比较陡，上去比较容易下去比较难，但是塔顶的风景非常好看，当时刚好是快日落的时候拍了几张照片特别的喜欢   		   ",5,0, , , 
Faye,2023-11-0116:06," 之前也很迷惑要怎么玩才好，后来决定在几个景点中选择自己最想去的几处即可，景点之间直接买摆渡车就好。建议早上从灵谷景区吃个素斋，然后摆渡到美龄宫然后是明孝陵和中山陵，时间充裕可以一天挑两处即可，中间的路程不近景色都差不多，一天全部游玩确实有点累的。   		   ",5,0, , , 
匿名用户,2023-11-0114:28," 中山风景区之明孝陵，上周末去了明孝陵，看了水杉，一整个惊艳住了，从苜蓿园出来，往明孝陵3号门方向走，就能看到一大片水杉，这个季节，虽然杉树还没红，还是很好看，拍照很出片，再往前走，就是有名的梧桐大道，人多不过景色真的很美，赞   		   ",4.5,0, , , 
曾经有个机器猫,2023-11-0113:55,风景风景很美，就是比较热。还有不要买套票。还有一个景点都没去，实在逛不动了。,5,0, , , 
小汤圆同学,2023-11-0112:53," 来南京旅游的必打卡之地！中国伟大的革命先行者孙中山先生的陵寝，建国大业取景地（音乐台）。 中山陵入口处有很多快餐店，罗森等。 明孝陵6:30之前入园免费，建议天亮进去，毕竟是陵墓，乌漆嘛黑进去还是怪吓人的。   		   ",5,2, , , 
你的李李,2023-11-0112:50," 秋天的梧桐大道也太好看了吧 找一个晴天??沿着梧桐大道走一走真的很惬意 路边入口还有很多小姐姐用拍立得有偿拍照 非常好看 建议大家地铁出行或者打车 地铁出口就到入口了非常方便 还有盒马鲜生KFC南京大排档…. 下周枫叶应该更好看??   		   ",5,2, , , 
小鸥妈妈m,2023-11-0112:42," 2023.11.01  出差南京，早上9:30再集体学习。赶个早，清晨探访徒步钟山风景区的一部分。  路线：2号线苜蓿园站出发，沿陵园路步行至紫金山路，沿紫金山路步行到灵谷寺路，沿灵谷寺路到2号线钟灵街站。  所见都在视频中。手机拍不出现场的美，欢迎来体验。早上8点前，这个线路上有车经过，超过8点车辆就禁行。但，那时候的秋日早光可能也会有不同啦。  网上看到这条线路也有推荐反向走的，即灵谷寺路—紫金山路—陵园路。但我还是建议秋日还是用我现在的路线，一方面阳光照进梧桐，丁达尔光效更加；另一方面，陵园路路幅更宽，更让人有震撼的感觉。供参考。   		   ",5,2, , , 
even,2023-11-0110:44,苜蓿园站出口就直接进入钟山风景区,4.5,0, , , 
小骎骎,2023-11-0109:55,地方特别的大，有很浓厚的佛教竟境，是个不错的景点,5,0, , , 
YOLO,2023-10-3120:19," 首先5A评分的景区是对得起★的 整个风景区的面积和内容含金量都非常好，内有很多餐饮点，小卖部售价合理，厕所也布置的很多，做到干净敞亮，洗手池有洗手液，烘干机，景区之间有代步游览车!舒适的鞋子非常重要，爱美的仙女们一定听劝! 吸汗速干舒适面料适合运动的服装! 日行两万步不止，都是爬坡爬楼，石子路，运动量真的大不适合遛娃，园区面积大，路难走，台阶居多，成年人上下坡尚且不容易，更何况抱着孩子呢 !带点补充能量的零食，和饮料，多喝水   		   ",5,0, , , 
匿名用户,2023-10-3117:32," 只能说景区好大好大！ 买了套票，套票更划算，去了明孝陵，中山陵，音乐台和灵谷寺，最喜欢音乐台，因为有好多好多鸽子???可以喂鸽子，亲人的还会在你手上吃东西！好可爱！不过没看到鸽子一起飞 其他地方的景色都很棒！不同景点之间最好做车不然走着很累，中山陵外面有可以吃东西的地方，溢价也没有很离谱   		   ",5,0, , , 
