用户名,时间,内容,星级,是否有图片
德坚,2023-07-06 发布点评,牛首山的佛顶宫是投资四十个亿的景区建筑，不论外观和内部的设计都非常雄伟壮观。地上是一层，沿着走廊可以下到地下五层。地下就是供奉着佛陀头顶骨舍利的地方，非常的殊胜，适合所有人参观游览。,5,是
匿名用户,2023-11-02 发布点评,挺震撼的，值得一看。,5,是
匿名用户,2023-11-02 发布点评,值得一看，挺震撼的。,5,是
159****8225,2023-10-31 发布点评,牛首山还是值得一去的，景色很美，拍照很出片，非常值得去一下。,5,是
M32****7853,2023-10-07 发布点评,贵有贵的道理，金碧辉煌，装修花了大力气，上山全程电梯，很方便,5,是
匿名用户,2023-10-04 发布点评,今年第二次来牛首山了，汲取第一次来时从东门进的教训，这一次直接从西门进入，不用走那些冤枉路了，直接可以上佛顶宫和佛顶寺，停车不收费挺好，但是国庆门票咋比年初翻翻了呢，有点接受不了呢,5,是
M50****3164,2023-10-04 发布点评,佛教圣地，庙宇和佛像让人很震撼，值得一去，好玩，下次还去。。,5,是
德坚,2023-06-29 发布点评,南京牛首山位于南京市郊区，可从东门和西门分别进入园区，都有摆渡车可乘坐，还是比较方便的。从西门进去比从东门进去要近很多，车费都是10元一位。如果需要打车，建议下山后从东门出，出租车比较多。园区里最大的景点就是佛顶宫了，无论地上地下展区都非常雄伟壮观。位于地上一层就是禅境大观，在十点半的时候还有一场表演，可以按时间观看。地下有五层，从最下层依次往地上观看，主要有千佛廊和万佛殿。里面的每一层都是很值得细细参观。,5,是
枫桥,2023-06-07 发布点评,牛首山，是一个别具一格的关于“山”的景区。佛顶寺、佛顶塔、佛顶宫、弘觉寺塔，每走一步，都能被浓浓的佛教文化浸润；岳飞抗金故垒、郑和文化园，尽显人文文化的气息。每个造型奇特的建筑，每一个精心设计的小景观，将静谧秀丽的山水、让人耳目一新的园林以及独特的建筑，完美融合在一起，一步一景，绝不会出现审美疲劳。,5,是
清澈的人生,2023-06-02 发布点评,"京陵境地—佛顶宫
崭新的大巴车，我们沿着景区路盘绕而上，绿满山，伊人不绝如缕，有步梯也有直梯。在某些路段，或转弯时，千年古刹夺目而现。——落到河面的温和光屑，经过波澜的炼制，突然变成了耀眼的镜子。
人群中不时会传出惊叹声，喜悦容颜，尤其那些慢慢移步的老人，轻轻的看，舍不得转身；不像那些年轻貌美的女子，却相互争着拍照。我与爱人同样没顾得上交谈，像比赛，按捺不住的情怀在体内冲撞。有时放慢了速度，直起身子，举着手机，欣赏这精湛的艺术殿堂，虔诚的走过，金碧辉煌，四十亿的金佛，必将给世界的后人于一声惊叹！也有人会认不同，妄想在娱乐的空间。南京乃六朝古都之千年名胜，又有几人能从来来去去读懂它：龙脉之所在，中华精髓之所集。千里迢迢不可及未远行，难得一生心如静水赏繁华，朝着江南烟雨美如画，执笔衣裙小河流水人家，活在当下。
?             2023.5.29  【南京】随笔自作",5,是
匿名用户,2023-10-04 发布点评,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,5,是
草兔,2023-09-28 发布点评,金碧辉煌。值得一游,5,是
M30****5447,2023-08-09 发布点评,值得来一趟，景色宜人，风景优美，孩子们玩的特别开心，最好早上早点来，可以玩一整天，家庭游玩的好去处,5,是
qin****bc,2023-08-08 发布点评,"南京最值得我去的景点之一，门票不算太贵，爬山有车有电梯不累。
登上佛顶塔山景天空都很美，不知为啥把电梯停了，人很多，上下一个楼梯很拥挤很闷。
佛顶宫震撼，凉快，可以席地而坐好好体会。",5,是
???????????你与春风皆过客,2023-05-21 发布点评,环境特别优美、设施非常齐全、交通非常方便、适合情侣、一家人、出门旅游的好地方。,5,是
M34****0591,2023-10-18 发布点评,确实不错，值得去,5,是
M24****9807,2023-10-09 发布点评,随手一拍即是大片,5,是
远方是家乡,2023-09-17 发布点评,携程订票很方便。景色很美，适合拍照。净化心灵，莫名的有眼泪掉下来。只是下地铁坐三轮车，同情老人开车才坐的，结果被骗，没送到门口，好生气。,5,是
逍遥,2023-10-15 发布点评,很宏伟壮观金碧辉煌值得一看，看了才知道我佛慈悲很多面貌,5,是
匿名用户,2023-09-12 发布点评,还可以，好大好累啊，就是下大雨了，哎，天公不作美，很壮观，很漂亮，很好看，值得来的地方，还刺激家哈哈哈哈哈哈哈哈哈哈哈，可以的，必须买,5,是
徘徊依旧,2023-08-29 发布点评,"当天出行路上很多车，景区里面人非常多，本来想做景区的大巴车但是人太多最终选择徒步上山。
  山上的风景很美，瞬间打消了我们的疲惫，不虚此行。",5,是
徘徊依旧,2023-08-29 发布点评,"当天出行路上很多车，景区里面人非常多，本来想做景区的大巴车但是人太多最终选择徒步上山。
  山上的风景很美，瞬间打消了我们的疲惫，不虚此行。",5,是
徘徊依旧,2023-08-29 发布点评,"当天出行路上很多车，景区里面人非常多，本来想做景区的大巴车但是人太多最终选择徒步上山。
  山上的风景很美，瞬间打消了我们的疲惫，不虚此行。",5,是
小朱同学耶,2023-08-10 发布点评,和闺蜜一起去牛首山玩，牛首山真的太美了！南京，去了好多次却还是我第1次来牛首山浮光跃金、静影沉璧宫殿的光影倒映在水面拍照实在是太美了~,5,是
匿名用户,2023-11-05 发布点评,"里面佛像很多，可以看看别人拍的视频，基本可以当做溜过一圈了。
建议出门地方吃kfc价格和外面一样。
乘车上去，走下来就可以了，走走不远。",5,是
匿名用户,2023-11-05 发布点评,"里面佛像很多，可以看看别人拍的视频，基本可以当做溜过一圈了。
建议出门地方吃kfc价格和外面一样。
乘车上去，走下来就可以了，走走不远。",5,是
匿名用户,2023-11-05 发布点评,"里面佛像很多，可以看看别人拍的视频，基本可以当做溜过一圈了。
建议出门地方吃kfc价格和外面一样。
乘车上去，走下来就可以了，走走不远。",5,是
M26****4235,2023-10-14 发布点评,还挺震撼的，适合一家人出游运动，而且确认挺漂亮的，在南京郊区，远了一点，但是带爸妈看还是很愉快的，信佛的可以过年拜拜??还是很虔诚的,5,是
M43****8417,2023-10-07 发布点评,非常值得一去,5,是
我是岚姐吖,2023-10-08 发布点评,值得一去哈,5,是
匿名用户,2023-08-28 发布点评,"“山是牛首山 城是南京城”
——牛首山打卡# 40亿打造的绝美宫殿，视觉享受10000分.
一句话：哇塞！太美了.[烟花][烟花][庆祝]",5,是
匿名用户,2023-08-26 发布点评,景色蛮震撼的！一切都挺好！就是三层买饮品的地方，老有人插队店员也不制止，还先让插队的人买。,5,是
匿名用户,2023-07-27 发布点评,一次很特别的体验，走到每一层都是视觉盛宴，这样超豪华的装饰是你从图片里体会不到的，值得来！,5,是
静在心灵,2023-07-23 发布点评,一家人出行，非常愉快！牛首山适合带老人，适合遛娃，基本上都有电梯，不会很累！网红打卡点还是不错的，我妈妈说这是她拍得最好看的一次！,5,是
掌心110,2023-10-05 发布点评,佛顶宫还不错，挺壮观，就是出来的时候全身卖东西的,5,是
匿名用户,2023-09-19 发布点评,很值得一去，之前我和家人都在纠结票价这么贵，去还是不去，后来狠下心去了，父母都觉得很值得。就像艺术展览馆，看到非凡的艺术品，无论是佛教，还是艺术上，都是“价值”极高啊！,5,是
快乐的一条小草莓蛋,2023-08-28 发布点评,南京必打卡景点之一 好震撼 人也好多 巨资打造太值得来打卡 拍照也美美哒 上山有接送车20元一个人 还有电梯到山顶。。不要太方便??????,5,是
匿名用户,2023-10-25 发布点评,环境不错，周日去的先吃了饭在进景区，人也不多了。就是佛顶塔的电梯竟然没有开，狭窄的楼梯又要上还要下，让人挺无语的。讲个人觉得，佛顶宫里面的参观行不大，线路不可自行调整,5,是
匿名用户,2023-10-10 发布点评,据说牛首山上的宫殿建造花费上亿，确实也是难得一见的震撼风景！是与众不同的出游体验，和家人们很开心，很喜欢南京和南京的各色风景！,5,是
_CFT01****5817289,2023-09-30 发布点评,酒店地理位置好，交通方便，房间舒适卫生，服务人员很热情，乐于提供各种帮助，前台小李非常热情，房间设施齐全，下次有机会还会来的！,5,是
匿名用户,2023-08-11 发布点评,这个地方真心不错，让人眼前一亮的感觉，尤其是释迦牟尼的佛相，还有千佛堂还是万佛堂，好多人在那里照相，只怕是不知道人佛不可同框！,5,是
yssy84,2023-10-18 发布点评,地宫确实很华丽，但是门票价格贵了，性价比不高。对佛教不熟悉的人，去了真没啥看的，也看不懂。我是下午去的，人流量还比较适中。,5,是
长颈鹿,2023-09-04 发布点评,拍照??打卡绝对佳，室内环境不错，外部环境也是风景优美。非常值得一去。票价稍微有一点点高，不过还是挺值得的，千佛殿很壮观。,5,是
233****734,2023-09-03 发布点评,建筑宏伟 风景宜人。佛顶山上三层地下5层感觉非常震撼，精美绝伦。提前在网上购票优惠。从西门进入走900米到达佛顶山。美～～～,5,是
饮水思甜,2023-10-01 发布点评,南京玩的地方太多，牛首山可能不太适合年轻人。停车不方便，需要半小时。山下的景色一笔带过。主要是一个寺，一个宫。集中在宫顶一层的卧佛和地下5层的景色。 吃的方面，还是比较贵的，车子都能上去的景点卖的价格就显得贵了。,5,是
L_略略略,2023-09-26 发布点评,"可以说牛首山真的是震撼到我了，耗资40亿打造出来的奢华。从其主要是用来存放释迦摩尼佛顶骨舍利，存放在地宫六层，只有特别日子才会展出。

佛顶宫

一层是禅境大观，中央有一尊卧佛，卧佛可以随着台面进行360度旋转。

地宫五层为舍利大殿，出口可以上楼从楼上观看，外层为万佛廊，尤为美观与艺术。",5,是
匿名用户,2023-09-12 发布点评,带家人一起去玩的，景点挺震撼的，风景环境也不错，也值得一游，但是景区游览车不太好，排队时拥挤还出现了争吵，希望加强改善。,5,是
埃拉特唐赛儿,2023-08-22 发布点评,牛首山，位于江宁区牛首山文化旅游区内，因山顶突出的双峰相对峙恰似牛头双角而得名，民间又称为牛头山。东晋宰相王导曾劝谏初创政权的晋元帝司马睿打消在皇宫外兴建象征皇权的双阙的念头，请晋元帝乘舆出宣阳门，南眺牛首，两峰对峙，趁机劝喻元帝：“此天阙也，岂烦改作”，故得名“天阙山”。,1,是
app****ng26,2023-08-13 发布点评,慕名前来牛首山的人超多，景区交通车至少得排队1小时。无奈只能选择步行上山。2.7公里的路走了将近一个小时，高温下实在有点受不了，一路上的自动售卖机都空了，到了山顶的小卖部买水都是靠抢的。门票不便宜，希望配套服务也能跟上。佛顶宫的确很壮观，但是有人太多，加上天气太热，瞬间欣赏美景的兴致减半了。以后还是天凉快一点来比较好。,5,是
app****ng26,2023-08-13 发布点评,慕名前来牛首山的人超多，景区交通车至少得排队1小时。无奈只能选择步行上山。2.7公里的路走了将近一个小时，高温下实在有点受不了，一路上的自动售卖机都空了，到了山顶的小卖部买水都是靠抢的。门票不便宜，希望配套服务也能跟上。佛顶宫的确很壮观，但是有人太多，加上天气太热，瞬间欣赏美景的兴致减半了。以后还是天凉快一点来比较好。,5,是
app****ng26,2023-08-13 发布点评,慕名前来牛首山的人超多，景区交通车至少得排队1小时。无奈只能选择步行上山。2.7公里的路走了将近一个小时，高温下实在有点受不了，一路上的自动售卖机都空了，到了山顶的小卖部买水都是靠抢的。门票不便宜，希望配套服务也能跟上。佛顶宫的确很壮观，但是有人太多，加上天气太热，瞬间欣赏美景的兴致减半了。以后还是天凉快一点来比较好。,5,是
M33****1204,2023-08-06 发布点评,感谢党和人民政府对退役军人的关怀，景区对现役军人与退役军人，消防救援人都给予免费政策，景区售票处对我们服务也不错，希望大家给景区以及社会添砖加瓦，我们退役军人，退役不褪色，不忘初心，牢记使命，永远做党和人民忠诚卫士……,1,是
LUCKY大芒果,2023-07-30 发布点评,趁着天气不热打车去的，非常方便，南京的出租车也特别好叫，价格也很低，都不用租车，到哪就打车就可以了，出租车的师傅也都不错，有的可以介绍景点！牛首山挺好玩，就是有的人多，牛首山没有遮阳的地方，但是进门可以坐那个车上山，非常方便，下山的车子排队比较人多，有一点需要注意，就是下山出景区以后，有的乘客需要打车的话，会比较困难，打车不是很方便，需要等待的时间比较长，出租车会一直喊，车上还剩几个位置到达地铁站。,5,是
298****649,2023-07-02 发布点评,端午节的第一天，我们到达有点晚了，人实在太多了，没地方停车，立马改变行程第二天一早就到了，非常值得去看一看的景点，很震撼～～提前携程定的票，带身份证刷，进园直接左手边排队坐车会比较方便，有二维码可以买车票,5,是
0蓬蒿人0,2023-06-16 发布点评,"开车从东门停车更方便，但离佛顶宫比较远，佛顶寺在东门，没什么好看的，可以坐景区巴士直达佛顶宫，走路会比较远；
也可以坐地铁然后打车去，打车建议从西门进，直奔佛顶宫，可以走路上去，很近，坐巴士没两分钟就到了，感觉有点亏；
山下风景一览无遗，感受佛教文化，欣赏山水美景，出来玩更重要的心情美丽",5,是
cici_sam88,2023-06-14 发布点评,我觉得性价比不高，除了门票88元，另外还要花车费十块钱一个人，来回20块，我们是上山坐的车，下来是走下来的，沿途风景也一般，如果有老人和小孩的建议还是车子来回。顶宫上面的风景还行啊，然后里面他要做很多的电梯，下到底层，然后再是一层一层坐电梯上来，在绕圈圈绕的有点晕。里面有卖东西的，但是吃的东西比较少，我们去的时候有好多餐车都没开哦。,5,是
_WeCh****565267,2023-05-31 发布点评,牛首山，位于江苏省南京市江宁区牛首山文化旅游区内，因山顶突出的双峰相对峙恰似牛头双角而得名，民间又称为牛头山。东晋宰相王导曾劝谏初创政权的晋元帝司马睿打消在皇宫外兴建象征皇权的双阙的念头，请晋元帝乘舆出宣阳门，南眺牛首，两峰对峙，趁机劝喻元帝：“此天阙也，岂烦改作”，故得名“天阙山”。,5,是
139****9386,2023-04-26 发布点评,景区好像没什么服务感受，整体游览还是很不错的，太壮观了，不愧是南京第一火爆的景区，有充足时间的一定要早到，我们游览了一下午，看了山顶的主要景点就闭馆了，时间很紧凑，上山一定要花10块钱上山，不然走死人,5,是
方山郅都,2023-04-25 发布点评,"南京牛首山风景区位于南京市江宁区，距离市区约20公里，是南京市内距离最近的国家AAAA级风景区。所以，如果你想在南京体验一下自然的美景，不妨就去这里看看。

牛首山风景区最著名的景点是牛首山，它是一座高耸入云的山峰，总高度近500米。站在山顶，可以远眺整个南京城。在这里，游客还可以看到许多名胜古迹，如金陵科举博物馆、凤凰金塔等。

还有一些其他的景点，如周董城、白鹭洲公园等。周董城是一个以杰伦周为主题的文化城，里面有许多关于周杰伦的个人成就及代表作品的展览，非常适合周杰伦的粉丝前来**。而白鹭洲公园则是一个美丽的湖泊公园，里面有大片的荷花池，游客可以在这里欣赏到美丽的湖景及荷花景致。

除此之外，牛首山附近还有许多好吃的小吃店和餐馆。不妨去试试当地传统的小吃，如鸭血粉丝汤、蚵仔煎等。

总之，南京牛首山风景区是一个非常不错的旅游景点。如果你想从城市中逃离一下，去体验一下自然的美景，那不妨就来这里看看。",5,是
杜先生1977,2023-07-22 发布点评,斥巨资40亿元建成的佛顶宫，太震撼，目光所及，皆是神仙，在此许愿，所求皆所愿。,5,是
随机组合,2023-07-22 发布点评,一大早打车直接出发，不堵车开园就进入～坐巴士上去的，下了点小雨，但是风景依然好，下山的时候11点多，人潮密密麻麻，基本3个小时可以逛完，避开人群体验感还不错。,5,是
匿名用户,2023-10-30 发布点评,外面平平无奇，里面别有洞天，简直可以用金壁辉煌来形容，每一处细节都非常的到位,5,是
匿名用户,2023-10-05 发布点评,"西门入 停车路边 步行到达中心景区 
节假日人多又步行返回
总体来说还是值回票价 但没有想象的震撼
游览时间不需多久 对体力要求不高",5,是
M31****1751,2023-09-29 发布点评,40亿打造的牛首山果然名不虚传，非常精美绝伦，很震撼，去南京一定要去的地方，就是离市区较远，可以直接打车，或者选择地铁+打车，佛顶宫是出美片的地方，打卡打卡,5,是
纳高尔达莲娜,2023-08-31 发布点评,牛首山是中国佛教名山，文化底蕴深厚，是佛教牛头的发祥地。山周围有感应泉，虎跑泉，饮马池等自然景观，也有弘觉寺，郑和墓等人文景观。牛首山风景绝美，春天人们更是有出游牛首山的习俗，故有“春牛首”之称。,1,是
Angelor,2023-10-26 发布点评,比想象中差了一些，总体来说，还过得去！人实在太多，动线设计比较合理，费用不高！性价比还算可以，就是没有完全开发出来,5,是
M29****1036,2023-11-07 发布点评,很值得一看，金碧辉煌，相当壮观！,5,是
_WeCh****22461,2023-09-29 发布点评,"V【牛首山必打卡】
佛顶宫、佛顶塔、佛顶寺这三大核心，可以说是一个都不能少，光是深坑建筑佛顶宫的地上三层、地下六层，我就可以逛上一天，完全被它的磅礴气势震撼住了，一会看看这个一会看看那个
。
【牛首山美食】
有素食自助、快餐店.??主要还是以素食为多，不喜欢素食的可以自带一些食物饮料之类的，找个长廊或者草地还阔以野餐一下翻",5,是
_WeCh****22461,2023-09-29 发布点评,"V【牛首山必打卡】
佛顶宫、佛顶塔、佛顶寺这三大核心，可以说是一个都不能少，光是深坑建筑佛顶宫的地上三层、地下六层，我就可以逛上一天，完全被它的磅礴气势震撼住了，一会看看这个一会看看那个
。
【牛首山美食】
有素食自助、快餐店.??主要还是以素食为多，不喜欢素食的可以自带一些食物饮料之类的，找个长廊或者草地还阔以野餐一下翻",5,是
图图辉,2023-09-16 发布点评,南京值得一去的地方！特别震撼好看不累，我们在南京住了5天，选的最后一天去的牛首山，中午到的，游到傍晚吃了肯德基休息一下，打车10几元到的河海大学高铁站，做机场线高铁到机场 当晚的飞机非常方便，在东入口处存的行李??，最大箱20/天。,5,是
兔大宝贝,2023-08-28 发布点评,"天气炎热，来一次牛首山不容易呀。乘着没有恢复原价，赶紧来一次，现在携程上订票才88元，恢复原价后就是160元了。
景区有地下停车场，在东区。这里比西区方便，但停车需要排队。网上订票的话不需要去票务大厅换票，直接用身份证就能入园。但是，票务大厅有个自动售卖机是卖集章卡的，进去后就没有了，大厅左手边服务台上还有几个章。
进入园区后，扫码购买车票，10元单程（只能买单程）。回程的车票6点就结束了，观光大巴6点也结束营业，一定要算好时间。
佛顶山上三层，地下5层，一层是释迦摩尼卧佛，感觉非常震撼。地下宫殿从地下5层开始参观，然后逐层往上参观。地下5层比一层还要震撼，佛顶舍利的祭坛，整个地下宫殿，实在太精美了。",5,是
兔大宝贝,2023-08-28 发布点评,"天气炎热，来一次牛首山不容易呀。乘着没有恢复原价，赶紧来一次，现在携程上订票才88元，恢复原价后就是160元了。
景区有地下停车场，在东区。这里比西区方便，但停车需要排队。网上订票的话不需要去票务大厅换票，直接用身份证就能入园。但是，票务大厅有个自动售卖机是卖集章卡的，进去后就没有了，大厅左手边服务台上还有几个章。
进入园区后，扫码购买车票，10元单程（只能买单程）。回程的车票6点就结束了，观光大巴6点也结束营业，一定要算好时间。
佛顶山上三层，地下5层，一层是释迦摩尼卧佛，感觉非常震撼。地下宫殿从地下5层开始参观，然后逐层往上参观。地下5层比一层还要震撼，佛顶舍利的祭坛，整个地下宫殿，实在太精美了。",5,是
春华秋实2023,2023-08-25 发布点评,暑期出行，游人巨多。景区面积大，大致游下来得多半天时间。投资40亿建造的佛顶宫，气势恢宏，奢华且殊胜，佛顶舍利在此供奉。观礼胜境，游人浮躁的心顿觉清凉，精美的景观让人叹为观止！如果时间充裕，可以继续游览佛顶楼、佛顶寺、弘觉寺等景观。景区有观光车，上下山有电动扶梯，方便游客上下山。,5,是
leolee,2023-08-24 发布点评,景区很大，但真正值得玩的就3个景点，佛顶宫、佛顶塔、和佛顶寺，其余景点可玩可不玩，但只要玩了佛顶宫就能值回票价，它也是整个景区的核心景点，美轮美奂，十分震撼，其无法用言语表达，只有亲身体会才能感受到它的魅力,5,是
wate****0423,2023-08-24 发布点评,"本着想要去看一下400亿人民币长什么样的心态去的，没想到真的十分震撼，我和爸爸一进门就只能发出“WOW、WOW”的感叹声了。外面的走廊和水池拍照很出片，想要拍照的人必须早点到，迟于早上十点就人山人海了。
另外，老人有专门的老人票哦，不要选择错了。提前一天买还能便宜10元。",5,是
匿名用户,2023-08-24 发布点评,本着想要去看一下400亿人民币长什么样的心态去的，没想到真的十分震撼，我和爸爸一进门就只能发出“WOW、WOW”的感叹声了。外面的走廊和水池拍照很出片，想要拍照的人必须早点到，迟于早上十点就人山人海了。,5,是
匿名用户,2023-08-23 发布点评,开车来的，走的东门。四点就不让进了，所以三点半来的，所以人是越来越少。因为带着妈妈来的，必须坐车，大巴车6点停运。如果是年轻人，可以四点前进园，人挺少，下山逛逛看看风景挺好的。买的联票，出来牛首山就去了金陵小城，景色挺美，进园看演出，表演就跟着我们，一场接一场，时间不长。逛吃逛吃很是惬意。,5,是
186****0269,2023-10-02 发布点评,非常漂亮风景区 高科技 壮观震撼 推荐,5,是
甜不辣811,2023-10-02 发布点评,震撼。非常好看。放假就来打卡了。,5,是
M22****4262,2023-09-26 发布点评,160的票价偏高，不值得。没有什么服务不服务的，就是跟着人流走动而已，都是新修的没有多少看的，富丽堂皇的适合照相,5,是
煜津不在,2023-08-29 发布点评,太美丽了 真的很好看家人们 来南京一定要去看看 太震撼了啊啊美爆啦啊啊啊一定要去看看 绝对没错！和家人去的 他们也说很好看,5,是
E41****28,2023-08-26 发布点评,从西门上很方便，上去可以坐车不排队，下来步行10分钟左右，门口也很好打车,5,是
M44****892,2023-08-15 发布点评,人工打造的地下宫殿，假期人多的可怕，一大早8点半到门口队伍已经排了500米甩了好几条街，天气热的受不了，地下宫殿比较凉快，大概2小时左右，总体来说震撼。,5,是
匿名用户,2023-11-04 发布点评,佛顶寺也看了 舍利子也拜了 雪糕也吃了 鸭血粉丝也安排了 闺蜜也见了 一切太棒了,5,是
闲散人员杨某人,2023-10-27 发布点评,整体风景不错，对得起票钱，山也不算高，但要是有老人小孩的话还是坐车吧。,5,是
匿名用户,2023-10-05 发布点评,挺好玩的，适合带小朋友出来玩，,5,是
匿名用户,2023-10-04 发布点评,还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行吧，门票与其他类似景点相比贵了,5,是
leolee,2023-08-24 发布点评,景区很大，但真正值得玩的就3个景点，佛顶宫、佛顶塔、和佛顶寺，其余景点可玩可不玩，但只要玩了佛顶宫就能值回票价，它也是整个景区的核心景点，美轮美奂，十分震撼，其无法用言语表达，只有亲身体会才能感受到它的魅力,5,是
203****756,2023-11-05 发布点评,很棒景点很棒可以再很棒景点很棒可很棒景点很棒可以再需要一天行程哟，很棒景点很棒可以再很棒景点很棒可很棒景点很棒可以再需要一天行程哟，,5,是
匿名用户,2023-10-30 发布点评,预留了一天时间逛牛首山，傍晚时分就去机场赶飞机，结果用不到那么多时间，从进去到出来大概四个小时多一点吧，佛顶宫里面是挺惊艳人的，特别是地宫，很震撼，我周一去的旅行团非常多，基本上都是上了年纪的叔叔阿姨，人也算比较多了，东门有寄存行李的自助柜，就在星巴克那边的扶梯边上，我带的登机箱，中格竖躺着能放进去，边上还有充足的位置，存六个小时以下是15元，也挺划算挺方便的,5,是
E35****28,2023-10-28 发布点评,"值得拥有！景色很震撼的感觉，无论室内或室外都是超级棒，感觉需要提升的方面：景区管理有些混乱：
1??下山坐车，竟然没有景区人员维持秩序，游客都私自在行车区追逐车了，挺吓人的；
2??大菠萝外和内指示牌都不清晰，下行电梯随便关闭，害得我们围着大菠萝不断转圈，找不到如何到负一层用餐；
3??佛顶塔内部上行和下行建议可以区分下，分流游客，而且明确标示，便于游客识别）",1,是
匿名用户,2023-10-27 发布点评,心心念念一直想去的牛首山，终于去啦，很震撼！工作日从西门进去的，西门人很少，非常方便，买10元一人一张大巴票，给我们带到半山腰，然后步行几分钟，会有很多扶手电梯，总体来说，人不是特别累，走了15000步左右，中午在景区吃的素面，32元一碗，简简单单很方便,5,是
M48****22,2023-10-22 发布点评,"南京牛首山是金陵四大名胜之一，不仅风景宜人，还有佛教界至高圣物——释迦牟尼佛顶骨舍利。佛顶骨舍利指的是释迦牟尼佛的头顶遗骨，全世界仅存一块，是佛教界至高无上的圣物。2010年，佛顶骨舍利盛世重光法会在南京栖霞寺举行，2015年被正式迎请至牛首山文化旅游区佛顶宫内长期供奉。
超级震撼 很值得一去 如果时间紧 可以西门上下 比较快 ；东门风景比较好 爬山时间长",5,是
M48****22,2023-10-22 发布点评,"南京牛首山是金陵四大名胜之一，不仅风景宜人，还有佛教界至高圣物——释迦牟尼佛顶骨舍利。佛顶骨舍利指的是释迦牟尼佛的头顶遗骨，全世界仅存一块，是佛教界至高无上的圣物。2010年，佛顶骨舍利盛世重光法会在南京栖霞寺举行，2015年被正式迎请至牛首山文化旅游区佛顶宫内长期供奉。
超级震撼 很值得一去 如果时间紧 可以西门上下 比较快 ；东门风景比较好 爬山时间长",5,是
joey_zouqi,2023-10-01 发布点评,"个人觉得景点很友好，大部分都是斜坡和电梯，风景也很优美，145的票价也很值

但是佛顶宫下来座大巴的地方希望能改进，去东门方向的人流非常多，排队疏导不给力，导致人流都往里挤，国庆出游都是老人孩子，感觉有非常大的安全隐患",5,是
sulizhen,2023-09-23 发布点评,买了金陵小城联票同游，也是南京行中最贵的门票了，怎么说呢？都是重金打造的人造景点，公共交通不便，还好不是暑期或长假高峰，不然排队上下一定大大降低参观体验，至于金陵小城，可能年轻人更喜欢吧，挺适合汉服拍照。,5,是
D30****02,2023-10-06 发布点评,一座水天映照下的璀璨宫殿，水波涟漪把影子变成了诗，浮光跃金，静影沉璧……这里珍藏着世界唯一的释迦牟尼佛顶骨舍利，佛顶宫内部金碧辉煌、令人目不暇接……来南京旅行一定不要错过……南京牛首山??????,5,是
jas要吃好吃的,2023-08-03 发布点评,美是很美，建筑很震撼，只是来的季节不太好，天气热人又多，完全不想在户外待着，体验感差一些，下次还是春秋季节来比较好，好好感受一下。,5,是
匿名用户,2023-10-31 发布点评,第一次偶遇爬山也有了电梯，省力省时！佛顶塔高九层，也可电梯直达，很是方便！牛首山的佛顶宫需电梯下行五层，地宫深嵌于山凹之中，设计非常巧妙，值得一去！,5,是
匿名用户,2023-10-02 发布点评,景区管理很好，建筑很宏伟，装修很精湛，值得来～就是假期出行人比较多～,5,是
