用户名,时间,内容,星级,是否有图片
amydog,2022-10-25 发布点评,"??其实更羡慕...伟仔

2021-2-15

【趣味】

据说音乐台在中国历史上也是有一定地位的,可惜艾小米在此之前从来没听说过

音乐是没有听到,喷泉很大,嗯,著名的鸽子也是很多,不过喂鸽子可能还是要像伟仔那样子喂比较有意思

反正买了联票,纯粹打卡了解一下历史,特地过来喂鸽子也是没必要,但是除了喂鸽子好像也没有其他东西可以玩了,要么坐下来休息一下,那也要合适的天气和温度

鸽子太多有些吵,人也很多有些吵",1,是
gz当地向导伊妹儿,2021-11-01 发布点评,钟山风景名胜区景色宜人，阳光明媚，空气清新，逛逛公园，趣味性强，逛逛，拍拍，秋景太美太漂亮，耳目为之一新，性价比超高的。,1,是
匿名用户,2023-08-28 发布点评,怎么说了，指示牌不太明确，服务不是很好,5,是
151****0106,2023-05-12 发布点评,时间安排的有点紧，整体感觉还不错,5,是
青琴绛树,2023-09-01 发布点评,参观动线不合理，回头路太多！,5,是
游_山_玩_水,2023-08-16 发布点评,总体一般，人多天热，打卡而已,5,是
匿名用户,2023-09-02 发布点评,音乐台和中山陵没有什么看的,5,是
M28****9817,2023-07-04 发布点评,可能一开始的期望太高，总体来说，可以带孩子去逛逛，地方稍微小了点。,5,是
_M13****1001,2023-07-05 发布点评,景区太大，园区车太套路，文物景点变咖啡厅和餐厅，让人难以理解。,5,是
M33****6072,2023-05-19 发布点评,玩的很累，明孝陵没啥看的，走的腿麻了，建议直接去音乐台和中山陵,5,是
_zx403****408303,2016-05-15 发布点评,这个景点是免费的，但是非常棒，五月份满山野花开后，野草莓，蓬藟，覆盆子等等野果红彤彤地挂满枝头，很漂亮，也很有野趣，竹笋也都长成挺拔秀丽的竹子,0,是
d63****37,2023-09-06 发布点评,没啥性价比，太普通了,5,是
影子—羊,2023-05-13 发布点评,美龄宫参观意义不大  石塔一定得上。风景超赞。下次可以约着看梅花,5,是
匿名用户,2023-09-12 发布点评,一般般  不是特别好玩,5,是
zhu****g506,2023-04-20 发布点评,通票确实很方便，各个景点刷身份证即可！能坐车的都坐车，还走出25000多步，明孝陵-孙权墓-美龄宫-中山陵-音乐台-灵谷塔，自虐式一日游！,5,是
无,2023-09-16 发布点评,一般吧 就一个台子,5,是
Loise001,2023-02-01 发布点评,讲解的小姐姐非常负责，提前联系，合理安排行程和时间，讲解非常详尽有趣。可惜天公不作美，当天实在太冷了，辜负了美景，没有充分走完景点。建议有老人孩子的，使用这个服务还是很超值的。,5,是
匿名用户,2023-08-29 发布点评,还可以的吧,5,是
_WeCh****709863,2023-08-20 发布点评,实在太堵了,5,是
Nakaji,2022-11-04 发布点评,紫金山天文台 居然有古代色浑天仪 15块的门票真的是不贵 最高处的观景台也是很美的 不虚此行 不虚此行 紫金山真的是太美了 特别是秋天的紫金山,5,是
Hunter‘Freedom Go,2023-03-14 发布点评,"鸽子超级多 超级贪吃 完全不怕人 可以近距离接触
鸽子会飞来飞去 速度很快 一定要提前找好机位
选择一个晴朗的天气真的超级治愈！
周末出行的话 除了自驾 尽量公共交通吧
如果约车一定要提前",5,是
柳色云笺,2022-12-05 发布点评,在南京游玩的几天天气不是很好，要么太热要么降温太冷，但是风景没得说，非常合适～套票也很划算，两天内有效都刚好逛完了，值得再去。,5,是
M25****3100,2023-04-06 发布点评,作为一个5a景区，我觉得很一般。明孝陵的旅游资源明显没有得到更好的开发，而且里面朱元璋的画像竟然是芒果脸的那个，我记得出现了两张，我不知道专家为什么一定要选择这样的画像，即便不是明粉，参观游览一趟也觉得心里很难过。,5,是
M48****5225,2023-01-30 发布点评,整个中山风景区太大了，要走好几天，门票也分了好几个，值得一游。明孝陵的六百米南京最美的步行道很有历史感，一砖一瓦都很有沧桑感。美龄宫人太多没有上去，外面看就是一独栋别墅，资料图片是航拍的，现实中体会不到。,5,是
客官你来la,2022-01-04 发布点评,其实中山陵只是钟山风景区内的一小块区域。整个钟山风景区非常大，包括了中山陵，明孝陵，灵谷寺，头陀岭以及美龄宫等等其他景区。基本上所有来南京的人都会来钟山风景区，,1,是
_wf****9915,2017-06-17 发布点评,"很大的景区 中山纪念馆不收费 慢慢爬上山头可以看到南京城 门口有租借语音导游机 会跟着你的脚步来讲解10元一台 
明孝陵70元 电瓶车10元一人 靠双腿走大约25分钟 还是选了电瓶车 才开了5分钟就到了 同样租了语音导览 明孝陵其实被破坏的很厉害 很多都是重建的 当然不能看到墓室 国家规定了不能随意去发掘 

值得一游",0,是
云淡风轻vamos,2016-11-17 发布点评,十一月中旬去的，买的套票92元，天气不错拍出来的照片挺好看。建议早点出发，在地铁苜蓿园站下，乘小火车先去美玲宫，凭刷身份证入。再步行5分钟至明故宫博物馆，参观完从大金门进明孝陵景区，经过神兽石道一路到孝陵。再坐小火车去中山陵，然后去对面的音乐台（很近），喂喂鸽子。最后乘小火车去灵谷景区，从灵谷景区出来可乘202公交到地铁站。如果时间充裕，不妨再去趟南京博物院，民国馆超赞。注：景区内小火车乘一次10元/人，性价比虽不高，但节约时间，省体力啊。因为一天走下来确实挺累的！,0,是
思佳的音乐器,2023-04-23 发布点评,别墅花园幽静，风景优美。室内陈设一般。,5,是
东海村蒙哥,2023-07-04 发布点评,景区内外观光车建议统一成一种。,5,是
M29****6130,2023-05-22 发布点评,南京都很一般，不会想去第二次,5,是
M33****1761,2023-07-10 发布点评,对明孝陵做了一个高度总结！,5,是
乱步天下,2023-07-16 发布点评,去了好多次，总体感觉不错,5,是
M53****0458,2023-06-29 发布点评,好玩，风景好，就是太累了,5,是
??糖ξ( ?＞??),2023-07-02 发布点评,带娃感受历史文化气息,5,是
Un arbre.,2023-05-21 发布点评,风景不错??????,5,是
William_Mao,2018-01-26 发布点评,联票还是比较合算的，就是四个景点距离比较远，最好坐里面的短泊车，这次去正好赶上大雪，雪景很棒，但班车停了，只能自己跑，还是挺累的。各景区各有特色，明孝陵景区出了明孝陵外还有免费开放的明孝陵博物馆和东吴大帝孙权纪念馆，东吴和明朝初期的历史;美龄宫可以了解宋美龄的一生，音乐台可以喂鸽子，灵谷寺塔可以俯瞰灵谷寺全貌并眺望南京城,5,是
炯炯有神123,2023-06-24 发布点评,老实说，挺一般的,5,是
M49****1732,2023-05-27 发布点评,全程走下来太累了,5,是
MacYue马超越,2023-05-02 发布点评,累死了，路太长了,5,是
M31****6531,2023-04-24 发布点评,就是走得太累了,5,是
M40****830,2023-07-05 发布点评,风景挺不错的,5,是
炯炯有神123,2023-06-24 发布点评,总算是走完了,5,是
请叫我杨丰收,2023-03-02 发布点评,出差期间忙里偷闲，没事出来走了走，2-3月正好是梅花的季节，进来以后都是拍梅花的大军，我对梅花没有特殊的喜爱，直奔几个景点去了，整体感觉趣味性和景色一般吧，主要是了解历史。,5,是
M42****5365,2023-06-08 发布点评,还不错。。,5,是
拾。,2023-02-16 发布点评,很方便，在携程上订票也有保证，这几个景区是联票，买一个就可以所有的景区通完，明孝陵很大，走走神道很不错，中山陵需要单独预约。,5,是
星星星星草啊,2021-11-02 发布点评,太值得了！去的那天天气非常好，明孝陵的深沉历史感，中山陵的威严肃穆，音乐台的惬意，灵谷塔的古朴精巧……从太阳初生走到日暮黄昏，沉浸在历史的厚重里无法自拔……换个季节一定还要再去一次。,5,是
_M13****2859,2023-04-06 发布点评,个人觉得明孝陵最好，风景美，在明孝陵逛了4个小时。美龄宫和明孝陵大金门的入口其实很近，应该先逛完美龄宫再去明孝陵，没太注意先进了明孝陵，还好景点间都有电车，最后逛的顺序是地铁-明孝陵-中山陵-美龄宫-地铁，灵谷没去。,1,是
M41****353,2023-02-27 发布点评,省会城市的服务就是不一样啊，大大小小一共十余人，因走错出口，入口检票处工作人员耐心解释并允许再次入园，免去了多少麻烦～～,5,是
闲来有趣,2022-04-16 发布点评,"紫金山位于南京市东北角，又称钟山，江南四大名山之一，有“金陵毓秀”的美誉，紫金山主峰海拔448.9米，周围约30公里，三峰相连形如巨龙，山、水、城浑然一体，古有“钟山龙蟠，石城虎踞”之称，早在汉朝就极负盛名。
紫金山以前是军事重地，还是天文台所在地，现在变成旅游景点了，免费开放给南京人提供一个完美的休闲健身场所。
登泰山小天下，登紫金山一览南京城，每天每个季节风景不同。",1,是
徐徐霞客Rr,2022-03-25 发布点评,最喜欢在深秋的季节去一次南京，秋天的南京，可以说是非常非常的浪漫，满地的红枫和枯黄的树叶显得有那么一丝丝苍凉。这个钟山风景区依山而建，气势磅礴。建议大家去的话轻装上阵，还是比较累的,1,是
shanshan633,2022-02-08 发布点评,"梅花山上梅花开 正当时??
作为排名第一的赏梅胜地，南京明孝陵景区内的梅花山 每到2月中旬到3月中旬期间，遍山梅花竞相绽放，现在腊梅已落寞，白色的玉蝶梅、粉色的朱砂梅、和红梅已绽放枝头，一场暴雪过后雪白的背景映衬着梅花尤其娇艳。",5,是
M34****1935,2023-04-15 发布点评,"第一次去南京总得来看看。
去之前最期待的是明孝陵，但是整个景区一天游览下来实在是太累了，最后再去这个的时候实在是没有精力了。
所以从游玩的角度来说最喜欢的是灵谷寺和音乐台，这两个地方比较愿意再去。",5,是
M30****6675,2022-09-22 发布点评,非常好玩，建议坐一百元的观光车可以带你看三个景点，从明孝陵到灵谷寺再到美凌宫最后送你去中山陵，然后去对面的音乐台喂鸽子很出片！自己走太累了 园区大的吓人，,5,是
M32****075,2023-01-27 发布点评,明孝陵下梅花山，中山陵外音乐台。美龄宫里观美龄，钟山景区游钟山。,5,是
啦lalala呀,2022-08-22 发布点评,学生票半价，今天周一所以人比较少，总体来说还不错，门票里不包含路费，观光车就够啦十块钱单程，不要打出租车司机很有可能不打表!!!反正去的话苏康码绿码然后刷身份证就行，祝各位旅途愉快啦!,5,是
M47****8555,2023-07-18 发布点评,总体来说，这个景点不应该收费，大家花钱去看鸽子，还得买食喂它们,5,是
小熊这么可爱就是要被我rua的,2023-05-03 发布点评,和想象的差距很大，走了一下午感觉都没有什么吸引人的地方，后悔,5,是
_WeCh****357914,2023-01-28 发布点评,这条评论给乘坐景区电瓶车的朋友。每次买单程10元票就好。乘坐顺序是从山下到明孝陵/美龄宫下，然后再买票上去到中山陵，穿过音乐台有到灵谷的车，回到山脚下坐地铁要到中山陵才有车。我们顺序反了，走的累死没有车??,5,是
M23****5950,2022-11-07 发布点评,买的明孝陵，音乐台，灵谷寺和美龄宫的联票，先去的明孝陵，离音乐台太远了，好不容易找到观光车站一问音乐台在中山陵要另外预约，联票的界面没有一点提醒，观光车票都买完了当天又不能预约也去不成，灵谷寺也没开放，联票照样卖也没写，真绝了，这些东西就不能在买票的时候写清楚吗？真的很气人这样白跑，浪费了时间而且联票内景点都没开也照样收钱，景色的话主要看自己找角度吧，那些大爷大妈太凶残了,5,是
M27****9639,2022-06-10 发布点评,读万卷书行万里路，以后我会把我的心得体会，分享给我的学生们！,5,是
M53****4871,2023-06-21 发布点评,累死人了，感觉真的啥都看不到，比南京博物院这类型的差好多,5,是
多多1016,2023-02-19 发布点评,鸽子飞起来的时候真的太美了，地点在中山陵风景区里面，带小朋友可以喂鸽子，总体不错，去的时候那天有点冷，但是还是很多游客坚持等鸽子飞起来,5,是
樱幸,2022-06-16 发布点评,坐公交到达钟山风景区很方便，然后全程徒步加共享单车，一路风景山水树木都很美，超级天然大氧吧，所以一点都没觉得累，还发现了一个特别漂亮的民国老邮局，意犹未尽，非常值得去的地方。,5,是
蒙头莉莎,2023-03-29 发布点评,"观光车很方便、刚好是晴天、园林风光
连路上都是风景",5,是
M49****5627,2023-07-21 发布点评,比较累很大，外面要观光车，里面也要观光车都花钱,5,是
椰子去旅行呀,2023-02-04 发布点评,女朋友没来过南京，第一次陪她一起去，也是第一次去钟山风景区，环境蛮好的，春游特别适合！,5,是
320****858,2023-09-30 发布点评,景点不错。管理太差了，尽然还出现了一大波不排队的人，往门里冲的情况。就那个几个保安，在国庆期间根本管不过来，不出事就是万幸了,1,是
*玲莉,2023-04-30 发布点评,除了中山陵，美龄宫其他的景点个人觉得没意思,5,是
银翼猎手他爹,2023-04-05 发布点评,"这个地方很大，玩一天真的很累。但是不推荐景区内的观光车，因为人真的很多而且贵。
然后说景点。明孝陵地方很大，里边可以喂梅花鹿，还挺好玩的。美龄宫人多的时候真的超级挤，而且看完很羡慕她的生活。音乐台可以喂鸽子，其他没什么意思。灵谷在最后太远了实在没精力去了。",5,是
LQ明天会更好,2022-03-01 发布点评,"钟山景区，南京著名风景旅游胜地，承载了很多历史文化底蕴，应该值得一去。
钟山景区以中山陵为中心，明孝陵、灵谷寺为、美龄宫等多个景点为依托，中山陵、明孝陵、灵谷寺、美龄宫等主要景点相距比较远，好在景区内有接驳车，但如果遇到节假日那这个接驳车要排队等候很久。节假日游客多外加疫情形势，建议提前预约，避免长时间排队，也建议不开车，停车费相对贵，每小时30（节假日）上不封顶。",1,是
_WeCh****474308,2021-05-14 发布点评,"景区非常好非常大，可以坐地铁再苜蓿园下车，就可以看到前面正对面就是景区。建议买单次或者多次观光车，因为我坐了5次观光车后还步行了1万八，如果不坐观光车。那最多玩两个景区一天时间。


我们是先去的美龄宫，比较小，三层，基本40分钟肯定搞定。之后去的明孝陵，非常大，坐了园内特色观光车花了一个多小时，如果不坐你就给自己留2个半小时吧，我一年轻人特别能走都体力跟不上。


在明孝陵7号门坐了观光车去到中山陵景区，也花了一个多小时游览，因为要一级一级走上台阶去才能瞻仰***先生（带小朋友的家长就别让孩子上去了），之后原路返回去到音乐台，说实话如果你想拍个美照可以去那里。喂鸽子的玉米15一包，也可以自己准备好，就不用花钱买了，拍拍照不错。


从音乐台出来就可以坐观光车到灵谷寺，小孩子最好别进去了，基本都是一些比较悲哀和***相关的东西，建议坐园内特色车，因为自己走会断腿。


园内特别观光车一般是30一位，无限次是 50一位。切记一定要做观光车，不坐你就玩不完走断腿，坐了就是节省体力，时间一天就很好。买套票也比较划算。


性价比高，有趣好玩，景色不错，总体超赞，
",5,是
阅心中流,2019-08-20 发布点评,来南京必去的一个地方，每个景点有各自的特点，明孝陵有浓重的明代历史氛围，美龄宫了解了建筑之美和宋美龄的精彩的一生，灵谷寺非常值得推荐，特别是里面的斋菜，价格美丽，无限续加，商业氛围不像其他景区那么浓重，师父都很和善，里面的书籍光盘都免费送，我没有做功德，也不想拿。中山陵是游玩的最后一个景点，也是免费的，因为早上预约的时候只有下午的票了，小伙伴有来玩的一定要记得提前预约，中山陵台阶很多，但是为了瞻仰下国父还是努力爬上去了。景区内有电瓶车，50块钱不限次数，或者10块钱一次，因为景区比较大，赶时间的话走路根本游览不了几个景点，推荐还是买下。,5,是
慵懒国王,2016-12-07 发布点评,钟山风景名胜区是南京旅游必去目的地，也是全国的王牌景区，旅游名片。钟山风景名胜区是一个很大的范围，一两天是逛不完所有的景点。主要分明孝陵、中山陵、灵谷寺、紫金山、美龄宫、南陵体育公园、白马公园、中山植物园、中山植物博览园、梅花山等景区。钟山地区空气特别好，古木参天，郁郁葱葱。一年四季都有不同的美景，春天看春花浪漫，夏天看枝繁叶茂，秋天看景观大道，冬天赏梅花阵阵。,0,是
M25****7200,2023-04-13 发布点评,"一天铁定转不完 别买套票
中山陵免费的玩一玩。花钱的都是后修建的。周边风景看看就行",5,是
小潼呱呱,2023-07-18 发布点评,景区很大 但是票价有点虚高不值这个价格,5,是
M27****9639,2022-06-10 发布点评,我跟老婆第一次去中山陵，读万卷书行万里路！真的落实了！以后我会跟老婆抽出时间，去旅游旁边的风景区，由于时间关系，就只看了中山陵，我会抽出宝贵时间旅游！,5,是
M21****771,2023-06-28 发布点评,观光车不顺畅影响游玩心情,5,是
白健,2023-05-20 发布点评,昆虫不多，20分钟走完。,5,是
M53****4871,2023-06-21 发布点评,太累了热死了，也就那样,5,是
狮舞天下,2023-02-17 发布点评,看着景点不多，但是相对分散，即使坐景交车也需要很长的时间。这几个景点我差不多用了一天的时间玩遍。赶上梅花山梅花节开业，即感受了历史又欣赏了梅花，完全是好评。老景区了，又是经典的线路，想不全五分好评都不行！,5,是
上海电气老陆,2022-09-05 发布点评,南京不亏是六朝古都，历史底蕴悠久，街道优美，钟山风景区很漂亮，两边的梧桐树特别美，中山陵气势恢宏，风景不错，很美，建议能到山顶尽量上去，站在山顶，往下看，不一样的南京。很美。,5,是
118****563,2021-12-02 发布点评,中山风景区非常漂亮，很值得一去，无论是明孝陵也好还是中山植物园也好，或者说是灵谷寺景区，都值得一去。真的是一到秋天南京就变成了金陵城。,5,是
M54****1037,2023-07-12 发布点评,不咋地不咋地,5,是
_WeCh****238099,2023-06-23 发布点评,一般一般一般,5,是
M17****168,2023-05-18 发布点评,卫生不怎么样,5,是
M22****7430,2023-07-11 发布点评,观光车太差,5,是
300****448,2022-09-06 发布点评,与老友一早打卡美龄宫??好几年没来过此地了。,1,是
Lemon的夏天,2023-02-26 发布点评,景区太大了，如果时间充裕其实可以分开游览，梅花山梅花开的正好，灵谷寺有一部分还在修建…整体游览下来有些失望，可能季节不对，总归和想象中的以及网上看到的有些感觉不一样…不过想着夏天来应该会很好，如果再下点小雨感觉会更好…还有，我不喜欢小火车收费的那些大姐，凶巴巴的,5,是
pi****li,2023-02-01 发布点评,携老扶幼出行，所以特意预订了专车和导演讲解。路线安排合理，车辆全程跟随，看我们有小宝，都停在尽量省腿离景点最近的地方。导游姐姐讲解细致专业，孩子和大人都补了很多历史文化知识。来访南京这样的城市，与看景相比，体会、体味文化更重要。,5,是
_WeCh****876394,2022-11-06 发布点评,环境优雅，富有文化底蕴，值得推荐的好地方,5,是
春风起,2022-07-23 发布点评,中山陵景区可免费游览，梯阶高而多，有点费体力。附近有免费的明孝陵博物馆和十朝历史文化园展馆，其它景点如美龄宫、明孝陵、海底世界、急乐台、灵谷寺需要收费。行李寄存需到内部的游客中心或自助柜，两小时十元。,5,是
线,2021-11-29 发布点评,秋天是最美的季节，五彩斑斓，美不胜收！,1,是
vera0112,2023-02-19 发布点评,"明孝陵是我至今到过的最大的帝王陵
真的很震撼
两公里的神道只走了一半就足够惊喜了
相对而立的石像庄严肃穆
历尽600多年的风霜雨雪
明孝陵博物馆里面展品详尽
唯一的遗憾是没有买到纪念币吧
也是再次到来的动力",5,是
M50****2786,2023-04-03 发布点评,去的时候太热了，但是总得来说这个价格去三个核心景点我认为是物有所值的。,5,是
爱仓锅滴蜀黍,2022-10-07 发布点评,南京必去景点，就在市区内，交通方便。山上绿树成荫，梧桐树很美。景点很多，可以坐观光车比较方便。携程买票很方便，刷发身份证直接进。,5,是
陝游侠,2023-08-24 发布点评,景色不错，但是交通极差，三公里的路开了70分钟，到跟前发现是**无故放置隔离墩，两车道变成了一车道，联票四个景点只能去两个，停车收费极贵每15分钟5元，在灵谷寺和明孝陵停车就花80多。,5,是
旅行者1912,2023-02-11 发布点评,风景真的很美，人特别多，走一天下来两万多步，中山陵必去，还有明孝陵也很壮观，音乐台拍照打卡的人太多了，推荐买套票，比较划算。,5,是
M43****502,2022-10-30 发布点评,灵谷我劝大家别去了，就是个墓园，公墓园，明孝陵和中山陵好歹面积大就一个墓，灵谷是一堆墓，无粱殿吓我一跳，就是个牌位堂，灵谷塔也没啥特别，是纪念烈士建的，灵谷寺一点点小。音乐台可以去。明孝陵神道也超美，但为赚钱在古迹上搞个vr探秘也太那个了，美龄宫还行，看看宋美龄波澜壮阔的一生,5,是
常青藤110,2021-11-06 发布点评,紫金山主峰海拔448.9米，周围约30公里，三峰相连形如巨龙，山、水、城浑然一体，古有“钟山龙蟠，石城虎踞”之称，早在三国与汉朝就极负盛名。紫金山囊“六朝文化、明朝文化、民国文化、山水城林文化、生态休闲文化、佛教文化系列于一山之中，是为“中华城中人文第一山”。,1,是
CATHAY  X,2023-03-19 发布点评,十分甚至九分的好,5,是
Tony,2023-03-08 发布点评,这个地方真是适合各种场景，之前跟爱人一起来，现在带小孩一起来，每一次都有新的体验，非常棒,1,是
M37****2638,2023-04-04 发布点评,风景美丽，历史悠久，气势磅礴，相关景区很近，景点规模壮观，相互衔接。配套设施也完美，景点标识清楚，游客一目了然，配套设施也完善,5,是
118****563,2021-12-02 发布点评,一到秋天南京就变成了金陵，南京的秋天主要在中山风景区和栖霞山风景区，其他地方比较一般。,5,是
_WeCh****164195,2023-04-16 发布点评,普通，人不多，体感一般 ，感觉30块门票差不多,5,是
兔好吃,2023-02-06 发布点评,！景点很大很大 去玩预留三四个小时，景区嘛 吃喝比较贵 先带好！ 全部玩的话建议买50的那个观光车 划算 鸽子都吃饱饱的了 不一定会吃投喂,5,是
趴在墙头,2022-05-29 发布点评,以前没来南京的时候觉得南京没有什么好玩的，但是来了之后觉得南京太好了，玩的东西特别的多，而且好多地方都没有门票，钟山风景区最著名的就是梧桐树，给你的感觉真的不一样。,1,是
M31****2292,2023-01-26 发布点评,春节期间没啥体验感，乌泱泱全是人，小吃不好吃，环境算干净但是大冬天也没啥好看的，景区公共交通排队半小时以上，中山陵停车场停车30块一小时，下午3点后不走动就冻死人,5,是
M45****8437,2023-02-04 发布点评,玩的挺好，人很多，如果淡季出游应该会比较好些，空气非常清新，天然氧吧，音乐台的鸽子没有看到，下次来再重新参观，总体比较好,5,是
zx****g,2023-01-18 发布点评,"冬日明孝陵的外景对于外地游客其实一般，听说对南京人还是很有感情的，比如神道。
明孝陵里面需要有一些历史知识去看是最好的，如果没有什么历史，看个寂寞了。有讲解可以提前听一下，喜马拉雅上有免费，现场扫码听的需要付费。
另：明孝陵景区里的观光车30一人带讲解，神道开过都没有办法拍照的。讲解也只能达到观光车讲解水平，直接听喜马拉雅足够了。不赶时间没必要做了，赶时间的可能没碰上时间也得等15分钟。
鹿苑和朱元璋有什么关系，我还是不知道，是景点创收的方法也可以理解。如果小娃娃陪大人来看明孝陵，家长就奖励人家喂一个吧，否小朋友都不知道来干嘛。

美龄宫还是很美的，看着很赏心悦目。

时间来不及没去音乐台和寺",5,是
M51****9421,2022-10-14 发布点评,来南京一定要来中山陵转一转，一开始我没想到会有这么多台阶，当然为了能登上顶部去上厕所所以我忍了，因为厕所在顶部，哈哈哈，虽然累但是为了不抛弃朋友我还是认真的陪她爬了上去，回来的时候是真的累了，晚上朋友带我去了中华路93-1的一个小酒屋，酒屋虽小，但是酒却一点不少，适合跟三两好友小聚，吃着对面点的烤串，喝着清爽的长相思，别提多惬意，一天撒山的累也不复存在了，爽啊，,1,是
随遇而安 一切随缘,2022-07-16 发布点评,钟山六朝古都南京的东郊，是南京地区群山之首。古称金陵山，战国时楚国在此建金陵邑，即由此山得名。汉代开始称钟山，东晋时开始称紫金山，因山有紫色页岩，远望山顶，紫云缭绕气象万千。钟山三峰相连形如巨龙，山。水、城浑然一体，雄伟壮丽，气势磅礴，古有“钟山龙蟠，石城虎踞”之称。钟山地处北温带和亚热带之交，为南北植物引种过渡地带，植物品种丰富，林木繁茂。有中国民主革命伟大先驱者孙中山先生的陵墓－－中山陵以及辛亥革命名人墓。还有孙权墓、明孝陵、灵谷寺等多处名胜古迹。,1,是
线,2021-12-29 发布点评,钟山名胜，人杰地灵！湖光山色，美不胜收！,1,是
139****8029,2021-10-10 发布点评,我选了坐落在钟山风景区里的国际会议中心住宿，到各个景点非常方便！道路两旁的梧桐树蔚为壮观！中山陵气势磅礴！美龄宫精致特别，中西合璧的建筑风格堪称经典！看到紫金山天文台的古天文仪，使人不由得为我们的祖先感到骄傲！明孝陵的“享殿”毁于兵火，剩下数十个石墩诉说着历史书沧桑，内心感慨万分：生活在和平年代真好！！,1,是
