用户名,时间,内容,星级,点赞,,,
baobaoxiongs,2023-10-0209:52," 牛首山，中秋国庆节南京旅游的首选景点，终于在国庆节当天预约上，一大早赶到，等开门，8点钟左右到的，人还可以。  交通:这个位于南京南面，主要入口是东入口，西入口，东入口进来的多，团队也是从这里进入，到牛首山东入口可以坐754，712，755，自驾一定早，有地面停车和地下车库，来晚了只能停在附近的马路上，蔓延很远，我们中午出来的时候，都几公里外不让自驾车进入，只能附近停车短驳公交进入。  特色体验:票要预约，由于国庆，我们中午出来已经收到景区订票量达到上限，关闭预约通道的信息。牛首山自然风光秀美，文化底蕴深厚，可以慢慢爬山上去，沿路有佛顶寺，岳飞抗金故垒，摩崖石刻，牛头禅文化园，郑和文化园等，由于 中秋节走累了，牛首山可以选择无障碍通道，买票乘院区大巴，10分钟上山，路中有无障碍电梯直接佛顶山精华玩，下山也可以大巴下，但切记有东门西门大巴，不要搞错。  推荐理由:佛顶宫是园区的最赞的地方，核心，建筑宏伟壮观，这里是佛顶舍利长期供奉地。外观最适合网红打卡圣地，里面惊艳，绝对不输无锡梵宫，特别幸运国庆不会轻易对外地第七层舍利开放。出来有体力，旁边的佛顶塔，可以俯瞰整座牛首山。   		   ",4.5,0,,,
Mary,2023-10-2216:37," 牛首山文化旅游区 从上海出发到南京旅游，一定要去牛 首山旅游景区游玩。 牛首山，位于江苏省南京市江宁区牛 首山文化旅游区内，因山顶突出的双峰相 对峙恰似牛头双角而得名，民间又称为牛 头山。 门票是在美团网上购买，打了对折～ 80元。 登山到山上有电梯??一定都不累。 佛顶寺～佛顶塔～佛顶宫这三大核心 建筑风格气势宏伟，震撼！ 一座牛首山，半部南京史！   		   ",4.5,0,,,
小白路虎,2023-10-1706:49," ??南京牛首山4A级文化旅游区，来这里当然要打卡佛顶宫和佛顶塔，友友们不要看到山，就恐慌，这里真的是很神奇，竟然有上山的扶梯。。。?????? ??【位置】江苏省南京市江宁区宁丹大道18号 ?【营业时间】8：30—17：30（佛顶塔17：00关闭） ??佛顶宫里长期供奉着佛顶骨舍利，建筑的地宫真的是超级宏伟华丽，气势盛大。佛顶塔当然也是标志性的建筑，既然都来了，就挑战一下自己上去看看。来到塔顶眺望一下远方，将这山间美景尽收一下眼底，你的烦心事会瞬间消散，心底会随着美景而愉悦。。。这一高一低的标志，会给你不一样的震撼灵魂之力。。。 ??友友们不用担心来的时间不适宜的问题，因为四季都有不同风景。在我的印象里充满了桂花香。。。??????   		   ",4.5,0,,,
女巫婆婆,2023-10-0512:35," 从上海来到南京。报了当日一日游，一天6个景点，第一个8.30牛首山，牛首山，佛禅文化源远流长。是中国禅宗牛头禅的开教处与发祥地。 阳光好，不冷不热，时见桂花树，芳香扑鼻。满山的“小音响”梵音袅袅。看山间来回路上人头攒动，人气旺盛。有石墙雕刻《十牛图颂》。十幅画十头牛，说明由“迷”起“悟”的十段历程。佛家言，从来不失，何用追寻？一路下来震撼，追寻，感叹，悟，腿部都酸了。我甚至感觉腿走的都粗了，但是很值得   		   ",5,0,,,
瑜uu,2023-10-1314:37," 去之前真的没想到会颠覆自己对佛教宫殿的认知，确实非常震撼，建筑设计融合了宗教文化和现代艺术，里里外外无处不在的精美雕刻细节感拉满！ 有幸还瞻仰了佛顶舍利 路线规划：市区打车到西门，直接上宫殿，然后从东门出，有咖啡餐饮可以歇脚，东门的士也很多，方便回城。   		   ",5,0,,,
还是当个小猪宝吧,2023-10-2310:33," 周六去的牛首山人还挺多的早上十点下午一点都是进园的高峰期因为和爸妈一起所以上山下山都是乘车的一人10元扫码购票还挺方便的缺点就是排队的人太多了上山拍了半小时下山排了四十分钟东门进出的人比较多还是建议走西门进比较快索性车次还挺多的上山有电梯对腿脚不好的还是很友好的大榴莲是牛首山景区的核心一定一定要到地下五层的千佛殿参观一下极尽奢华不愧是花40亿打造的景点每一处都很精致值得一看的～   		   ",3.5,0,,,
匿名用户,2023-10-3014:06," 景区很大，景区大巴十块钱一次，不是往返票，时间充足可以不坐车逛一整天；我们是直接坐车去的佛顶宫，打卡的人很多，上面就是看看原始建筑；下地宫先到最底层，一层层网上，整体是个螺旋上升的过程，每层出口处设置商铺，理智消费；很辛运去到了藏舍宫，据说一年只开放21天，太牛了   		   ",4.5,0,,,
车淳,2023-09-2819:10," 牛首山，位于江苏省南京市江宁区牛首山文化旅游区内，因山顶突出的双峰相对峙恰似牛头双角而得名，民间又称为牛头山。东晋宰相王导曾劝谏初创政权的晋元帝司马睿打消在皇宫外兴建象征皇权的双阙的念头，请晋元帝乘舆出宣阳门，南眺牛首，两峰对峙，趁机劝喻元帝：“此天阙也，岂烦改作”，故得名“天阙山”。牛首山景区核心区设计理念为：补天阙、修圣道、藏地宫、现双塔、兴佛寺、弘文化，目标是“打造世界佛教文化新遗产，再现当代建筑艺术新景观”。主要景点有佛顶寺、佛顶塔、佛顶宫、岳飞抗金故垒、摩崖石刻、弘觉寺塔、郑和文化园等。   		   ",4.5,0,,,
原味奶茶,2023-10-0217:25," 斥资40亿打造的牛首山佛顶宫非常之震撼！今天三生有幸，能看到佛祖释迦摩尼佛顶骨舍利，阿弥陀佛！牛首山景区核心区设计理念为：补天阙、修圣道、藏地宫、现双塔、兴佛寺、弘文化，目标是“打造世界佛教文化新遗产，再现当代建筑艺术新景观”。主要景点有佛顶寺、佛顶塔、佛顶宫、岳飞抗金故垒、摩崖石刻、弘觉寺塔、郑和文化园等。来牛首山一定要一清早就来，最好是自助游，地铁及免费往返短驳车都很方便，千万别跟团   		   ",5,0,,,
民以食为天,2023-09-0617:33," 牛首山遗址公园以唐代风格的九层佛顶塔以及穹顶建筑的藏有释迦牟尼头骨舍利的佛顶宫最为闻名。 拾梯而上，一口气来到佛顶塔的最高层，远眺一览牛首山的全景，近览佛顶宫的穹顶，壮哉美哉。 佛顶宫一层的佛祖涅槃卧体，以生老病死四相来普渡众生，大气震撼。 慕名而来看舍利，到了方知只有特别的日子才能有幸目睹，通过视频影像，了解到什么是舍利，涨知识了。 整个宫殿一步一景，一个视角一景，千座小佛龛，千盏长生灯，心灵深深感受佛教的禅修。 可惜相当一部分游客很不文明，在塔中和宫中或坐或躺，吃着食物，喝着饮料，完全没有对佛的敬畏之心意。场景虽好，修养太差，悲哉悲哉…..   		   ",5,1,,,
一只炸毛怪,2023-10-1813:42," 建议西门进我们8点20到的西门门口排队的人很少 景点8点半开门哦进去后直接右转坐大巴上山10元1人 只要2分钟就能到半山腰 不想坐大巴自己走的左转走20分钟能到 下车后一路扶梯往上走很快就能到大榴莲想要拍出没人的照片一定要赶早建议先拍照后参观 我们大概玩了2个小时就差不多了 10点半开始已经很多人了就不太容易出片了 早起不来的也可以下午3点半左右入园逛完了等人群散 去再拍 我们是西门进东门出的也是大巴车下来东门门口有很多出租车交通还是很方便的 建议避开节假日出行哦室内都有空调体验感还是很好的非常壮观   		   ",5,0,,,
一兮,2023-10-0317:11," ??????推荐理由:南京最让我震撼的景点！！！！  牛首山风景区位于江苏省南京市江宁区，是一个集自然风光、人文景观和佛教文化于一体的综合性旅游景区。我非常喜欢这里的自然风光，尤其是登上佛顶寺，能够俯瞰大地，让人心旷神怡，倍感神奇。景区的绿化也做得相当到位，无论是绿树成荫的小道还是茂密的竹林，都让人感受到大自然的生机和活力。登山的路线有一定的坡度，但只需半小时便能登顶，对于喜欢挑战自我的游客来说是一个绝佳的去处。在人文景观方面，牛首山景区也绝对不会让游客失望。景区内的建筑和雕塑都非常壮丽，充满了中国传统文化的气息。尤其是地宫，堪称艺术瑰宝，让人叹为观止。此外，景区还融入了补天阙、修圣道、藏地宫、现双塔、兴佛寺、弘文化等设计理念，为游客打造了一个更加完善的旅游体验。总的来说，牛首山风景区是一个非常值得一游的旅游景区，它将自然风光和人文景观完美地融合在一起，让人流连忘返。   		   ",4.5,2,,,
阡陌多暖春,2023-10-2510:26," 很震撼的一次旅行，山下风景优美，自然景观温婉养眼，给人感觉很舒适，上了山却是另外一番景致，大气恢宏，令人震撼无比，佛顶宫供奉了佛顶骨舍利，诚心瞻礼参拜！体验到了这里的圣境、胜景，暑假来的，天气比较热，人比较多，但仍然觉得不虚此行。   		   ",5,0,,,
CY,2023-10-1517:49," 交通： 听说可以地铁??到天隆寺再打车 或者直接滴滴～ 至于西出口的确比东出口近一半路??的  特色体验： 塔和佛顶宫??都非常震撼 1??0??月中旬去的那天最高温度20几度 穿什么的都有 汉服～裙子～马褂～短t  逛整个牛首山?? 的确要4-6小时 我们早上是打车到东门 看到图一风景 走了2-3公里到的佛顶宫   		   ",4.5,1,,,
hanaclover,2023-11-0102:19," 周六去人也非常多 幸好不是国庆 早上9点就到了 被入口排队坐景区车的场面吓到 不过十来分钟就顺利进去 打卡了佛顶宫、地宫和佛顶塔 震撼，但是呢仅属于走马观花 还漏掉了卧佛 好在天气舒服早起心情舒畅 基本没走什么路所以不累 如果带着老人小孩 一定不要逞能自己走下山 这点时间不如出去吃个饭逛点别的   		   ",4,0,,,
是一颗葡萄呀,2023-11-0822:55," 交通：地铁转公交，我们带着行李直接去的第一个打卡点，公交车站有滴滴蹲10元一个人去东门 门口有行李寄存柜，大中小包裹都能放下 不想走路可以坐观光车，但是排队人很多，选择徒步上去，下来做观光车，吃的最好自备，佛顶宫不会让你失望，人间值得，很震撼   		   ",5,0,,,
小鱼,2023-11-0822:05," 还可以，个人比较喜欢爬山，跟朋友一起爬就更有意思了，可以锻炼身体，路上还可以聊聊天很有意思，牛首山很漂亮，山路也不是很陡，里面的亭子和塔景色都不错，那个佛像很多的地方没进去，是著名景点，可惜鄙人不信佛，   		   ",4,0,,,
bluuuuue,2023-11-0821:21,"挺值得一逛的地宫里边超大很震撼
步行到山顶其实慢慢悠悠走上去也不会很累
最好提前买好水景区里边一瓶水五块钱好贵",4.5,0,,,
千岛健太郎,2023-11-0821:16,牛首山肯定是南京必玩榜TOP1??斥巨资打造的景点充满了奢侈、大气、豪华在东入口配有周边、饮料、小吃、寄存柜.景色怡人，看看大榴莲和佛教文化非常不错,5,0,,,
石征1977,2023-11-0820:47," 牛首山，位于江苏省南京市江宁区牛首山文化旅游区内～ 牛首山景区核心区设计理念为：补天阙、修圣道、藏地宫、现双塔、兴佛寺、弘文化，目标是“打造世界佛教文化新遗产，再现当代建筑艺术新景观”。我们主要去参观了藏地宫。光做扶梯下行就下了五层…距离地面33米…内外可分为千佛殿和万佛廊，向人们呈现了一个神秘，殊胜的佛国世界。我拍的照片不能展现出现场的壮观，还是要亲自去参观来得震撼！ 推荐指数：??????????  这里特别要讲的是，这个景点以人为本做的最好！值得全国景区借鉴的是——上山有两大段扶梯…（忘记拍了）也就是，走一段平路后，爬近30个台阶后，就可以坐一节手扶扶梯上，然后再走一段平路后再爬些台阶后，又可以坐一段扶梯～有扶梯可以上山的景区太好了！尤其是对老年人来说是最大的幸事！这点尤其要重点说！   		   ",4,0,,,
清秋廿九,2023-11-0819:21,风景还不错，这是第二次去的，第一次去的时候还可以走山上小路，这次去的时候就封了，总体来说还可以的吧，推荐,3.5,0,,,
黑豆粉油泼海螺,2023-11-0817:29," 11.7去的，门票140买的，里面要去佛顶宫乘坐大巴车的话10块钱，也就是5分钟路程，看点感觉也只有佛顶宫吧，一共玩了三个多小时，里面还有两个塔，忘记啥名字了，没啥好看的，电梯还不给用了，爬的累死了，不推荐你们去看了，反正最有看点最惊叹的就是佛顶宫了吧   		   ",3.5,0,,,
匿名用户,2023-11-0816:59,跟着攻略来打卡，真的是没错，风景很美,3.5,0,,,
烂柯一梦_2424,2023-11-0816:17,请问牛首山景区内有无障碍通道吗？下山可以全程推轮椅吗？,4,0,,,
小芥末辣眼睛,2023-11-0816:12," 第一次来南京两日游，把一天的行程放在了牛首山！不光是网红拍照打卡地！ 不亲自到地宫看看，真的很难理解网上说的壮观 40亿建造的景区保存着释迦摩尼的顶骨舍利 如果想参观的可以注意下参观时间。 整体游玩大概花费4小时左右。 （牛首山字样的柠檬茶除了拍照有点报喝）   		   ",5,3,,,
糖包妈妈,2023-11-0815:58,特别值得来。西门进，观光车+电梯上山看佛顶宫，腿脚不便的人也能上的去。外观拍照好看，内观震撼庄严。地宫那些佛像做的栩栩如生，衣襟飘带都很细致，非常棒。,5,0,,,
Lily莉莉酱,2023-11-0815:56," 可以参考跟半日团，公交路线都不用想了，导游会讲解 	 大门入闸处可领景区地图??? 从景区东门到佛顶宫走路大概20分钟，一路暴晒 所以建议坐景交车(往返20/人)，可以节省一些体力去 爬佛顶塔。每天末班下山景交车发车时间18:00 	 下车后走两三分钟会看到一面有“佛顶圣境”四个字 的墙，继续往前走乘扶梯即可到达佛顶宫 	 关于佛顶宫(大榴莲): 地下+地上共9??层，开放了层 游览顺序:入口-1层-负5层-负4层-负3层-负2层-负 1层-出口 .1层(禅1F):卧佛(图3) :负5层(佛5F):地宫(图12)需在电梯入口处穿鞋套进入 负4层(佛4F):俯瞰地宫(图5、16) 	 关于佛顶塔: ·塔共层，开放了⑦层 登塔可俯瞰佛顶宫以及周边景色 可以取去塔④层拍拍照 登顶很考验体力，大家量力而行 	 景区内除了佛顶宫和佛顶塔还有佛顶寺、牛头禅文 化园、郑和文化园等景点，一定要控制好游览时间   		   ",4,0,,,
小冤种,2023-11-0815:31," 景区不错，蛮壮观的，天气也很给力，原片直出多巴胺照片，很多很多大佛。服务设施也都还不错，上楼几乎都有电梯，下楼只能走路了，如果腿脚不好或者有小朋友的话会比较累。逛完出来有个很大的文创店，大姐服务态度超级超级差，这半颗星就是因为她，买了东西，盒子是破的让她帮忙换一个，不情不愿的，回头还用南京话骂了我一句呆子！   		   ",0.5,0,,,
&#39;Coco.Li,2023-11-0813:23," 跟朋友一起带孩子来南京玩第一站就选择牛首山下南京南火车直接打车到景点门口有存包柜两个29寸箱子可以放在一起20块钱非常友好选择坐的大巴车没来得及看到表演这点很遗憾全程都不太累但孩子都不喜欢都是走马观花的看了看   		   ",5,0,,,
匿名用户,2023-11-0813:15," 南京的牛首山文化旅游区，去的时候提前做了攻略，所以很轻松的挺好了车，进去也很顺利。牛首山的佛顶宫简直了，太震撼了，我简直是无法言语，都不知道怎么形容了，听说是40亿打造的绝美宫殿，是属于深坑建筑，在地宫的最深处藏着世界上唯一的一颗佛首舍利。只有你来了才能知道这里带给你的震撼！   		   ",5,0,,,
匿名用户,2023-11-0812:15," 新开的旅游景点，小红书经常刷到，趁着节假日就来了，整体是以那个宫殿里的大佛为主，其他就都是徒步及爬山，地方不大，生态做的还行，公共设施做的不太好，带着小孩推个车差点没把自己累死，每个道闸机又都特别窄，婴儿车都过不去，只能扛着车，累惨了   		   ",3.5,0,,,
葱油拌面,2023-11-0811:15,人造景点，票价160元，高的简直太离谱，简直不值，千千万万别再被忽悠了,0.5,0,,,
猪猪爱粉色,2023-11-0722:13,国庆节来的，人满为患！不过还是不错的旅游体验，让人大饱眼福,5,0,,,
暴躁老王,2023-11-0721:32," 第二次去了，这次是去还愿的 环境很好，我的路线是走路上山，坐车下山，着急的可以坐车上山，走路下山如果去南京的话，强烈推荐就对了，地下佛尤其推荐，太震撼了，适合打卡拍照，另外的话，推荐下午去，这样可以天黑回去，可以看到夜景，很美的   		   ",5,0,,,
Jenny,2023-11-0721:07," 离市中心开车40分钟，略远，景点人也很多。门票本身就略贵。加山顶来回20块车费，基本都坐的。下车之后还要坐扶梯，走很多台阶路到顶上。景色也就这样，非佛教信徒不推荐去这里，没啥意思。进园区到看完榴莲在2个小时左右。逛完累死了，出来看到去其它几个点还要走十几分钟二十分钟，没兴趣了。2个字，不值。相同距离，差不多价位，还不如去园博园。   		   ",4,0,,,
寻找美食的虫,2023-11-0721:04," 非周末节日打车到东门，早上8点45分左右到的，人不多，不用排队，直接进，进去后扫码买短驳车的票，不要排队去小窗口，因为小窗口也让扫码买。坐车上到景区挺快的10来分钟。基本有电动扶梯，走少数台阶，体力不好和年纪大也合适。佛顶宫和地宫都很值得看。不去爬山到山顶的话，2个多小时可以逛完了。公众号可以买票。   		   ",4,1,,,
宝藏欧尼,2023-11-0719:55," 早上9:30和小红帽旅行团们一起入园的一天 不管哪个位置都有小红帽的存在 还好姐妹会拍完美屏蔽各种角度遮挡 过程很辛苦但是出片也是真的很出片  真的很震撼富丽堂皇就是说 体力一般年纪大的建议做摆渡车 东门到佛顶宫还是有一段距离的   		   ",4,0,,,
情兽姐.雪,2023-11-0719:27," “所念皆所愿，所求皆所得” 山是牛首山，城是南京城，一座牛首山，半部金陵史 四十亿打造的宫殿，全世界唯一舍利供奉于此，超强的视觉盛宴，感受牛首山佛顶宫独一无二的美. 远赴人间惊鸿宴，看一花一世界. “菩提本无树，明镜亦非台，本来无一物，何处惹尘埃”   		   ",5,0,,,
bubu,2023-11-0719:18," 基本没有认真评论过，不知浪费了多少积分，这个福利真的不错，妥妥的每次写100多字，这已经不知道N次在网.上购买东西了，东西便宜，质量好，物美价廉，买的放心又开心，这真是买东西上瘾的节奏啊，根本无法停下来，品类多，而且齐全，划算，方便，快捷，实惠，包装又好，没有任何破损，简直是消费者的福音，会一直支持下去，淘宝可以逐不出户的懒人就能购买到的日常生活吃喝玩任何东西，真是太合适不过了。   		   ",5,0,,,
zhangZ,2023-11-0719:05,整个就是一个震撼，大榴莲给人的压迫非常强。里面的佛家雕塑也是让人眼前一亮,4.5,0,,,
住进时光里_4768,2023-11-0718:44,地宫太震撼了，不愧是40亿建造出来的,5,0,,,
匿名用户,2023-11-0717:27,去了一趟自己一直想去牛首山，去的时候超级热，除了累了没啥其他的，就是排队的人也是超级多,4,0,,,
谦虚诚实呱唧龙,2023-11-0716:05," 网上查找说有残疾人通道，驱车几十公里来到这里，买了门票、交通票，结果交通车送到车站，在往上是滚梯电梯，残疾人轮椅根本无法上去，家人费劲勉强把轮椅搬到佛顶宫门口。我就想问问：几十个亿元人民币打造的豪华宫殿，为什么不替残疾人考虑一下呢？！差评！！！！   		   ",1.5,0,,,
陈家楽,2023-11-0715:38,"风景很不错，上山顶有电梯，很细节了，下山也可以走电梯。
宗教文化遗产保护，地宫5楼可以体验祈福，但是出来一层一层有，商业模式太严重了",4.5,0,,,
漫游南京,2023-11-0715:28," ??门票价格：成人160??学生80?? ?开放时间：08:30-17:30（16:30以后停止??检票） ??交通到达： 1.东出入口 地铁??1号线至安德门站转公交755、712路至景区东入口； 地铁??S1号线（机场线）至河海大学?佛城西路站转公交754路至景区东入口 2.西出入口 可乘710、866路至周村&牛首山风景区西站（位于牛首大道），步行约640米即可检票入园 也可自驾??，停车费6元??/时  ??园内交通 景交车费用：10元?? 运营时间?：08:30-18:00 售票时间?：牛首站售票，08:30-17:00；佛顶寺站售票，08:30-17:00；三宝站售票，08:30-17:00；天阙站售票，09:00-18:00  ??Tips: 1.建议做景区的??景交车，不然真要跑断腿 2.看好景交车最晚时间，过了时间点就只能走下去了 3.最好提前一天在网上订票，如果人多的话当天去是买不了的  ??路线分享：东门入??佛顶宫??卧佛??地宫??佛顶塔??东门走  也可以从西门进，人少，不想走路可以从西门进，坐车5分钟就能到达佛顶宫。 但是东门停车场及设备设施和餐饮等较为齐全，所以我们是从东门进的，想要全面的游玩，不想错过，毕竟票价这么贵  1??佛顶宫 佛顶宫前面的水池以及大殿外的长廊拍照??是很出片，很多小姐姐??争相打卡，尽量早点去。 佛顶宫的外面还有一个宏觉寺塔，这个景也是非常好看的??  2??卧佛 卧佛是会可以360度转动，但是转的很慢，感觉很神奇amazing??  3??地宫 进去前要穿鞋套，地宫一直坐电梯到最下面5F，一路向下进去就可以看见舍利大塔。 欣赏完后可以到地下4F阳台处可俯瞰大殿全景。 在这里亲眼目睹佛顶骨舍利，地宫里的景象会让你感到震撼。  4??佛顶塔 爬上佛顶塔你可以俯瞰整个牛首山的美景，视角很好。  牛首山作为新晋的受欢迎景点，确实是实至名归。它整体的建筑风格以及规模都是我从未看到过的，特别震撼和辉煌。  如果你来南京，如果你时间充裕，那么来一次牛首山吧，我相信它不会让你失望??   		   ",5,0,,,
半心半念,2023-11-0715:04," 门票它涨价了啊。但是据说花40亿打造的景区，涨价了也得来看看。建议开车来，因为距离属实有点远。景区很大，佛像精美，挺多人来拍照打卡。以为有烧香的地方，但是没找到。天气好的时候来散散步还是可以的，推荐推荐！   		   ",5,0,,,
Daisyzl,2023-11-0713:24,适合拍照和徒步锻炼身体。推荐从西门进，直接去看塔和地宫,4,0,,,
香瓜油泼红茶,2023-11-0712:06,"  交通： 我是西安过去南方出差，随到去了南京 一般滴滴，搭车方便一些 特色体验： 酷似榴莲招牌，西方建筑设计，进门有个白玉打造的卧佛，和佛顶塔上的建筑，手绘，富丽堂皇的宫殿  推荐理由： 西式宫殿建筑重金打造，出片，求财求学业事业，姻缘可以去，里面不烧香拜佛不捐款捐物，纯旅游景点  楼上吃素斋面好舒服，供养灵魂   		   ",5,0,,,
Q_Dec25,2023-11-0710:12,"去南京旅游，
怎么能不去牛首山佛顶宫呢

据说耗资40亿建造，
在整个穹顶的最底层，
供奉着全世界现存唯一的佛顶骨舍

来牛首山感受恢弘壮观的佛教文化",5,9,,,
忧郁小琪少,2023-11-0709:57,炒鸡美第一次实现去景点不累的有电梯我真的会爱真的很好看,5,0,,,
