用户名,时间,内容,星级,点赞,,,
蘑菇小豆dd,2023-09-1714:43," 预约预约预约！Tip1:要预约，免费 路线一定安排好，因为明孝陵、中山陵、美龄宫等景区离得太近了，没时间的朋友记得最好一天约干净！从6:30前的明孝陵开始，然后音乐台，Tip2:最好花个10块钱坐摆渡车；然后中山陵溜达一下，再去美龄宫，点评随买随用，Tip3:可以根据时间与体力判断要不要去，门票30元；最后再去博物院好了，别太累，宝贝都在9号馆，Tip4:可以重点找找镇馆之宝看看，1、9必去 敲黑板：做攻略，做攻略，做攻略，这里指的是提前学习一下，看一下历史和文物的故事，可以更好的理解。   		   ",5,0, , , 
梅吃饱呀,2023-10-1816:53," 来南京怎么能不来南京博物馆呢？ 其实当天预约是有余票的， 我是当天早上起床之后就约到了当天的门票， 赶紧就坐着地铁过来了， 排队的队很长，但是非常快， 直接扫身份证就进来了， 进来之后建议大家租一个这个语音的讲解20块钱， 只要你带着这个讲解走到文物跟前 有讲解的就会自动播放讲解 整个馆大家都可以看一看， 如果不听讲解的话， 其实自己是看不怎么懂的， 大家不要想着来里面蹭导游了， 所有的导游是不进来的， 只在外面进来的只有游客， 所以要听讲解就必须租这个20块钱的设备 建议大家如果时间充足的话， 预留一个小时到两个小时， 因为很多东西你要细细的去看 讲解讲一遍，你也要去消化， 所以我只看了一个多小时就非常累了， 门口有凳子， 如果大家累了的话可以在门口歇一歇之后再起来看 人是非常非常多的   		   ",5,0, , , 
Reah,2023-10-1310:12," 今天在附近吃饭，下午惊奇的发现还能预约南博，果断进去walk一下哈，先看了主馆镇馆之宝等等，真的很丰富，馆也很多，是值得人少的时候来慢慢细细体会的。尤其推荐的是民国馆，街巷很有特色，最神奇的是走到里面有个老茶馆，还有戏曲欣赏，戏曲还陪字幕，真是不错   		   ",4.5,1, , , 
lionking2008,2023-10-0206:25," 南京博物院近年来在网上特别火，想来看看的朋友要提早预约门票哦，否则白跑一趟哦博物院占地面积为13万余平方米，展厅面积26000平方米。博物院设有历史馆、特展馆、艺术馆、数字馆、非遗馆、民国馆。 交通：中山东路321号，交通便利，靠近中山陵，公交??线路众多、有5、36、59、34路等，到中山门下，地铁2号线明故宫地铁站下来走300米左右  展览内容：包含了历朝历代，文物品类全面，有青铜、玉石、陶瓷、金银器皿、竹木牙角、漆器、丝织刺绣、书画、印玺、碑刻造像。  展览亮点：物品众多，让你流连忘返，如金缕玉衣振馆之宝等  tips：里面民国馆吃的众多，门口维景国际酒店广场上小吃多，旁边有中山陵、月牙湖、城墙、梅花山、明孝陵等   		   ",5,0, , , 
k1ss,2023-09-2800:35," 交通: 一定要提前一天在公用号上预约，这是免费参观??的！ 我是坐地铁??到了南京航空航天大学下，明故宫站出站右转一直往前走到南京博物馆的！  展览内容: 非常大有几层楼，从发源历史开始布局，反正我是瞎走的，没有租20元一个的讲解器，因为我16:30才入院，就走马观花的看了一个小时，最好看的应该是民国时期，里面还有买糯唧唧的青团，还有不知名的三色膏不怎么甜还挺好吃的！  tips: 记得早点过去，带点吃的喝的，不然太大了，挺累的！不要带太小的孩子进去，因为里面有真正的整体人骨展，怕孩子看到会怕！  展览亮点: 一定要去民国时期看看哟，很适合拍照！   		   ",4.5,1, , , 
Ali,2023-09-2715:18," 南京博物馆是一座值得一游的综合性博物馆，它不仅拥有丰富的历史文化资源，而且展览设施完善，充分展示出江南文化历史特色的亮点。在参观过程中，我被其展品和环境深深吸引，感受到历史文化与现代城市的碰撞，受益匪浅。虽然部分展品保护不够好，易褪色或破损，且由于游客众多，服务设施和公共卫生清洁工作有待加强，但性价比很高，非常值得参观。   		   ",5,0, , , 
沐浴阳光企鹅,"2023-10-18
??更新于2023-10-1917:00"," 南京博物院，不光可以看镇馆之宝，快速攻略：镇馆宝贝在34569（特展）馆。  还可以到老茶馆看非遗，只是这个地不太好找，我给大家说一下  进大门左拐找美术馆，美术馆下到负一层，民国馆，最里边，老茶馆，需要消费，按位，其实还好，不贵，有几种茶，雨花茶，陈皮白茶，正山小种，都挺好喝滴  看不懂的话有题字翻译，还有中英对照，可以一边复习英语   		   ",4.5,0, , , 
baobaoxiongs,2023-09-2920:40," 中秋国庆超长假，让南京这个城市成了网红打卡地，高铁票售罄，从中秋前面一天开始就公路拥堵不堪，中秋节一早出发，7小时才从上海开到南京，首站就打卡必达点，提前在网上预定抢到了票。  交通:开车到南京已经中午，南博附近肯定一车位难求，就停在较远停车费适中区域，地铁??2号线，明故宫一号口，出来跟着人流走10分钟，定的上午票，要求13点前要进场。  展览内容:一定要预约，扫身份证入场，安检，国庆人多，历史馆，艺术馆都可以入场，历史馆，专业管，艺术馆3栋楼，很有历史底蕴，慢慢逛起码半天。  展览亮点:有管藏镇店之宝，民国馆适合拍照，购物，坐下来喝杯咖啡?。由于国庆，人超多，有点吵杂闷热，只能粗略的逛一圈，也2个多小时，很多人还打卡盖章，借点评机器介绍，也有讲解员定时介绍。有兴趣下次人少，好好再品南博。   		   ",4.5,0, , , 
桔樱,2023-08-2700:49," 南博当然好，从小到大有空就会去的地方 （图是特展馆、艺术馆和镇院之宝馆的，视频是今年5.18世界博物馆日的） 《不止于艺》的特展居然不要门票，震惊 之前《穆夏》的展有门票也三刷了，《不止于艺》不要门票，但却因为预约太难只参观了一次（…） 这些年南博真是越来越难约了，从最开始的刷身份证就能进，再到当天到地方打开小程序约一下就能进，再到提前一两天约了能进，最后到现在提前一周抢票才有几率能约上，这方面体验确实不好，但怎么说呢，虽然痛苦，但展品值得（当然，如果能不这么难约肯定更好 语言比较匮乏，总之就是很美 草莓小偷的故事特别有意思，苕叶颜色渐变第次，丰富而不杂乱，蛋白石的项链看起来富贵优雅 蓝色小鸟卖出去的时候还画了没有鸟的版本真的好有趣，介绍片里苕叶一层层的上色和接触过的橡皮章套色类似哎，好亲切 其它还有很多很多，绝对值得一去 5.18的话，我觉得每年的人都太多了，2020年那次的二胡《西行》真的非常非常惊艳，但再之后，除了第二年（2021年）第二次的《西行》之外就再没有那么动人的表演了，而且人挤人真的非常影响观感，明年考虑换个博物馆过了（？） 最近一次去的是特展馆所以这次主要写的都是特展馆，个人最喜欢的是民国馆和数字馆，下次有空的话再写写   		   ",5,0, , , 
Jince999,2023-10-1714:36," 中国三大博物院之一的这里也是必打卡的景点，里面见证我国五千年文化的传奇，各馆有不同特色，个人比较喜欢民国馆，有穿着当代服饰的服务员，坐街边卖橘子的大哥，给人穿越时空的错觉。还有恐龙的骸骨，流动的画可以开小窗给小朋友感觉特别新颖   		   ",5,0, , , 
承心澄意,2023-10-1622:40,"  国庆小长假10.3去的。提前一周没有抢到票，幸运的在当天下午12:50左右抢到了。于是直接从玄武湖公园坐地铁前往。 每天上午下午还会有线上发票环节，姐姐他们当天三点抢到最后1000张里的三张，所以还是可以把希望寄托在当天公众号上，不停的刷刷。 抢票群先把参观人的基本信息先填妥，提高效率。 金玉玉衣、网红墙、数字馆？民国馆、等等。按照场馆从里到外看过来。 金兽特展是这里的正馆之宝。黄金制作，很大一个。金贵在当年就有这么高超的炼金术，纯度达到了99.9，而且各种手艺在现在看来也是相当难的。这里还有一些揭秘和启发。金兽下面其实还有一个很大的容器罐，他们是过个组合。80年代在盱眙出土。 文创产品很多，敲章要排长队。 临展也有几个。 进门左手边服务中心可以寄包。地铁站下来需要走一段路，那里眼镜店也能寄包，一个免费一个需要支付一点，如果来回都是同一个地铁站，都可以考虑，这样走路就好轻松一点。   		   ",5,1, , , 
viviannad5,2023-11-0113:18," 不知道什么时候南京就成为网红城市，不管何时不管何地，走到哪里都是人从众 南京博物馆目前是需要预约才可以进，关键法定节假日你还不一定可以约到，都要靠抢 小程序提前七天下午18点开始放票，抢不到也可入馆当天各整点时段去刷看，有可能捡漏，总之，全凭运气～ 这次还算幸运，预约很顺利，也买到了心心恋恋的冰箱贴 馆内很大，个人感觉半天不太够，最后在民国馆买东西到被人往外赶，导致民国馆都没逛，所以，切记要购物必须放宽时间 ps：入园可扫身份证，如忘记带也可扫电子版～   		   ",4.5,0, , , 
小少年,2023-10-2016:38," 南京博物馆 “器物无声，观其有魂” “一座金陵城，半部民国史，带你穿越千年历史，感受时空交叠” 特展馆“盛世华彩”区陈列清朝官窑，“钟表精品展”陈列中国古代计时器、西洋钟表，“走进佛像”有金光闪闪的精美佛像。 数字馆 数字馆用现代技术展现古代题材，展品诸如动画《南都繁绘景物图卷》。 艺术馆 艺术馆陈列雕塑、书法、绘画。展出的傅抱石的画，用中国水墨画来画东欧的红顶建筑、广场和雕塑。 民国馆 民国馆把整个室内都做成了民国时期街道的模样，邮政局可以盖南京博物院邮戳。 非遗馆 非遗馆展出刻板、剪纸、金箔、花灯等民间手工艺。能在此欣赏昆曲、白局、评弹等表演，表演参考时间:14:00-16:00。 1.银缕玉衣(轮展) 2.西汉金兽(轮展) 3.金蝉玉叶(轮展) 4.明洪武釉里红岁寒三友纹梅瓶(轮展) 5..芙蓉石蟠螭耳盖炉(轮展) 6.鎏金银嵌宝石兽形铜砚盒(历史馆) 7.大报恩寺琉璃塔拱门(历史馆) 8..三彩陶双鱼瓶(历史馆) 9..青釉瓷神兽尊(历史馆5号厅) 10.寺墩遗址玉琮神人兽面饰(历史馆2号厅)11.青铜错金银牺尊(历史馆) 12..透雕人鸟兽玉饰(历史馆2号厅13.广陵王玺(历史馆3号厅) 14.竹林七贤与荣启期砖画(历史馆7号厅)   		   ",5,0, , , 
小叶雅纪,2023-11-0108:44," 南京｜南京博物院必打卡?  交通： 尽量早点去，八点多打车去的就已经开始繁忙咯，蛮窄的四车道，很多车走走停停，交警都在维持秩序。还是早点到比较好  看完十一点出来还是超级繁忙，叫车都停不了，需要走了一点距离才能上车。  展览服务：  ??很多自助租借的讲解； 也可以留意广播，每一小时会播报到服务台登记然后会有工作人员发耳机，然后馆内的讲解员带队走馆讲解。这个超好的，人又很专业、耐心。 （服务台登记是压身份证的，到时自行去服务台退还耳机时候，工作人员会返还身份证）  ??可以寄存行李，甚至行李箱尺寸都有，还不要钱。太棒了！！！  展览亮点： 讲解都会很仔细说，整个浏览路线规划得很好（我腿不认同，几个馆真的腿都要废了）  整体很好啊，干净又漂亮，除了很多牛逼的镇店之宝外还会有特色展，蛮有意思的。  tips： 一定要提前小程序预约号，每天18点会放号，手机打开页面会很慢很慢，用浏览器会好些（抢了两天才抢到   		   ",5,0, , , 
美食美景来了,2023-11-0109:42," 中国的三大博物院，北京故宫、南京博物院、台北故宫博物院。 南京博物院是中国三大博物馆之一，非常值得来，一院六馆。其前身是民国二十二年（1933年）蔡元培等倡建的国立中央博物院。 主馆是国立中央博物馆旧址，由建筑大师梁思成参与设计。该建筑仿辽代宫殿式。细部和装饰兼唐宋遗风。 南京博物院需要预约前往哦，网络上预约人气非常旺，非常不好预约，特别是暑期。 南京博物院外形古色古香。 以下图片展示的是部分南博的镇馆之宝！ 1.唐三彩双鱼瓶 2.西汉“金兽”，迄今中国出土文物中最大最重的金器 3.汉代金缕银缕玉衣?国宝级文物 4.南朝“竹林七贤与荣启期”模印砖，竹林七贤砖印模画国宝级文物首批禁止出国（境）展览文物 5.明代金陵大报恩寺五彩琉璃拱门  1.   		   ",5,1, , , 
是张张呀i,2023-11-0901:38,很大，很不错，环境也很好。各个馆都很好看，要提前预约，我运气好当天预约到了,5,0, , , 
lan,2023-11-0900:34," 南京博物院是一个特别值得去的地方，全国可以成为博物院的地方只有三个，分别是南京博物院、北京故宫博物院和台北故宫博物院。南京博物院它是中国最早的博物馆，也是我国第一座由国家出资建立的大型博物馆。面积非常大，每个馆都有自己独特的美丽，如果去南京，一定不要错过南京博物院，可以租一个讲解，这样更好的了解这座博物院里记载的历史   		   ",5,0, , , 
酒酿水波蛋蛋蛋.,2023-11-0822:50," 周末到南京特种兵，在去南京的高铁上通过他们的公众号预约了当天上午的博物院门票，因为周末所以人还是挺多的，尽快进入场馆后就按场馆号一一观看，我因为还要赶其他场次，所以没有很认真的一个个去观看，如果真的要逛应该要逛挺久的，不过挺值得来看一看的   		   ",5,0, , , 
雄忠清雅的小奚,2023-11-0821:51,内容很丰富！游玩下来两个小时以上吧,4.5,0, , , 
匿名用户,2023-11-0820:43," 南京博物院位于江苏省南京市玄武区中山东路321号，是中国三大博物馆之一！ 到了南京有机会一定要来看看！很大！多个展厅！珍宝很多！有时间的话认真看可以看一天…虽然人多，但也非常值得去看！ 推荐指数??????????   		   ",5,0, , , 
甜橙喵,2023-11-0820:18," 南京旅游必打卡之一，南京博物院！ 南京旅游大热，南京博物院预约也很难，大家可以多刷刷预约小程序，里面的展览品非常多，想好好看的话至少要预留个三四个小时，没时间的话，可以在网上找找攻略，知道一下镇馆之宝的大概位置。   		   ",5,0, , , 
啵啵,2023-11-0816:02," 正好是南博90周年院庆纪念特展开展的第一天，人确实很多，不过今天没打算看这个，毕竟展览持续到一月份，完全可以等到人少点的时候再来。现在线上不好预约了，要提前一个星期才有票，不过据说每周三和参观当天也会放票。  历史馆门口总是排长龙，完全可以从艺术馆先进来，毕竟三个展馆都是共通的。安保不严的时候，甚至还可以从特展馆出口溜进来。艺术馆的“美美与共”西南文物展刚好截止前一天，展厅不大，东西也不多，不过少数民族的生活挺有意思。  特展馆的镇馆之宝轮到“镇护天下”藏金兽，实物不大，但确是9100克的99纯金，流光溢彩，制作精良，蛮震撼的。顺道又看了下佛像展，同样金光闪闪。文创店有些东西打半价，而且上新了周年特展的周边，买了个??￥59的帆布袋。还有竹编袋，这个会便宜很多。  特展没仔细看，一共两层，走马观花一圈都足够惊叹。可以先到服务台排队免费的人工讲解，上午下午各一场，也可以一楼借讲解器或二楼租AR。这次规模很大，甚至借来了包括国博和故宫博物馆在内诸多博物馆的镇馆之宝展出，尤其是玉龙、宋徽宗真迹、苏绣耶稣和坤舆万国全图。   		   ",5,3, , , 
等等,2023-11-0815:18," 南京博物院。 九月去的南京城，美到心里去。 南博是中国三大博物院之一，另外两个是北京博物院?台北博物院  展览内容： 个人推荐民国馆?历史馆?数字馆  展览亮点：  tips： 红墙在进门处就能看到，可以排张合照打个卡  tips： 金缕玉衣第一次知道是在初中历史课本，值得一看！！！  tips： 民国馆！体现的就是民国时期南京城的建筑风貌，一定要去走走看看  tips： 数字馆个人比较喜欢，里面有记录民国时期比较有名的爱情。比如周总理和邓颖超，张学良和赵四小姐…… 我一生都是坚定不移的唯物主义者，唯有你，我希望有来生来自伟大的周总理的文人浪漫??????   		   ",5,1, , , 
阿布鲁老师,2023-11-0814:39,正直南京博物院建馆90周年，有特展介绍南博90年的风雨历程，下面帽子是万历皇帝的，还有玉器的展览，人太多了，检票口排了长长的队伍，以前经常来也没见过这么多人,5,0, , , 
icefree,2023-11-0814:38,学校出来游学，可能因为是学生，好多插队的，说了也是没反应的,0.5,0, , , 
小薇,2023-11-0814:19," 南博九十周年特展，外出出差的镇馆之宝都回来了，必须来看看。 网红小粉炉看了，围观的人群最多，可见受欢迎程度。怎么也拍不出她的美，实物更粉嫩，拍照体现不出她的美。 金兽看了，梅瓶看了。 坤舆万国全图看了，没看懂，怪自己历史知识太匮乏。 可可爱爱小粉炉冰箱贴买了。南博的文创做的都好好看，根本买不够。   		   ",5,2, , , 
天一OwO,2023-11-0812:51,"雨天人还是很多东西还挺有意思的
就是人太多了
千万不要等到闭馆再走几千人一起打车根本打不到",5,0, , , 
无聊的土巴佬,2023-11-0809:45," 一次非常糟糕的体验！ 和家人无意间逛到南京博物院门口就想着看看能不能预约，小程序上可以预约那想着就进去瞧瞧！ 预约完发现老人没带身份证，我自己带了，估计进不了，但抱着希望还是到检票口问一下吧！不问还好，一问一肚子火！ 首先，检票口有举着牌子的志愿者，询问后得知必需要原件，同时也有其它旅客在询问，后来志愿者说支付宝电子身份证二维码或者江苏省电子社保卡都可，老人不放心手机绑定银行卡而且卡也不在身边，我就给老人弄了电子身份证，然后就去排队检票 然后，轮到我家人拿二维码刷码时，一个大波浪女保安突然冲到我家人面前盖住扫码口说，不可以电子身份证，必需江苏省社保卡，我说刚刚咨询过志愿者说可以！这个牛逼的保安竟然回答我“我这里不可以，她不是这里的人”，请问不是博物院请来的志愿者么，不是的话可以穿工作服在这为游客答疑解惑么，然后保安让我去人工通道 最后，我们去了人工通道，什么叫人工通道就是给你手写一张证明，我把我的情况说明，人工通道的一个50岁左右的女工作人员，态度极其强硬的说“必需是江苏省电子社保卡，电子身份证不行！”还说去“手机提醒你三次带身份证不知道啊，我这里是70岁以上老人，现役军人窗口” 因为临时起意，没带身份证是我们的问题，所以我也是去询问了一下，有办法补救那就进去，没有我们有机会下次再来！ 南京博物院是南京的门面，服务态度，管理方式真的差强人意，有一点我着实不能理解电子身份证不比江苏省电子社保卡更权威么，家里人正好是属于江苏省的，那其它省市游客怎么办呢！   		   ",0.5,0, , , 
岁月如静316,2023-11-0722:47," 堂堂南京博物院，预约制度如此混乱，那么多的意见没有一点改进吗？本人带身份证在现场无法取消预约重新约，一定要手机操作，没有手机的人就不配参观是吧？傲慢无礼大概可以成为南京博物院的代名词了吧，没有一点服务理念，闭馆时，催促离开态度生硬不耐烦“不要看了，快点走”，南京博物院，一个省级事业单位，一个窗口，一个形象，到底代表了谁？代表南京，代表江苏，还是代表中国？一个讲历史，讲发展，讲文明的地方，难道不应该提高一下员工素质，增加一下服务理念，做一个有内涵有口碑的博物院，而不是一个没底线网红景点吧？   		   ",0.5,0, , , 
赵大宝,2023-11-0722:25,笑笑提前帮我们约好了，刷个身份证就进去了。里面特别大，特别好逛。一边走一边感叹，真漂亮，真漂亮呀～时间有限，就走马观花的看了看，下次我还来??,5,0, , , 
紫金山蚂蚁_9837,2023-11-0721:05," 今天是看南博建院90周年特展的。特展有二个:一个是特展馆一楼的“九十年春华秋实——南京博物院的珍藏”。罕见的“国宝天团”再次集中亮相，如“青花万寿纹瓷尊”、“釉里红岁寒三友纹梅瓶”等。 还有一个是“玉润中华——中国玉器的万年史诗图卷”特展，在特展馆二楼。汇集了来自全国各地的传世馆藏顶级玉器艺术品600多件。是一场难得的玉器盛宴。记得一定打卡“中华第一龙”。一次是看不够的，大家赶紧多约几场。本次特展都是免费的！   		   ",5,1, , , 
如梦令,2023-11-0721:01," 二刷南京博物院 没想到现在这么火爆 可以在早上9点刷新预约看看 小程序和公众号是每天18：00  5L露天阳台可以眺望远处的钟山 B1民国馆人来人往适合打卡 9亿的镇馆之宝肉眼看粉霞剔透 90周年的珍藏很不错 推荐3L玉器展每个都很精致 还有钟表展跟故宫珍宝馆类似 非常巧妙中西结合   		   ",5,0, , , 
漫游南京,2023-11-0715:26," 南京博物院是中国三大博物馆之一，也是民国时期国立中央博物院传承者 ?珍贵文物多达371032件，仅次于故宫博物院  ??地铁：?2号线明故宫站1出口 ??门票：免费需预约 ?开放时间：周二至周日9：00－17：00，每周一闭馆（节假日除外)  历史馆??：博物院正中的主馆，一进入大厅内就是雕梁画栋，极尽宫廷建筑之美。历史馆分上下两层，共6个展厅，其中大报恩寺塔的琉璃拱门就在6号展厅  民国馆??：1：1还原了民国时期南京的社会风情；（人气最旺的拍照打卡地）  数字馆??：以科技和现场互动相结合的方式，让你体验到全新的古代文明，身临其境  特展馆??：重点打造一流水平的精品展览，包括引进外展和以院藏珍品为主的主题展览   		   ",5,0, , , 
橘子,2023-11-0711:46," 逛不完根本逛不完哈哈哈 跟小帅一起来过的第5个城市啦，虽然都是浙江边上 我们卡点进去四点就禁止入内了，然后光了差不多一个多小时说要闭园了才逛了一栋楼，不过出来的时候刚好日落??照在博物馆上面很好看！ 期待下次跟南京的见面能带来好消息   		   ",5,1, , , 
匿名用户,2023-11-0700:22," 很大的博物馆！非常值得来一看！馆内藏品很多，每个馆还有印章可以盖，做的非常有纪念意义。文创店里的产品也挺有意思，比如那个猪形陶罐弄的小猪玩偶，太可爱啦，没忍住买了。民国馆非常出片，就是人太多了！还有些消费章也挺好看。   		   ",5,0, , , 
瓜嘅细路仔,2023-11-0622:49," 南京博物院！博物院！博物院！重要的事情说三遍 来南京之前好多朋友都在推荐南京博物院所以一定要来看一看啊！ 首先说预约，一般当天上午九点放大量的票，而且是隔几分钟就会放出一波新的票，所以只要记着预约一般都可以约到 去博物院的路上会走一条满是梧桐的大路景色特别美如果到深秋应该会更美 博物院分历史馆特展馆和艺术馆三个大馆，馆内互通，一旦出去当日就进不去了，所以一定不要走出去 看到了历史馆的镇馆之宝金缕玉衣 还有唐三彩的各种小泥人 民国馆也很有意思（就是人太多体验一般 老茶馆可以边喝茶边听苏州评弹别有一番韵味   		   ",5,0, , , 
